No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow,energy_consumption
0,1759181678.740374,0,1,0.0234,0.0291,0.0249,0.0,0.0,6.11,None,None,114.299,True,None,sfc_cache_p1_1,0,None,0,0,0,2,0,0,0,False,100.0,15.5,16.5,2065.2128153536605
0,1759181678.7407477,0.0,1,0.0234,0.0291,0.0249,0.0,0.0,9.62,None,None,114.419,True,None,sfc_unique_p1_1,0,None,0,0,0,2,0,0,0,False,100.0,15.5,16.5,2065.2128153536605
0,1759181678.9503644,0.2,2,0.0469,0.0498,0.0499,0.0,0.0,8.2,None,None,95.944,True,None,sfc_cache_p2_1,0,None,0,0,1,4,0,0,0,False,100.0,15.5,16.5,2097.761258834502
0,1759181678.950648,0.2,2,0.0469,0.0498,0.0499,0.0,0.0,9.53,None,None,103.794,True,None,sfc_unique_p2_1,0,None,0,0,1,4,0,0,0,False,100.0,15.5,16.5,2097.761258834502
0,1759181679.1806302,0.4,3,0.0703,0.0761,0.0748,0.0,0.0,8.85,None,None,112.439,True,None,sfc_cache_p3_1,0,None,0,0,1,6,0,0,0,False,100.0,15.5,16.5,2122.9740741881624
0,1759181679.1808987,0.4,3,0.0703,0.0761,0.0748,0.0,0.0,8.17,None,None,109.231,True,None,sfc_unique_p3_1,0,None,0,0,1,6,0,0,0,False,100.0,15.5,16.5,2122.9740741881624
0,1759181679.4171011,0.7,4,0.0937,0.0976,0.0998,0.0,0.0,6.5,None,None,114.809,True,None,sfc_cache_p4_1,0,None,0,0,2,8,0,0,0,False,100.0,15.5,16.5,2152.6060970948333
0,1759181679.41739,0.7,4,0.0937,0.0976,0.0998,0.0,0.0,8.65,None,None,111.656,True,None,sfc_unique_p4_1,0,None,0,0,2,8,0,0,0,False,100.0,15.5,16.5,2152.6060970948333
0,1759181693.7217517,15.0,6,0.1172,0.123,0.1247,0.0,0.0,10.21,None,None,104.716,True,None,sfc_cache_p1_2,0,None,0,0,3,10,0,0,0,False,100.0,15.5,16.5,2189.194567429607
0,1759181693.7220495,15.0,6,0.1172,0.123,0.1247,0.0,0.0,15.85,None,None,111.058,True,None,sfc_unique_p1_2,0,None,0,0,3,10,0,0,0,False,100.0,15.5,16.5,2189.194567429607
