No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow,energy_consumption
0,1759180550.4632213,0,1,0.0234,0.0028,0.0249,27.0,0.0,6.75,None,None,14.123,True,None,sfc_cache_p1_1,0,None,0,0,0,2,0,0,0,False,100.0,15.5,16.5,2045.4171180931744
0,1759180550.4636245,0.0,1,0.0234,0.0028,0.0249,27.0,0.0,8.27,None,None,11.068,True,None,sfc_unique_p1_1,0,None,0,0,0,2,0,0,0,False,100.0,15.5,16.5,2045.4171180931744
0,1759180550.493121,0.0,2,0.0469,0.0117,0.0499,45.0,0.0,7.39,None,None,13.472,True,None,sfc_cache_p2_1,0,None,0,0,2,4,0,0,0,False,100.0,15.5,16.5,2059.9272558427488
0,1759180550.4933593,0.0,2,0.0469,0.0117,0.0499,45.0,0.0,12.05,None,None,11.534,True,None,sfc_unique_p2_1,0,None,0,0,2,4,0,0,0,False,100.0,15.5,16.5,2059.9272558427488
0,1759180550.524295,0.1,3,0.0673,0.0207,0.0499,63.0,0.0,7.56,None,None,13.28,True,None,sfc_cache_p3_1,0,None,4,33.0,5,6,0,0,0,False,100.0,14.833333333333334,11.0,2075.951091162359
0,1759180550.5245254,0.1,3,0.0673,0.0207,0.0499,63.0,0.0,12.4,None,None,11.922,True,None,sfc_unique_p3_1,0,None,4,33.0,5,6,0,0,0,False,100.0,14.833333333333334,11.0,2075.951091162359
0,1759180550.5547733,0.1,4,0.0877,0.0297,0.0499,81.0,0.0,7.54,None,None,13.371,True,None,sfc_cache_p4_1,0,None,8,66.0,8,8,0,0,0,False,100.0,14.5,8.25,2097.890419439715
0,1759180550.5549972,0.1,4,0.0877,0.0297,0.0499,81.0,0.0,12.35,None,None,13.012,True,None,sfc_unique_p4_1,0,None,8,66.0,8,8,0,0,0,False,100.0,14.5,8.25,2097.890419439715
0,1759180568.4562652,18.0,6,0.1111,0.0365,0.0748,99.0,0.0,8.79,None,None,13.339,True,None,sfc_cache_p1_2,0,None,8,66.0,9,10,0,0,0,False,100.0,14.7,9.9,2124.6761337254293
0,1759180568.4567735,18.0,6,0.1111,0.0365,0.0748,99.0,0.0,14.72,None,None,15.366,True,None,sfc_unique_p1_2,0,None,8,66.0,9,10,0,0,0,False,100.0,14.7,9.9,2124.6761337254293
0,1759180568.4897661,18.0,7,0.1315,0.0434,0.0748,117.0,0.0,9.21,None,None,13.148,True,None,sfc_cache_p2_2,0,None,12,99.0,12,12,0,0,0,False,100.0,14.5,8.25,2143.1761337254293
0,1759180568.490192,18.0,7,0.1315,0.0434,0.0748,117.0,0.0,15.55,None,None,15.111,True,None,sfc_unique_p2_2,0,None,12,99.0,12,12,0,0,0,False,100.0,14.5,8.25,2143.1761337254293
0,1759180568.5244844,18.1,8,0.152,0.0503,0.0748,135.0,0.0,9.54,None,None,13.24,True,None,sfc_cache_p3_2,0,None,16,132.0,15,14,0,0,0,False,100.0,14.357142857142858,7.071428571428571,2147.1761337254293
0,1759180568.5249014,18.1,8,0.152,0.0503,0.0748,135.0,0.0,16.21,None,None,15.207,True,None,sfc_unique_p3_2,0,None,16,132.0,15,14,0,0,0,False,100.0,14.357142857142858,7.071428571428571,2147.1761337254293
0,1759180568.5605416,18.1,9,0.1724,0.053,0.0748,162.0,0.0,8.3,None,None,13.157,True,None,sfc_cache_p4_2,0,None,20,165.0,17,16,0,0,0,False,100.0,14.25,6.1875,2147.1761337254293
0,1759180568.5609775,18.1,9,0.1724,0.053,0.0748,162.0,0.0,8.27,None,None,15.302,True,None,sfc_unique_p4_2,0,None,20,165.0,17,16,0,0,0,False,100.0,14.25,6.1875,2147.1761337254293
