No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow,energy_consumption
0,1760097914.3466177,0,1,0.0234,0.0204,0.0249,2.3435,2.4947,0.0,0.0,7.55,None,None,8.637,True,None,sfc_cache_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2057.9925708094725
0,1760097914.347567,0.0,1,0.0234,0.0204,0.0249,2.3435,2.4947,0.0,0.0,12.44,None,None,5.044,True,None,sfc_unique_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2057.9925708094725
0,1760097914.3659585,0.0,2,0.0438,0.045,0.0249,4.3846,2.4947,0.0,0.0,9.25,None,None,5.645,True,None,sfc_cache_p2_1,0,None,4,33.0,4,4,0,0,0,False,100.0,14.5,8.25,2073.6635195790122
0,1760097914.366241,0.0,2,0.0438,0.045,0.0249,4.3846,2.4947,0.0,0.0,11.91,None,None,4.915,True,None,sfc_unique_p2_1,0,None,4,33.0,4,4,0,0,0,False,100.0,14.5,8.25,2073.6635195790122
0,1760097914.3802726,0.0,3,0.061,0.0695,0.0249,6.0984,2.4947,0.0,0.0,10.02,None,None,5.321,True,None,sfc_cache_p3_1,0,None,12.33,66.0,8,6,0,0,0,False,100.0,13.445,5.5,2090.190759944281
0,1760097914.3806171,0.0,3,0.061,0.0695,0.0249,6.0984,2.4947,0.0,0.0,13.45,None,None,4.927,True,None,sfc_unique_p3_1,0,None,12.33,66.0,8,6,0,0,0,False,100.0,13.445,5.5,2090.190759944281
0,1760097914.3958147,0.0,4,0.0781,0.0941,0.0249,7.8122,2.4947,0.0,0.0,9.35,None,None,5.287,True,None,sfc_cache_p4_1,0,None,20.66,99.0,12,8,0,0,0,False,100.0,12.9175,4.125,2109.8490945674043
0,1760097914.3961031,0.0,4,0.0781,0.0941,0.0249,7.8122,2.4947,0.0,0.0,12.1,None,None,5.081,True,None,sfc_unique_p4_1,0,None,20.66,99.0,12,8,0,0,0,False,100.0,12.9175,4.125,2109.8490945674043
0,1760097928.3454628,14.0,6,0.1016,0.1178,0.0499,10.1557,4.9894,0.0,0.0,8.2,None,None,6.934,True,None,sfc_cache_p1_2,0,None,20.66,99.0,13,10,0,0,0,False,100.0,13.434000000000001,6.6,2140.349017180003
0,1760097928.3457656,14.0,6,0.1016,0.1178,0.0499,10.1557,4.9894,0.0,0.0,10.45,None,None,5.771,True,None,sfc_unique_p1_2,0,None,20.66,99.0,13,10,0,0,0,False,100.0,13.434000000000001,6.6,2140.349017180003
0,1760097928.3652744,14.0,7,0.1187,0.1494,0.0499,11.8695,4.9894,0.0,0.0,8.2,None,None,5.582,True,None,sfc_cache_p2_2,0,None,28.99,132.0,17,12,0,0,0,False,100.0,13.084166666666667,5.5,2164.0330444203682
0,1760097928.365566,14.0,7,0.1187,0.1494,0.0499,11.8695,4.9894,0.0,0.0,11.67,None,None,4.935,True,None,sfc_unique_p2_2,0,None,28.99,132.0,17,12,0,0,0,False,100.0,13.084166666666667,5.5,2164.0330444203682
0,1760097928.382138,14.0,8,0.1358,0.2183,0.0499,13.5833,4.9894,0.0,0.0,12.28,None,None,5.394,True,None,sfc_cache_p3_2,0,None,37.32,165.0,21,14,0,0,0,False,100.0,12.834285714285715,4.714285714285714,2178.812490326575
0,1760097928.3824239,14.0,8,0.1358,0.2183,0.0499,13.5833,4.9894,0.0,0.0,17.15,None,None,5.114,True,None,sfc_unique_p3_2,0,None,37.32,165.0,21,14,0,0,0,False,100.0,12.834285714285715,4.714285714285714,2178.812490326575
0,1760097928.4012313,14.1,9,0.1593,0.2818,0.0748,15.9268,7.4841,0.0,0.0,12.31,None,None,5.665,True,None,sfc_cache_p4_2,0,None,37.32,165.0,22,16,0,0,0,False,100.0,13.1675,6.1875,2180.0
0,1760097928.4015057,14.1,9,0.1593,0.2818,0.0748,15.9268,7.4841,0.0,0.0,14.97,None,None,5.03,True,None,sfc_unique_p4_2,0,None,37.32,165.0,22,16,0,0,0,False,100.0,13.1675,6.1875,2180.0
0,1760097945.371563,31.0,11,0.1827,0.3522,0.0998,18.2703,9.9788,0.0,0.0,13.51,None,None,5.918,True,None,sfc_cache_p1_3,0,None,37.32,165.0,23,18,0,0,0,False,100.0,13.426666666666668,7.333333333333333,2180.0
0,1760097945.3718803,31.0,11,0.1827,0.3522,0.0998,18.2703,9.9788,0.0,0.0,15.62,None,None,5.217,True,None,sfc_unique_p1_3,0,None,37.32,165.0,23,18,0,0,0,False,100.0,13.426666666666668,7.333333333333333,2180.0
0,1760097945.3900123,31.0,12,0.1827,0.3522,0.0998,18.2703,9.9788,0.0,0.0,12.02,None,None,5.842,False,None,sfc_cache_p2_3,0,None,37.32,165.0,23,18,0,0,0,False,94.73684210526315,13.426666666666668,7.333333333333333,2180.0
0,1760097945.390381,31.0,12,0.1827,0.3522,0.0998,18.2703,9.9788,0.0,0.0,None,None,None,3.89,False,None,sfc_unique_p2_3,0,None,37.32,165.0,23,18,0,0,0,False,90.0,13.426666666666668,7.333333333333333,2180.0
0,1760097945.4098558,31.1,13,0.1827,0.3522,0.0998,18.2703,9.9788,0.0,0.0,None,None,None,6.181,False,None,sfc_cache_p3_3,0,None,37.32,165.0,23,18,0,0,0,False,85.71428571428571,13.426666666666668,7.333333333333333,2180.0
0,1760097945.4102726,31.1,13,0.1827,0.3522,0.0998,18.2703,9.9788,0.0,0.0,None,None,None,4.078,False,None,sfc_unique_p3_3,0,None,37.32,165.0,23,18,0,0,0,False,81.81818181818183,13.426666666666668,7.333333333333333,2180.0
0,1760097945.4270527,31.1,14,0.1827,0.3522,0.0998,18.2703,9.9788,0.0,0.0,None,None,None,5.08,False,None,sfc_cache_p4_3,0,None,37.32,165.0,23,18,0,0,0,False,78.26086956521739,13.426666666666668,7.333333333333333,2180.0
0,1760097945.4273684,31.1,14,0.1827,0.3522,0.0998,18.2703,9.9788,0.0,0.0,None,None,None,3.806,False,None,sfc_unique_p4_3,0,None,37.32,165.0,23,18,0,0,0,False,75.0,13.426666666666668,7.333333333333333,2180.0
