No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow,energy_consumption
0,1759852516.5060656,0,1,0.0234,0.0079,0.0249,0.0,0.0,5.33,None,None,10.986,True,None,sfc_cache_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2081.6390651601914
0,1759852516.5066686,0.0,1,0.0234,0.0079,0.0249,0.0,0.0,8.07,None,None,9.156,True,None,sfc_unique_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2081.6390651601914
0,1759852516.5223773,0.0,2,0.0406,0.0196,0.0249,0.0,0.0,5.26,None,None,5.351,True,None,sfc_cache_p2_1,0,None,8.33,33.0,5,4,0,0,0,False,100.0,13.4175,8.25,2094.796858071506
0,1759852516.522617,0.0,2,0.0406,0.0196,0.0249,0.0,0.0,7.92,None,None,5.154,True,None,sfc_unique_p2_1,0,None,8.33,33.0,5,4,0,0,0,False,100.0,13.4175,8.25,2094.796858071506
0,1759852516.5358322,0.0,3,0.0607,0.0372,0.0499,0.0,0.0,5.99,None,None,5.312,True,None,sfc_cache_p3_1,0,None,12.66,33.0,8,6,0,0,0,False,100.0,13.39,11.0,2125.9940411700977
0,1759852516.5360703,0.0,3,0.0607,0.0372,0.0499,0.0,0.0,10.59,None,None,5.211,True,None,sfc_unique_p3_1,0,None,12.66,33.0,8,6,0,0,0,False,100.0,13.39,11.0,2125.9940411700977
0,1759852516.5500512,0.0,4,0.0779,0.0494,0.0499,0.0,0.0,5.01,None,None,5.396,True,None,sfc_cache_p4_1,0,None,20.99,66.0,12,8,0,0,0,False,100.0,12.87625,8.25,2149.730691843368
0,1759852516.5502849,0.0,4,0.0779,0.0494,0.0499,0.0,0.0,7.32,None,None,5.294,True,None,sfc_unique_p4_1,0,None,20.99,66.0,12,8,0,0,0,False,100.0,12.87625,8.25,2149.730691843368
0,1759852541.4940693,25.0,6,0.1013,0.0547,0.0748,0.0,0.0,4.18,None,None,9.644,True,None,sfc_cache_p1_2,0,None,20.99,66.0,13,10,0,0,0,False,100.0,13.401,9.9,2183.622891193314
0,1759852541.4945457,25.0,6,0.1013,0.0547,0.0748,0.0,0.0,5.85,None,None,9.037,True,None,sfc_unique_p1_2,0,None,20.99,66.0,13,10,0,0,0,False,100.0,13.401,9.9,2183.622891193314
0,1759852541.5183356,25.0,7,0.1217,0.0672,0.0748,0.0,0.0,4.12,None,None,9.254,True,None,sfc_cache_p2_2,0,None,24.99,99.0,16,12,0,0,0,False,100.0,13.417499999999999,8.25,2231.423541247485
0,1759852541.518767,25.0,7,0.1217,0.0672,0.0748,0.0,0.0,6.61,None,None,9.119,True,None,sfc_unique_p2_2,0,None,24.99,99.0,16,12,0,0,0,False,100.0,13.417499999999999,8.25,2231.423541247485
0,1759852541.546227,25.0,8,0.1389,0.0822,0.0748,0.0,0.0,4.24,None,None,9.392,True,None,sfc_cache_p3_2,0,None,33.32,132.0,20,14,0,0,0,False,100.0,13.120000000000001,7.071428571428571,2242.927952329361
0,1759852541.5466623,25.0,8,0.1389,0.0822,0.0748,0.0,0.0,7.26,None,None,9.161,True,None,sfc_unique_p3_2,0,None,33.32,132.0,20,14,0,0,0,False,100.0,13.120000000000001,7.071428571428571,2242.927952329361
0,1759852541.5707705,25.1,9,0.156,0.0974,0.0748,0.0,0.0,4.15,None,None,9.199,True,None,sfc_cache_p4_2,0,None,41.65,165.0,24,16,0,0,0,False,100.0,12.896875,6.1875,2257.8095496053243
0,1759852541.5712218,25.1,9,0.156,0.0974,0.0748,0.0,0.0,6.73,None,None,9.203,True,None,sfc_unique_p4_2,0,None,41.65,165.0,24,16,0,0,0,False,100.0,12.896875,6.1875,2257.8095496053243
0,1759852562.5067837,46.0,11,0.1794,0.1061,0.0998,0.0,0.0,4.4,None,None,10.017,True,None,sfc_cache_p1_3,0,None,41.65,165.0,25,18,0,0,0,False,100.0,13.18611111111111,7.333333333333333,2311.4308930506113
0,1759852562.5072813,46.0,11,0.1794,0.1061,0.0998,0.0,0.0,5.59,None,None,9.778,True,None,sfc_unique_p1_3,0,None,41.65,165.0,25,18,0,0,0,False,100.0,13.18611111111111,7.333333333333333,2311.4308930506113
0,1759852562.5375726,46.0,12,0.1966,0.1155,0.0998,0.0,0.0,4.35,None,None,9.558,True,None,sfc_cache_p2_3,0,None,49.98,198.0,29,20,0,0,0,False,100.0,13.001,6.6,2328.755997523603
0,1759852562.538038,46.0,12,0.1966,0.1155,0.0998,0.0,0.0,5.9,None,None,9.319,True,None,sfc_unique_p2_3,0,None,49.98,198.0,29,20,0,0,0,False,100.0,13.001,6.6,2328.755997523603
0,1759852562.5643082,46.1,13,0.217,0.1276,0.0998,0.0,0.0,4.96,None,None,9.531,True,None,sfc_cache_p3_3,0,None,53.98,231.0,32,22,0,0,0,False,100.0,13.046363636363635,6.0,2350.526284630862
0,1759852562.5647733,46.1,13,0.217,0.1276,0.0998,0.0,0.0,6.17,None,None,9.259,True,None,sfc_unique_p3_3,0,None,53.98,231.0,32,22,0,0,0,False,100.0,13.046363636363635,6.0,2350.526284630862
0,1759852562.5928586,46.1,14,0.2374,0.1349,0.0998,0.0,0.0,4.74,None,None,9.501,True,None,sfc_cache_p4_3,0,None,57.98,264.0,35,24,0,0,0,False,100.0,13.084166666666667,5.5,2354.9721908373313
0,1759852562.5933201,46.1,14,0.2374,0.1349,0.0998,0.0,0.0,7.38,None,None,9.161,True,None,sfc_unique_p4_3,0,None,57.98,264.0,35,24,0,0,0,False,100.0,13.084166666666667,5.5,2354.9721908373313
0,1759852581.5199466,65.0,16,0.2608,0.1469,0.1247,0.0,0.0,4.59,None,None,9.73,True,None,sfc_cache_p1_4,0,None,57.98,264.0,36,26,0,0,0,False,100.0,13.27,6.346153846153846,2374.611476551617
0,1759852581.520436,65.0,16,0.2608,0.1469,0.1247,0.0,0.0,7.48,None,None,9.247,True,None,sfc_unique_p1_4,0,None,57.98,264.0,36,26,0,0,0,False,100.0,13.27,6.346153846153846,2374.611476551617
