Vehicle ID,Coordenada X,Coordenada Y,Velocidade,Server Start,Server End
vehicle_11,5508,7500,0,7,2
vehicle_21,5375,7656,0,7,15
vehicle_31,5447,7663,0,7,6
vehicle_41,5177,7704,0,7,3
vehicle_11,5506,7501,9,7,2
vehicle_21,5378,7656,8,7,15
vehicle_31,5445,7662,7,7,6
vehicle_41,5179,7703,8,7,3
vehicle_11,5501,7502,17,7,2
vehicle_21,5382,7655,17,7,15
vehicle_31,5442,7660,13,7,6
vehicle_41,5183,7702,16,7,3
vehicle_11,5495,7504,23,7,2
vehicle_21,5388,7654,22,7,15
vehicle_31,5438,7657,18,7,6
vehicle_41,5189,7701,23,7,3
vehicle_11,5487,7506,30,7,2
vehicle_21,5396,7653,27,7,15
vehicle_31,5432,7653,27,7,6
vehicle_41,5197,7699,31,7,3
vehicle_11,5477,7505,36,7,2
vehicle_21,5405,7652,32,7,15
vehicle_31,5423,7654,34,7,6
vehicle_41,5208,7696,39,7,3
vehicle_11,5465,7508,42,7,2
vehicle_21,5415,7651,37,7,15
vehicle_31,5411,7655,40,7,6
vehicle_41,5221,7693,48,7,3
vehicle_11,5452,7512,49,7,2
vehicle_21,5428,7650,45,7,15
vehicle_31,5399,7656,47,7,6
vehicle_41,5235,7690,51,7,3
vehicle_11,5436,7513,56,7,2
vehicle_21,5439,7653,44,7,15
vehicle_31,5386,7658,47,7,6
vehicle_41,5249,7686,54,7,3
vehicle_11,5419,7517,65,7,2
vehicle_21,5448,7660,45,7,15
vehicle_31,5376,7659,33,7,6
vehicle_41,5262,7693,51,7,3
vehicle_11,5400,7522,70,7,2
vehicle_21,5458,7668,45,7,15
vehicle_31,5371,7659,18,7,6
vehicle_41,5276,7693,54,7,3
vehicle_11,5379,7528,79,7,2
vehicle_21,5468,7674,43,7,15
vehicle_31,5369,7658,11,7,6
vehicle_41,5290,7690,53,7,3
vehicle_11,5356,7534,86,7,2
vehicle_21,5480,7673,43,7,15
vehicle_31,5371,7656,13,7,6
vehicle_41,5305,7688,53,7,3
vehicle_11,5330,7540,94,7,2
vehicle_21,5492,7672,44,7,15
vehicle_31,5377,7656,19,7,6
vehicle_41,5318,7686,51,7,3
vehicle_11,5305,7547,94,7,2
vehicle_21,5504,7671,44,7,15
vehicle_31,5384,7655,25,7,6
vehicle_41,5331,7695,53,7,3
vehicle_11,5281,7553,91,7,2
vehicle_21,5516,7672,44,7,15
vehicle_31,5392,7654,31,7,6
vehicle_41,5343,7703,52,7,3
vehicle_11,5256,7560,92,7,2
vehicle_21,5528,7672,43,7,15
vehicle_31,5403,7653,40,7,6
vehicle_41,5356,7706,49,7,3
vehicle_11,5232,7567,91,7,2
vehicle_21,5538,7673,35,7,15
vehicle_31,5416,7651,48,7,6
vehicle_41,5369,7704,50,7,3
vehicle_11,5207,7574,91,7,2
vehicle_21,5544,7673,20,7,15
vehicle_31,5429,7650,47,7,6
vehicle_41,5383,7701,51,7,3
vehicle_11,5186,7580,81,7,2
vehicle_21,5546,7670,18,7,15
vehicle_31,5441,7655,50,7,6
vehicle_41,5396,7694,54,7,3
vehicle_11,5167,7585,69,7,2
vehicle_12,7019,8476,0,13,15
vehicle_21,5546,7664,20,7,15
vehicle_31,5449,7661,35,7,6
vehicle_32,7015,8488,0,13,27
vehicle_41,5410,7691,52,7,3
vehicle_11,5153,7589,52,7,2
vehicle_12,7019,8474,9,13,15
vehicle_21,5545,7657,28,7,15
vehicle_31,5453,7664,19,7,6
vehicle_32,7013,8488,8,13,27
vehicle_41,5424,7689,49,7,3
vehicle_42,7022,8426,0,13,18
vehicle_11,5143,7592,36,7,2
vehicle_12,7019,8469,17,13,15
vehicle_21,5543,7647,34,7,15
vehicle_31,5456,7671,27,7,6
vehicle_32,7009,8489,13,13,27
vehicle_41,5438,7686,50,7,3
vehicle_42,7022,8428,8,13,18
vehicle_11,5138,7593,20,7,2
vehicle_12,7019,8463,22,13,15
vehicle_21,5542,7636,42,7,15
vehicle_22,7019,8476,0,13,2
vehicle_31,5453,7677,29,7,6
vehicle_32,7004,8489,18,13,27
vehicle_41,5445,7681,35,7,3
vehicle_42,7022,8432,15,13,18
vehicle_11,5136,7592,14,7,2
vehicle_12,7019,8455,30,13,15
vehicle_21,5540,7623,47,7,15
vehicle_22,7019,8475,6,13,2
vehicle_31,5446,7685,35,7,6
vehicle_32,6998,8489,24,13,27
vehicle_41,5449,7677,22,7,3
vehicle_42,7022,8438,20,13,18
vehicle_11,5138,7590,10,7,2
vehicle_12,7019,8445,37,13,15
vehicle_21,5538,7611,45,7,15
vehicle_22,7019,8471,13,13,2
vehicle_31,5436,7690,43,7,6
vehicle_32,6989,8489,31,13,27
vehicle_41,5454,7671,27,7,3
vehicle_42,7022,8445,27,13,18
vehicle_11,5142,7589,18,7,2
vehicle_12,7019,8433,44,13,15
vehicle_21,5536,7598,46,7,15
vehicle_22,7019,8466,21,13,2
vehicle_31,5423,7692,49,7,6
vehicle_32,6978,8488,39,13,27
vehicle_41,5462,7671,28,7,3
vehicle_42,7022,8454,33,13,18
vehicle_11,5149,7587,23,7,2
vehicle_12,7019,8418,51,13,15
vehicle_21,5534,7586,45,7,15
vehicle_22,7019,8457,30,13,2
vehicle_31,5410,7694,46,7,6
vehicle_32,6966,8488,45,13,27
vehicle_41,5469,7674,30,7,3
vehicle_42,7022,8466,42,13,18
vehicle_11,5156,7585,30,7,2
vehicle_12,7020,8405,49,13,15
vehicle_21,5532,7574,43,7,15
vehicle_22,7019,8447,36,13,2
vehicle_31,5397,7698,48,7,6
vehicle_32,6952,8487,49,13,27
vehicle_41,5479,7673,36,7,3
vehicle_42,7022,8475,33,13,18
vehicle_11,5166,7582,37,7,2
vehicle_12,7021,8392,47,13,15
vehicle_21,5530,7562,42,7,15
vehicle_22,7019,8436,39,13,2
vehicle_31,5385,7704,50,7,6
vehicle_32,6938,8486,51,13,27
vehicle_41,5490,7672,41,7,3
vehicle_42,7022,8481,19,13,18
vehicle_11,5178,7579,43,7,2
vehicle_12,7022,8378,49,13,15
vehicle_21,5529,7550,43,7,15
vehicle_22,7019,8426,37,13,2
vehicle_31,5372,7707,49,7,6
vehicle_32,6924,8486,49,13,27
