crash_trial,sfc_id,recover_success,backup_success,backup_efficient,latency_diff,time_to_recover,vnf_id,latency_degrad,resource_degrad,risk_level,final_status
0,sfc_cache_p3_28,True,True,Yes,0.0,0.00010538101196289062,RE_region_3,0.0,0,Medium,Fast Recover
0,sfc_cache_p4_24,True,True,Yes,0.0,9.274482727050781e-05,EC_TC_region_4_24,0.0,0,Medium,Fast Recover
0,sfc_cache_p4_25,True,True,Yes,0.1544841762959024,9.322166442871094e-05,RE_region_20,0.1544841762959024,0,Low,Fast Recover
0,sfc_cache_p4_28,True,True,Yes,2.0885320937949565,8.893013000488281e-05,EC_TC_region_4_28,2.0885320937949565,0,High,Fast Recover
0,sfc_unique_p1_28,True,True,Yes,1.9240397102792528,8.130073547363281e-05,RE_p1_28,1.9240397102792528,0,Low,Fast Recover
0,sfc_unique_p2_25,True,True,Yes,2.2100428654172255,8.0108642578125e-05,EC_TC_p2_25,2.2100428654172255,0,Medium,Fast Recover
0,sfc_unique_p2_28,True,True,Yes,1.8199365995598562,8.463859558105469e-05,RE_p2_28,1.8199365995598562,0,Low,Fast Recover
0,sfc_unique_p3_24,True,True,Yes,1.8138177377197948,8.344650268554688e-05,EC_TC_p3_24,1.8138177377197948,0,Low,Fast Recover
0,sfc_unique_p4_24,True,True,Yes,1.3555552259033803,7.891654968261719e-05,EC_TC_p4_24,1.3555552259033803,0,Medium,Fast Recover
0,sfc_unique_p4_25,True,True,Yes,0.6409737128095081,7.62939453125e-05,EC_TC_p4_25,0.6409737128095081,0,Low,Fast Recover
