No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762054394.4825716,0,1,0.0,0.0781,0.0051,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,4.48,2.51,1.97,None,0.001253366470336914,21.954,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,0.0,15.5,16.5,2095.5687973997833,10.0,2105.5687973997833
0,1762054394.483348,0.0,1,0.0,0.0781,0.0051,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,6.29,3.38,2.91,None,0.001253366470336914,23.95,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,0.0,15.5,16.5,2095.5687973997833,10.0,2105.5687973997833
0,1762054394.5418732,0.1,2,0.0,0.1352,0.0101,0.0249,0.0,13.5243,2.4947,0.0,0.0,0.0,4.47,2.51,1.96,None,0.08299660682678223,20.957,True,None,sfc_cache_p2_1,0,None,0,8.33,33.0,5,4,0,0,0,False,100.0,0.0,13.4175,8.25,2110.0,20.0,2130.0
0,1762054394.5426137,0.1,2,0.0,0.1352,0.0101,0.0249,0.0,13.5243,2.4947,0.0,0.0,0.0,6.26,3.38,2.88,None,0.08299660682678223,24.611,True,None,sfc_unique_p2_1,0,None,0,8.33,33.0,5,4,0,0,0,False,100.0,0.0,13.4175,8.25,2110.0,20.0,2130.0
0,1762054394.5988572,0.1,3,0.0,0.2024,0.0168,0.0499,0.0,20.2449,4.9894,0.0,0.0,0.0,5.36,2.82,2.54,None,0.1422274112701416,22.952,True,None,sfc_cache_p3_1,0,None,0,12.66,33.0,7,6,0,0,0,False,100.0,0.0,13.39,11.0,2150.9425785482126,30.0,2180.9425785482126
0,1762054394.5992827,0.1,3,0.0,0.2024,0.0168,0.0499,0.0,20.2449,4.9894,0.0,0.0,0.0,6.21,4.03,2.19,None,0.1422274112701416,19.669,True,None,sfc_unique_p3_1,0,None,0,12.66,33.0,7,6,0,0,0,False,100.0,0.0,13.39,11.0,2150.9425785482126,30.0,2180.9425785482126
0,1762054394.6528716,0.2,4,0.0105,0.2327,0.0353,0.0499,1.1523,23.2688,4.9894,0.0,0.0,0.0,6.1,2.87,3.22,None,0.19868230819702148,20.902,True,None,sfc_cache_p4_1,0,None,0,20.99,66.0,11,8,0,0,0,False,100.0,1.33375,11.5425,8.25,2186.1929267915184,40.0,2226.1929267915184
0,1762054394.6535552,0.2,4,0.0105,0.2327,0.0353,0.0499,1.1523,23.2688,4.9894,0.0,0.0,0.0,7.05,4.11,2.94,None,0.19868230819702148,23.553,True,None,sfc_unique_p4_1,0,None,0,20.99,66.0,11,8,0,0,0,False,100.0,1.33375,11.5425,8.25,2186.1929267915184,40.0,2226.1929267915184
0,1762054394.7104235,0.2,5,0.0184,0.2789,0.0415,0.0499,2.0886,27.8878,4.9894,0.0,0.0,0.0,4.38,2.99,1.39,None,0.2522110939025879,20.807,True,None,sfc_cache_p5_1,0,None,0,24.99,99.0,14,10,0,0,0,False,100.0,1.934,11.067,6.6,2191.225042563071,50.0,2241.225042563071
0,1762054394.711027,0.2,5,0.0184,0.2789,0.0415,0.0499,2.0886,27.8878,4.9894,0.0,0.0,0.0,6.64,4.28,2.37,None,0.2522110939025879,23.797,True,None,sfc_unique_p5_1,0,None,0,24.99,99.0,14,10,0,0,0,False,100.0,1.934,11.067,6.6,2191.225042563071,50.0,2241.225042563071
