No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762059495.8729222,0,1,0.0282,0.0109,0.0222,0.0249,2.8803,1.0911,2.4947,0.0,0.0,0.0,6.2,3.49,2.71,None,0.00019931793212890625,119.652,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,13.335,2.165,16.5,2068.0557305370685,10.0,2078.0557305370685
0,1762059495.8733966,0.0,1,0.0282,0.0109,0.0222,0.0249,2.8803,1.0911,2.4947,0.0,0.0,0.0,10.62,5.53,5.09,None,0.00019931793212890625,115.236,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,13.335,2.165,16.5,2068.0557305370685,10.0,2078.0557305370685
0,1762059496.0760992,0.2,2,0.0471,0.042,0.0469,0.0499,4.8965,4.1982,4.9894,0.0,0.0,0.0,9.04,6.98,2.06,None,0.27934908866882324,80.979,True,None,sfc_cache_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,11.335,4.165,16.5,2104.0788875838043,20.0,2124.0788875838043
0,1762059496.076511,0.2,2,0.0471,0.042,0.0469,0.0499,4.8965,4.1982,4.9894,0.0,0.0,0.0,8.99,4.15,4.84,None,0.27934908866882324,111.61,True,None,sfc_unique_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,11.335,4.165,16.5,2104.0788875838043,20.0,2124.0788875838043
0,1762059496.2808568,0.4,3,0.0682,0.0655,0.0645,0.0748,7.2368,6.5492,7.4841,0.0,0.0,0.0,5.85,3.4,2.45,None,0.48241400718688965,86.79,True,None,sfc_cache_p3_1,0,None,0,0,0,2,6,0,0,0,False,100.0,11.168333333333335,4.331666666666666,16.5,2136.166025797703,30.0,2166.166025797703
0,1762059496.281229,0.4,3,0.0682,0.0655,0.0645,0.0748,7.2368,6.5492,7.4841,0.0,0.0,0.0,8.52,3.97,4.55,None,0.48241400718688965,109.377,True,None,sfc_unique_p3_1,0,None,0,0,0,2,6,0,0,0,False,100.0,11.168333333333335,4.331666666666666,16.5,2136.166025797703,30.0,2166.166025797703
0,1762059496.5743563,0.7,4,0.0923,0.0781,0.0771,0.0998,10.0447,7.8092,9.9788,0.0,0.0,0.0,5.53,2.89,2.64,None,0.6870965957641602,96.058,True,None,sfc_cache_p4_1,0,None,0,0,0,2,8,0,0,0,False,100.0,11.62625,3.87375,16.5,2163.7696451779257,40.0,2203.7696451779257
0,1762059496.5747359,0.7,4,0.0923,0.0781,0.0771,0.0998,10.0447,7.8092,9.9788,0.0,0.0,0.0,15.19,11.52,3.66,None,0.6870965957641602,103.542,True,None,sfc_unique_p4_1,0,None,0,0,0,2,8,0,0,0,False,100.0,11.62625,3.87375,16.5,2163.7696451779257,40.0,2203.7696451779257
0,1762059496.7856064,0.9,5,0.1098,0.0823,0.0922,0.0998,12.3126,8.23,9.9788,0.0,0.0,0.0,6.57,4.32,2.25,None,0.9805037975311279,93.875,True,None,sfc_cache_p5_1,0,None,4,4.33,33.0,5,10,0,0,0,False,100.0,11.401,3.2659999999999996,13.2,2188.1909343009497,50.0,2238.1909343009497
0,1762059496.7859955,0.9,5,0.1098,0.0823,0.0922,0.0998,12.3126,8.23,9.9788,0.0,0.0,0.0,15.2,11.45,3.76,None,0.9805037975311279,108.083,True,None,sfc_unique_p5_1,0,None,4,4.33,33.0,5,10,0,0,0,False,100.0,11.401,3.2659999999999996,13.2,2188.1909343009497,50.0,2238.1909343009497
