No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762053430.7286234,0,1,0.0,0.0781,0.0361,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,13.71,8.66,5.05,None,0.0012347698211669922,9.024,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,0.0,15.5,16.5,2106.9626712385107,10.0,2116.9626712385107
0,1762053430.7290678,0.0,1,0.0,0.0781,0.0361,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,15.01,11.05,3.95,None,0.0012347698211669922,5.26,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,0.0,15.5,16.5,2106.9626712385107,10.0,2116.9626712385107
0,1762053430.7537913,0.0,2,0.0227,0.1008,0.0558,0.0499,0.432,10.0796,4.9894,41.1429,0.0,0.0,13.45,9.01,4.44,None,0.050653696060180664,9.166,True,None,sfc_cache_p2_1,0,None,0,0,0,1,4,0,0,0,False,100.0,5.5,10.0,16.5,2127.6258258712965,40.0,2167.6258258712965
0,1762053430.7541754,0.0,2,0.0227,0.1008,0.0558,0.0499,0.432,10.0796,4.9894,41.1429,0.0,0.0,21.69,14.55,7.15,None,0.050653696060180664,5.322,True,None,sfc_unique_p2_1,0,None,0,0,0,1,4,0,0,0,False,100.0,5.5,10.0,16.5,2127.6258258712965,40.0,2167.6258258712965
0,1762053430.7773964,0.0,3,0.0445,0.1235,0.0688,0.0748,0.864,12.3475,7.4841,57.6,0.0,0.0,17.09,7.82,9.27,None,0.07572555541992188,9.31,True,None,sfc_cache_p3_1,0,None,0,0,0,1,6,0,0,0,False,100.0,7.333333333333333,8.166666666666666,16.5,2142.1359636208713,70.0,2212.1359636208713
0,1762053430.7779717,0.0,3,0.0445,0.1235,0.0688,0.0748,0.864,12.3475,7.4841,57.6,0.0,0.0,14.9,8.41,6.49,None,0.07572555541992188,9.207,True,None,sfc_unique_p3_1,0,None,0,0,0,1,6,0,0,0,False,100.0,7.333333333333333,8.166666666666666,16.5,2142.1359636208713,70.0,2212.1359636208713
0,1762053430.8019528,0.1,4,0.0701,0.1235,0.0884,0.0748,1.8359,12.3475,7.4841,61.7143,0.0,0.0,14.7,5.82,8.88,None,0.09971785545349121,8.898,True,None,sfc_cache_p4_1,0,None,0,4,33.0,3,8,0,0,0,False,100.0,8.875,6.125,12.375,2150.5028678663007,88.0,2238.5028678663007
0,1762053430.802295,0.1,4,0.0701,0.1235,0.0884,0.0748,1.8359,12.3475,7.4841,61.7143,0.0,0.0,19.2,12.66,6.54,None,0.09971785545349121,5.408,True,None,sfc_unique_p4_1,0,None,0,4,33.0,3,8,0,0,0,False,100.0,8.875,6.125,12.375,2150.5028678663007,88.0,2238.5028678663007
0,1762053430.8293228,0.1,5,0.0938,0.1235,0.0984,0.0748,1.8359,12.3475,7.4841,68.2105,0.0,0.0,14.54,4.78,9.75,None,0.12278509140014648,9.619,True,None,sfc_cache_p5_1,0,None,0,8,66.0,5,10,0,0,0,False,100.0,9.8,4.9,9.9,2150.5028678663007,118.0,2268.5028678663007
0,1762053430.8299034,0.1,5,0.0938,0.1235,0.0984,0.0748,1.8359,12.3475,7.4841,68.2105,0.0,0.0,8.27,8.27,0,None,0.12278509140014648,9.282,True,None,sfc_unique_p5_1,0,None,0,8,66.0,5,10,0,0,0,False,100.0,9.8,4.9,9.9,2150.5028678663007,118.0,2268.5028678663007
