No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762063528.362904,0,1,0.0324,0.0,0.0025,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,5.27,3.89,1.39,None,0.001161336898803711,6.414,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,2071.5714285714284,10.0,2081.5714285714284
0,1762063528.3633616,0.0,1,0.0324,0.0,0.0025,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,7.52,5.24,2.28,None,0.001161336898803711,5.371,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,2071.5714285714284,10.0,2081.5714285714284
0,1762063528.379539,0.0,2,0.0543,0.0,0.0051,0.0249,5.7961,0.0,2.4947,0.0,0.0,0.0,5.73,3.89,1.84,None,0.04142308235168457,5.171,True,None,sfc_cache_p2_1,0,None,8.33,0,33.0,5,4,0,0,0,False,100.0,13.4175,0.0,8.25,2085.0,20.0,2105.0
0,1762063528.3798935,0.0,2,0.0543,0.0,0.0051,0.0249,5.7961,0.0,2.4947,0.0,0.0,0.0,8.43,5.24,3.19,None,0.04142308235168457,5.198,True,None,sfc_unique_p2_1,0,None,8.33,0,33.0,5,4,0,0,0,False,100.0,13.4175,0.0,8.25,2085.0,20.0,2105.0
0,1762063528.3934746,0.0,3,0.0749,0.0,0.0117,0.0249,8.2444,0.0,2.4947,0.0,0.0,0.0,5.28,3.89,1.4,None,0.05788373947143555,5.202,True,None,sfc_cache_p3_1,0,None,16.66,0,66.0,8,6,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2094.642857142857,30.0,2124.642857142857
0,1762063528.3938432,0.0,3,0.0749,0.0,0.0117,0.0249,8.2444,0.0,2.4947,0.0,0.0,0.0,8.49,5.69,2.8,None,0.05788373947143555,5.131,True,None,sfc_unique_p3_1,0,None,16.66,0,66.0,8,6,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2094.642857142857,30.0,2124.642857142857
0,1762063528.4096355,0.0,4,0.1027,0.0,0.018,0.0499,11.5923,0.0,4.9894,0.0,0.0,0.0,5.66,3.21,2.44,None,0.0717923641204834,5.312,True,None,sfc_cache_p4_1,0,None,16.66,0,66.0,10,8,0,0,0,False,100.0,13.4175,0.0,8.25,2111.666150750658,40.0,2151.666150750658
0,1762063528.4099796,0.0,4,0.1027,0.0,0.018,0.0499,11.5923,0.0,4.9894,0.0,0.0,0.0,8.04,4.14,3.9,None,0.0717923641204834,5.303,True,None,sfc_unique_p4_1,0,None,16.66,0,66.0,10,8,0,0,0,False,100.0,13.4175,0.0,8.25,2111.666150750658,40.0,2151.666150750658
0,1762063528.4244323,0.1,5,0.1223,0.0,0.023,0.0499,14.0406,0.0,4.9894,0.0,0.0,0.0,4.97,3.07,1.9,None,0.08698010444641113,5.313,True,None,sfc_cache_p5_1,0,None,24.99,0,99.0,14,10,0,0,0,False,100.0,13.001,0.0,6.6,2128.9688128772636,50.0,2178.9688128772636
0,1762063528.4247603,0.1,5,0.1223,0.0,0.023,0.0499,14.0406,0.0,4.9894,0.0,0.0,0.0,6.94,4.14,2.8,None,0.08698010444641113,5.106,True,None,sfc_unique_p5_1,0,None,24.99,0,99.0,14,10,0,0,0,False,100.0,13.001,0.0,6.6,2128.9688128772636,50.0,2178.9688128772636
0,1762063528.4426293,0.1,6,0.1395,0.0,0.0281,0.0499,16.4888,0.0,4.9894,0.0,0.0,0.0,5.52,3.07,2.44,None,0.10170817375183105,5.595,True,None,sfc_cache_p6_1,0,None,33.32,0,132.0,18,12,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2152.652840117629,60.0,2212.652840117629
0,1762063528.4429696,0.1,6,0.1395,0.0,0.0281,0.0499,16.4888,0.0,4.9894,0.0,0.0,0.0,8.04,4.14,3.9,None,0.10170817375183105,5.131,True,None,sfc_unique_p6_1,0,None,33.32,0,132.0,18,12,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2152.652840117629,60.0,2212.652840117629
0,1762063551.3617892,23.0,6,0.165,0.0,0.0306,0.0748,19.8367,0.0,7.4841,0.0,0.0,0.0,4.21,3.07,1.14,None,0.00012183189392089844,9.994,True,None,sfc_cache_p1_2,0,None,33.32,0,132.0,19,14,0,0,0,False,100.0,13.120000000000001,0.0,7.071428571428571,2164.642857142857,70.0,2234.642857142857
0,1762063551.3624475,23.0,6,0.165,0.0,0.0306,0.0748,19.8367,0.0,7.4841,0.0,0.0,0.0,6.09,4.14,1.94,None,0.00012183189392089844,9.299,True,None,sfc_unique_p1_2,0,None,33.32,0,132.0,19,14,0,0,0,False,100.0,13.120000000000001,0.0,7.071428571428571,2164.642857142857,70.0,2234.642857142857
0,1762063551.3862102,23.0,7,0.1813,0.0,0.0332,0.0748,22.285,0.0,7.4841,0.0,0.0,0.0,4.31,3.07,1.24,None,0.02892136573791504,8.457,True,None,sfc_cache_p2_2,0,None,41.65,0,165.0,23,16,0,0,0,False,100.0,12.896875,0.0,6.1875,2164.642857142857,80.0,2244.642857142857
0,1762063551.386588,23.0,7,0.1813,0.0,0.0332,0.0748,22.285,0.0,7.4841,0.0,0.0,0.0,6.29,4.14,2.15,None,0.02892136573791504,5.409,True,None,sfc_unique_p2_2,0,None,41.65,0,165.0,23,16,0,0,0,False,100.0,12.896875,0.0,6.1875,2164.642857142857,80.0,2244.642857142857
0,1762063551.405194,23.0,8,0.2029,0.0,0.0375,0.0998,25.6329,0.0,9.9788,0.0,0.0,0.0,6.23,5.09,1.14,None,0.05277848243713379,5.803,True,None,sfc_cache_p3_2,0,None,41.65,0,165.0,25,18,0,0,0,False,100.0,13.18611111111111,0.0,7.333333333333333,2194.285714285714,90.0,2284.285714285714
0,1762063551.4055629,23.0,8,0.2029,0.0,0.0375,0.0998,25.6329,0.0,9.9788,0.0,0.0,0.0,9.15,7.21,1.94,None,0.05277848243713379,5.44,True,None,sfc_unique_p3_2,0,None,41.65,0,165.0,25,18,0,0,0,False,100.0,13.18611111111111,0.0,7.333333333333333,2194.285714285714,90.0,2284.285714285714
0,1762063551.4210806,23.1,9,0.2246,0.0,0.0433,0.1247,28.9807,0.0,12.4735,0.0,0.0,0.0,5.42,3.19,2.22,None,0.07164120674133301,5.43,True,None,sfc_cache_p4_2,0,None,41.65,0,165.0,26,20,0,0,0,False,100.0,13.4175,0.0,8.25,2213.6619718309857,100.0,2313.6619718309857
0,1762063551.42145,23.1,9,0.2246,0.0,0.0433,0.1247,28.9807,0.0,12.4735,0.0,0.0,0.0,8.45,4.7,3.75,None,0.07164120674133301,5.462,True,None,sfc_unique_p4_2,0,None,41.65,0,165.0,26,20,0,0,0,False,100.0,13.4175,0.0,8.25,2213.6619718309857,100.0,2313.6619718309857
0,1762063551.4511056,23.1,10,0.2386,0.0,0.0469,0.1247,31.429,0.0,12.4735,0.0,0.0,0.0,4.2,2.59,1.61,None,0.08750057220458984,9.837,True,None,sfc_cache_p5_2,0,None,49.98,0,198.0,30,22,0,0,0,False,100.0,13.228181818181817,0.0,7.5,2216.059820461229,110.0,2326.059820461229
0,1762063551.4517374,23.1,10,0.2386,0.0,0.0469,0.1247,31.429,0.0,12.4735,0.0,0.0,0.0,9.36,7.21,2.15,None,0.08750057220458984,9.942,True,None,sfc_unique_p5_2,0,None,49.98,0,198.0,30,22,0,0,0,False,100.0,13.228181818181817,0.0,7.5,2216.059820461229,110.0,2326.059820461229
0,1762063551.4705102,23.1,11,0.2533,0.0,0.0511,0.1247,33.8773,0.0,12.4735,0.0,0.0,0.0,4.7,3.19,1.51,None,0.11799240112304688,6.981,True,None,sfc_cache_p6_2,0,None,58.31,0,231.0,34,24,0,0,0,False,100.0,13.070416666666667,0.0,6.875,2230.8470051075683,120.0,2350.8470051075683
0,1762063551.470863,23.1,11,0.2533,0.0,0.0511,0.1247,33.8773,0.0,12.4735,0.0,0.0,0.0,5.8,3.49,2.32,None,0.11799240112304688,5.377,True,None,sfc_unique_p6_2,0,None,58.31,0,231.0,34,24,0,0,0,False,100.0,13.070416666666667,0.0,6.875,2230.8470051075683,120.0,2350.8470051075683
0,1762063564.3719337,36.0,11,0.2715,0.0,0.0545,0.1497,37.2252,0.0,14.9682,0.0,0.0,0.0,4.11,2.19,1.92,None,0.0002827644348144531,10.395,True,None,sfc_cache_p1_3,0,None,58.31,0,231.0,35,26,0,0,0,False,100.0,13.257307692307693,0.0,7.615384615384615,2248.8395759170407,130.0,2378.8395759170407
0,1762063564.3723547,36.0,11,0.2715,0.0,0.0545,0.1497,37.2252,0.0,14.9682,0.0,0.0,0.0,6.29,2.95,3.33,None,0.0002827644348144531,6.216,True,None,sfc_unique_p1_3,0,None,58.31,0,231.0,35,26,0,0,0,False,100.0,13.257307692307693,0.0,7.615384615384615,2248.8395759170407,130.0,2378.8395759170407
0,1762063564.4023006,36.0,12,0.2837,0.0,0.0578,0.1497,39.6734,0.0,14.9682,0.0,0.0,0.0,4.25,2.19,2.06,None,0.027796506881713867,8.278,True,None,sfc_cache_p2_3,0,None,66.64,0,264.0,39,28,0,0,0,False,100.0,13.120000000000001,0.0,7.071428571428571,2266.9176598049835,140.0,2406.9176598049835
0,1762063564.402646,36.0,12,0.2837,0.0,0.0578,0.1497,39.6734,0.0,14.9682,0.0,0.0,0.0,6.56,2.95,3.61,None,0.027796506881713867,5.115,True,None,sfc_unique_p2_3,0,None,66.64,0,264.0,39,28,0,0,0,False,100.0,13.120000000000001,0.0,7.071428571428571,2266.9176598049835,140.0,2406.9176598049835
