No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762818529.0372424,0,1,0.0,0.0781,0.0042,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,3.81,1.98,1.82,None,0.00018477439880371094,21.451,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,0.0,15.5,16.5,1.0,0.0833,0.04,0.0474,2095.5687973997833,10.0,2105.5687973997833
0,1762818529.0381322,0.0,1,0.0,0.0781,0.0042,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,5.73,2.67,3.05,None,0.00018477439880371094,23.738,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,0.0,15.5,16.5,1.0,0.0833,0.04,0.0474,2095.5687973997833,10.0,2105.5687973997833
0,1762818529.0901031,0.1,2,0.0,0.1352,0.0084,0.0249,0.0,13.5243,2.4947,0.0,0.0,0.0,3.6,1.98,1.61,None,0.07449054718017578,20.252,True,None,sfc_cache_p2_1,0,None,0,8.33,33.0,5,4,0,0,0,False,100.0,0.0,13.4175,8.25,1.0,0.0833,0.0385,0.0474,2110.0,20.0,2130.0
0,1762818529.090793,0.1,2,0.0,0.1352,0.0084,0.0249,0.0,13.5243,2.4947,0.0,0.0,0.0,5.31,2.67,2.64,None,0.07449054718017578,23.719,True,None,sfc_unique_p2_1,0,None,0,8.33,33.0,5,4,0,0,0,False,100.0,0.0,13.4175,8.25,1.0,0.0833,0.0385,0.0474,2110.0,20.0,2130.0
0,1762818529.1394606,0.1,3,0.025,0.1395,0.0154,0.0499,2.6999,13.9452,4.9894,0.0,0.0,0.0,4.01,2.59,1.43,None,0.1270902156829834,19.907,True,None,sfc_cache_p3_1,0,None,0,12.66,33.0,8,6,0,0,0,False,100.0,4.166666666666667,9.223333333333334,11.0,0.0667,0.0833,0.0639,0.0474,2124.5101377495744,30.0,2154.5101377495744
0,1762818529.1401334,0.1,3,0.025,0.1395,0.0154,0.0499,2.6999,13.9452,4.9894,0.0,0.0,0.0,6.83,4.56,2.26,None,0.1270902156829834,23.263,True,None,sfc_unique_p3_1,0,None,0,12.66,33.0,8,6,0,0,0,False,100.0,4.166666666666667,9.223333333333334,11.0,0.0667,0.0833,0.0639,0.0474,2124.5101377495744,30.0,2154.5101377495744
0,1762818529.188775,0.2,4,0.0465,0.1395,0.0228,0.0499,5.1482,13.9452,4.9894,0.0,0.0,0.0,4.95,2.91,2.04,None,0.176405668258667,19.848,True,None,sfc_cache_p4_1,0,None,4,16.99,66.0,12,8,0,0,0,False,100.0,5.95875,6.9175,8.25,0.0625,0.0833,0.0616,0.0474,2139.802275189599,40.0,2179.802275189599
0,1762818529.1894405,0.2,4,0.0465,0.1395,0.0228,0.0499,5.1482,13.9452,4.9894,0.0,0.0,0.0,8.05,4.56,3.49,None,0.176405668258667,23.184,True,None,sfc_unique_p4_1,0,None,4,16.99,66.0,12,8,0,0,0,False,100.0,5.95875,6.9175,8.25,0.0625,0.0833,0.0616,0.0474,2139.802275189599,40.0,2179.802275189599
0,1762818529.2377381,0.2,5,0.0673,0.1395,0.0301,0.0499,7.5964,13.9452,4.9894,0.0,0.0,0.0,4.95,2.91,2.04,None,0.2256944179534912,19.872,True,None,sfc_cache_p5_1,0,None,8,21.32,99.0,16,10,0,0,0,False,100.0,7.034000000000001,5.534000000000001,6.6,0.0588,0.0833,0.0595,0.0474,2163.4863024299643,50.0,2213.4863024299643
0,1762818529.2384176,0.2,5,0.0673,0.1395,0.0301,0.0499,7.5964,13.9452,4.9894,0.0,0.0,0.0,8.05,4.56,3.49,None,0.2256944179534912,23.198,True,None,sfc_unique_p5_1,0,None,8,21.32,99.0,16,10,0,0,0,False,100.0,7.034000000000001,5.534000000000001,6.6,0.0588,0.0833,0.0595,0.0474,2163.4863024299643,50.0,2213.4863024299643
0,1762818529.2903595,0.3,6,0.0875,0.1395,0.0375,0.0499,10.0447,13.9452,4.9894,0.0,0.0,0.0,4.65,2.91,1.75,None,0.27465009689331055,19.933,True,None,sfc_cache_p6_1,0,None,12,25.65,132.0,20,12,0,0,0,False,100.0,7.7508333333333335,4.611666666666667,5.5,0.0556,0.0833,0.0575,0.0474,2180.0,60.0,2240.0
0,1762818529.291064,0.3,6,0.0875,0.1395,0.0375,0.0499,10.0447,13.9452,4.9894,0.0,0.0,0.0,7.47,4.56,2.9,None,0.27465009689331055,23.311,True,None,sfc_unique_p6_1,0,None,12,25.65,132.0,20,12,0,0,0,False,100.0,7.7508333333333335,4.611666666666667,5.5,0.0556,0.0833,0.0575,0.0474,2180.0,60.0,2240.0
0,1762818543.030127,14.0,6,0.1139,0.1395,0.0427,0.0748,13.3926,13.9452,7.4841,0.0,0.0,0.0,4.49,3.23,1.26,None,0.0011794567108154297,20.042,True,None,sfc_cache_p1_2,0,None,12,25.65,132.0,21,14,0,0,0,False,100.0,8.857857142857144,3.9528571428571433,7.071428571428571,0.0526,0.0833,0.0641,0.0577,2180.0,70.0,2250.0
