No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1763418195.7415686,0,1,0.0217,0.0261,0.0216,0.0249,2.2312,2.6056,2.4947,0.0,0.0,0.0,7.16,3.09,4.07,None,0.0002722740173339844,98.565,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,10.33,5.17,16.5,0.2762,0.0833,0.04,0.1384,2087.343611713666,10.0,2097.343611713666
0,1763418195.742155,0.0,1,0.0217,0.0261,0.0216,0.0249,2.2312,2.6056,2.4947,0.0,0.0,0.0,8.98,4.82,4.16,None,0.0002722740173339844,106.694,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,10.33,5.17,16.5,0.2762,0.0833,0.04,0.1384,2087.343611713666,10.0,2097.343611713666
0,1763418195.9647522,0.2,2,0.0351,0.0706,0.0461,0.0499,3.6708,7.0583,4.9894,0.0,0.0,0.0,5.67,2.3,3.38,None,0.24175715446472168,104.753,True,None,sfc_cache_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,8.4975,7.0025,16.5,0.3304,0.231,0.0707,0.1719,2131.3990481786095,20.0,2151.3990481786095
0,1763418195.9652247,0.2,2,0.0351,0.0706,0.0461,0.0499,3.6708,7.0583,4.9894,0.0,0.0,0.0,9.54,4.95,4.59,None,0.24175715446472168,110.666,True,None,sfc_unique_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,8.4975,7.0025,16.5,0.3304,0.231,0.0707,0.1719,2131.3990481786095,20.0,2151.3990481786095
0,1763418196.2143075,0.5,3,0.0513,0.105,0.0659,0.0748,5.5424,10.503,7.4841,0.0,0.0,0.0,5.1,2.49,2.61,None,0.46479320526123047,102.154,True,None,sfc_cache_p3_1,0,None,0,0,0,2,6,0,0,0,False,100.0,8.553333333333333,6.946666666666666,16.5,0.378,0.3716,0.1013,0.1826,2172.2444165426396,30.0,2202.2444165426396
0,1763418196.2149472,0.5,3,0.0513,0.105,0.0659,0.0748,5.5424,10.503,7.4841,0.0,0.0,0.0,7.05,2.29,4.76,None,0.46479320526123047,138.193,True,None,sfc_unique_p3_1,0,None,0,0,0,2,6,0,0,0,False,100.0,8.553333333333333,6.946666666666666,16.5,0.378,0.3716,0.1013,0.1826,2172.2444165426396,30.0,2202.2444165426396
0,1763418196.590728,0.8,4,0.0601,0.1361,0.0867,0.0748,6.659,13.61,7.4841,0.0,0.0,0.0,6.49,3.5,2.99,None,0.7146296501159668,157.79,True,None,sfc_cache_p4_1,0,None,8.33,0,33.0,4,8,0,0,0,False,100.0,7.7075,6.75125,12.375,0.2948,0.5057,0.0977,0.1751,2203.8365036808536,40.0,2243.8365036808536
0,1763418196.591481,0.8,4,0.0601,0.1361,0.0867,0.0748,6.659,13.61,7.4841,0.0,0.0,0.0,6.1,2.04,4.06,None,0.7146296501159668,205.534,True,None,sfc_unique_p4_1,0,None,8.33,0,33.0,4,8,0,0,0,False,100.0,7.7075,6.75125,12.375,0.2948,0.5057,0.0977,0.1751,2203.8365036808536,40.0,2243.8365036808536
0,1763418196.8997753,1.2,5,0.0755,0.1487,0.1114,0.0748,8.5673,14.87,7.4841,0.0,0.0,0.0,7.01,3.45,3.56,None,1.0912749767303467,128.707,True,None,sfc_cache_p5_1,0,None,16.66,0,66.0,7,10,0,0,0,False,100.0,7.933,5.901,9.9,0.3212,0.5271,0.0943,0.1901,2232.763525682713,50.0,2282.763525682713
0,1763418196.9005647,1.2,5,0.0755,0.1487,0.1114,0.0748,8.5673,14.87,7.4841,0.0,0.0,0.0,13.62,8.21,5.41,None,1.0912749767303467,162.464,True,None,sfc_unique_p5_1,0,None,16.66,0,66.0,7,10,0,0,0,False,100.0,7.933,5.901,9.9,0.3212,0.5271,0.0943,0.1901,2232.763525682713,50.0,2282.763525682713
