No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1763418148.8203864,0,1,0.0306,0.0042,0.0113,0.0249,0.8996,0.4208,2.4947,67.2,0.0,0.0,7.42,4.03,3.39,None,0.00012946128845214844,6.232,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,14.665,0.835,16.5,0.1212,0.0833,0.04,0.0893,2052.486124883793,18.0,2070.486124883793
0,1763418148.8209372,0.0,1,0.0306,0.0042,0.0113,0.0249,0.8996,0.4208,2.4947,67.2,0.0,0.0,8.27,8.27,0,None,0.00012946128845214844,5.283,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,14.665,0.835,16.5,0.1212,0.0833,0.04,0.0893,2052.486124883793,18.0,2070.486124883793
0,1763418148.848363,0.0,2,0.0297,0.0722,0.0355,0.0249,0.8996,7.2246,2.4947,33.6,0.0,0.0,4.37,1.84,2.53,None,0.04220438003540039,9.205,True,None,sfc_cache_p2_1,0,None,4,0,33.0,2,4,0,0,0,False,100.0,7.3325,7.1675,8.25,0.1126,0.2034,0.0385,0.0848,2103.793066315463,28.0,2131.793066315463
0,1763418148.8491092,0.0,2,0.0297,0.0722,0.0355,0.0249,0.8996,7.2246,2.4947,33.6,0.0,0.0,5.38,0.69,4.69,None,0.04220438003540039,8.751,True,None,sfc_unique_p2_1,0,None,4,0,33.0,2,4,0,0,0,False,100.0,7.3325,7.1675,8.25,0.1126,0.2034,0.0385,0.0848,2103.793066315463,28.0,2131.793066315463
0,1763418148.8654745,0.0,3,0.0592,0.0722,0.0402,0.0499,1.3316,7.2246,4.9894,51.2,0.0,0.0,7.81,3.67,4.15,None,0.0706033706665039,5.384,True,None,sfc_cache_p3_1,0,None,4,0,33.0,2,6,0,0,0,False,100.0,10.055,4.778333333333333,11.0,0.1736,0.2034,0.0741,0.0957,2108.078780601177,58.0,2166.078780601177
0,1763418148.8659093,0.0,3,0.0592,0.0722,0.0402,0.0499,1.3316,7.2246,4.9894,51.2,0.0,0.0,8.27,8.27,0,None,0.0706033706665039,5.157,True,None,sfc_unique_p3_1,0,None,4,0,33.0,2,6,0,0,0,False,100.0,10.055,4.778333333333333,11.0,0.1736,0.2034,0.0741,0.0957,2108.078780601177,58.0,2166.078780601177
0,1763418148.889067,0.1,4,0.0812,0.0874,0.0454,0.0748,1.7636,8.7365,7.4841,55.2,0.0,0.0,3.75,1.9,1.85,None,0.0871286392211914,9.103,True,None,sfc_cache_p4_1,0,None,4,0,33.0,3,8,0,0,0,False,100.0,10.66625,4.33375,12.375,0.2354,0.2442,0.1071,0.0969,2127.364494886892,76.0,2203.364494886892
0,1763418148.8894918,0.1,4,0.0812,0.0874,0.0454,0.0748,1.7636,8.7365,7.4841,55.2,0.0,0.0,8.27,8.27,0,None,0.0871286392211914,7.45,True,None,sfc_unique_p4_1,0,None,4,0,33.0,3,8,0,0,0,False,100.0,10.66625,4.33375,12.375,0.2354,0.2442,0.1071,0.0969,2127.364494886892,76.0,2203.364494886892
0,1763418148.9147627,0.1,5,0.1038,0.0974,0.0589,0.0998,1.7636,9.7445,9.9788,61.44,0.0,0.0,7.96,2.44,5.53,None,0.1106874942779541,9.453,True,None,sfc_cache_p5_1,0,None,4,0,33.0,4,10,0,0,0,False,100.0,11.233,3.867,13.2,0.2768,0.261,0.1364,0.1162,2132.7816129800663,106.0,2238.7816129800663
0,1763418148.9154868,0.1,5,0.1038,0.0974,0.0589,0.0998,1.7636,9.7445,9.9788,61.44,0.0,0.0,8.27,8.27,0,None,0.1106874942779541,9.033,True,None,sfc_unique_p5_1,0,None,4,0,33.0,4,10,0,0,0,False,100.0,11.233,3.867,13.2,0.2768,0.261,0.1364,0.1162,2132.7816129800663,106.0,2238.7816129800663
