No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1771182364.615538,0,1,0.0264,0.0,0.0104,0.0249,2.6783,0.0,2.4947,0.0,0.0,0.0,2.82,1.48,1.34,None,0.0001537799835205078,7.103,True,None,sfc_cache_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,15.5,0.0,16.5,0.1477,1.0,0.04,0.0458,2064.3940566475776,2054.3940566475776,10.0,0.9937415165713035,0,0,2
0,1771182364.6159992,0.0,1,0.0264,0.0,0.0104,0.0249,2.6783,0.0,2.4947,0.0,0.0,0.0,4.74,2.35,2.38,None,0.0001537799835205078,5.824,True,None,sfc_unique_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,15.5,0.0,16.5,0.1477,1.0,0.04,0.0458,2064.3940566475776,2054.3940566475776,10.0,0.9937415165713035,0,0,2
0,1771182364.6294472,0.0,2,0.0347,0.0242,0.0191,0.0249,3.6002,2.4191,2.4947,0.0,0.0,0.0,2.82,1.48,1.34,None,0.015547513961791992,5.726,True,None,sfc_cache_p2_1,0,None,8.33,0.0,33.0,5,4,2,1,0,False,100.0,10.4175,3.0,8.25,0.1225,0.0833,0.0385,0.0569,2092.349481504411,2072.349481504411,20.0,0.9903423649851024,0,0,4
0,1771182364.629817,0.0,2,0.0347,0.0242,0.0191,0.0249,3.6002,2.4191,2.4947,0.0,0.0,0.0,2.6,0.83,1.77,None,0.015547513961791992,5.74,True,None,sfc_unique_p2_1,0,None,8.33,0.0,33.0,5,4,2,1,0,False,100.0,10.4175,3.0,8.25,0.1225,0.0833,0.0385,0.0569,2092.349481504411,2072.349481504411,20.0,0.9903423649851024,0,0,4
0,1771182364.6436076,0.0,3,0.0353,0.0665,0.0256,0.0249,3.7444,6.6526,2.4947,0.0,0.0,0.0,2.86,1.51,1.34,None,0.02934741973876953,5.684,True,None,sfc_cache_p3_1,0,None,16.66,0.0,66.0,9,6,3,1,0,False,100.0,7.223333333333334,5.5,5.5,0.1185,0.0833,0.037,0.0596,2134.479182789042,2104.479182789042,30.0,0.9875664828958781,0,0,6
0,1771182364.643972,0.0,3,0.0353,0.0665,0.0256,0.0249,3.7444,6.6526,2.4947,0.0,0.0,0.0,1.95,0.17,1.77,None,0.02934741973876953,6.04,True,None,sfc_unique_p3_1,0,None,16.66,0.0,66.0,9,6,3,1,0,False,100.0,7.223333333333334,5.5,5.5,0.1185,0.0833,0.037,0.0596,2134.479182789042,2104.479182789042,30.0,0.9875664828958781,0,0,6
0,1771182364.6573026,0.0,4,0.0358,0.1089,0.0325,0.0249,3.8887,10.886,2.4947,0.0,0.0,0.0,2.89,1.55,1.34,None,0.04348349571228027,5.618,True,None,sfc_cache_p4_1,0,None,24.99,0.0,99.0,13,8,4,1,0,False,100.0,5.62625,6.75,4.125,0.1195,0.0833,0.0357,0.0615,2170.899241603467,2130.899241603467,40.0,0.9849747203631776,0,0,8
0,1771182364.6576853,0.0,4,0.0358,0.1089,0.0325,0.0249,3.8887,10.886,2.4947,0.0,0.0,0.0,1.95,0.17,1.77,None,0.04348349571228027,5.709,True,None,sfc_unique_p4_1,0,None,24.99,0.0,99.0,13,8,4,1,0,False,100.0,5.62625,6.75,4.125,0.1195,0.0833,0.0357,0.0615,2170.899241603467,2130.899241603467,40.0,0.9849747203631776,0,0,8
0,1771182378.6434119,14.0,6,0.0536,0.1243,0.0449,0.0499,5.9052,12.4302,4.9894,0.0,0.0,0.0,3.14,1.58,1.56,None,0.00021028518676757812,6.388,True,None,sfc_cache_p1_2,0,None,24.99,0.0,99.0,13,10,4,2,0,False,100.0,6.834999999999999,6.1659999999999995,6.6,0.1693,0.0833,0.0345,0.0866,2192.3925800959605,2142.3925800959605,50.0,0.9813312914473593,0,0,10
0,1771182378.6438746,14.0,6,0.0536,0.1243,0.0449,0.0499,5.9052,12.4302,4.9894,0.0,0.0,0.0,4.17,2.55,1.62,None,0.00021028518676757812,5.783,True,None,sfc_unique_p1_2,0,None,24.99,0.0,99.0,13,10,4,2,0,False,100.0,6.834999999999999,6.1659999999999995,6.6,0.1693,0.0833,0.0345,0.0866,2192.3925800959605,2142.3925800959605,50.0,0.9813312914473593,0,0,10
0,1771182378.6582143,14.0,7,0.0658,0.1344,0.0681,0.0499,7.4319,13.4382,4.9894,0.0,0.0,0.0,2.74,1.56,1.18,None,0.015210151672363281,5.825,True,None,sfc_cache_p2_2,0,None,28.99,4.33,132.0,17,12,4,2,0,False,100.0,7.168333333333333,5.555,5.5,0.2215,0.0833,0.0333,0.1164,2213.019593972982,2153.019593972982,60.0,0.9748623759826236,0,1,11
0,1771182378.6586826,14.0,7,0.0658,0.1344,0.0681,0.0499,7.4319,13.4382,4.9894,0.0,0.0,0.0,8.82,4.69,4.13,None,0.015210151672363281,5.798,True,None,sfc_unique_p2_2,0,None,28.99,4.33,132.0,17,12,4,2,0,False,100.0,7.168333333333333,5.555,5.5,0.2215,0.0833,0.0333,0.1164,2213.019593972982,2153.019593972982,60.0,0.9748623759826236,0,1,11
0,1771182378.6731844,14.1,8,0.0836,0.1377,0.0776,0.0499,9.6203,13.7748,4.9894,0.0,0.0,0.0,2.83,1.2,1.64,None,0.029958248138427734,5.816,True,None,sfc_cache_p3_2,0,None,32.99,4.33,165.0,20,14,4,2,0,False,100.0,7.953571428571428,4.880714285714285,4.714285714285714,0.2145,0.0833,0.0323,0.1151,2234.780931227277,2164.780931227277,70.0,0.9755119037020629,0,1,13
0,1771182378.6740544,14.1,8,0.0836,0.1377,0.0776,0.0499,9.6203,13.7748,4.9894,0.0,0.0,0.0,4.93,3.32,1.62,None,0.029958248138427734,5.781,True,None,sfc_unique_p3_2,0,None,32.99,4.33,165.0,20,14,4,2,0,False,100.0,7.953571428571428,4.880714285714285,4.714285714285714,0.2145,0.0833,0.0323,0.1151,2234.780931227277,2164.780931227277,70.0,0.9755119037020629,0,1,13
0,1771182378.6886547,14.1,9,0.0992,0.1377,0.0863,0.0499,11.5789,13.7748,4.9894,0.0,0.0,0.0,4.44,2.35,2.09,None,0.0453639030456543,5.847,True,None,sfc_cache_p4_2,0,None,41.32,4.33,198.0,24,16,4,2,0,False,100.0,8.37625,4.270625,4.125,0.1863,0.0833,0.0312,0.1091,2258.4639524314252,2178.4639524314252,80.0,0.9763567785431974,0,1,15
0,1771182378.6890926,14.1,9,0.0992,0.1377,0.0863,0.0499,11.5789,13.7748,4.9894,0.0,0.0,0.0,4.99,3.38,1.62,None,0.0453639030456543,5.776,True,None,sfc_unique_p4_2,0,None,41.32,4.33,198.0,24,16,4,2,0,False,100.0,8.37625,4.270625,4.125,0.1863,0.0833,0.0312,0.1091,2258.4639524314252,2178.4639524314252,80.0,0.9763567785431974,0,1,15
0,1771182394.6814506,30.1,11,0.1268,0.1377,0.0982,0.0748,15.0063,13.7748,7.4841,0.0,0.0,0.0,3.15,1.61,1.54,None,0.0001220703125,10.581,True,None,sfc_cache_p1_3,0,None,41.32,4.33,198.0,24,18,4,3,0,False,100.0,9.649444444444445,3.796111111111111,5.5,0.2025,0.0833,0.0303,0.125,2300.012288018114,2210.012288018114,90.0,0.9763506043954528,0,0,18
0,1771182394.682401,30.1,11,0.1268,0.1377,0.0982,0.0748,15.0063,13.7748,7.4841,0.0,0.0,0.0,9.03,5.75,3.28,None,0.0001220703125,10.076,True,None,sfc_unique_p1_3,0,None,41.32,4.33,198.0,24,18,4,3,0,False,100.0,9.649444444444445,3.796111111111111,5.5,0.2025,0.0833,0.0303,0.125,2300.012288018114,2210.012288018114,90.0,0.9763506043954528,0,0,18
0,1771182394.7096617,30.1,12,0.1372,0.1559,0.1176,0.0998,16.5329,15.5892,9.9788,0.0,0.0,0.0,3.27,1.73,1.54,None,0.026196956634521484,10.233,True,None,sfc_cache_p2_3,0,None,45.65,4.33,198.0,26,20,4,3,0,False,100.0,9.568000000000001,3.8665,6.6,0.1739,0.1216,0.0471,0.1157,2342.7805901385286,2242.7805901385286,100.0,0.9747808803377784,0,1,19
0,1771182394.7105405,30.1,12,0.1372,0.1559,0.1176,0.0998,16.5329,15.5892,9.9788,0.0,0.0,0.0,4.88,1.91,2.96,None,0.026196956634521484,10.268,True,None,sfc_unique_p2_3,0,None,45.65,4.33,198.0,26,20,4,3,0,False,100.0,9.568000000000001,3.8665,6.6,0.1739,0.1216,0.0471,0.1157,2342.7805901385286,2242.7805901385286,100.0,0.9747808803377784,0,1,19
0,1771182394.737072,30.1,13,0.1514,0.1559,0.1257,0.0998,18.4915,15.5892,9.9788,0.0,0.0,0.0,3.59,2.51,1.09,None,0.0543060302734375,10.155,True,None,sfc_cache_p3_3,0,None,53.98,4.33,231.0,30,22,4,3,0,False,100.0,9.728636363636364,3.515,6.0,0.152,0.1216,0.0457,0.1125,2357.672712101073,2247.672712101073,110.0,0.9744318926041089,0,1,21
0,1771182394.7379718,30.1,13,0.1514,0.1559,0.1257,0.0998,18.4915,15.5892,9.9788,0.0,0.0,0.0,4.51,2.54,1.97,None,0.0543060302734375,10.073,True,None,sfc_unique_p3_3,0,None,53.98,4.33,231.0,30,22,4,3,0,False,100.0,9.728636363636364,3.515,6.0,0.152,0.1216,0.0457,0.1125,2357.672712101073,2247.672712101073,110.0,0.9744318926041089,0,1,21
0,1771182394.7645855,30.1,14,0.1645,0.1559,0.133,0.0998,20.4501,15.5892,9.9788,0.0,0.0,0.0,3.59,2.51,1.09,None,0.0817422866821289,10.033,True,None,sfc_cache_p4_3,0,None,62.31,4.33,264.0,34,24,4,3,0,False,100.0,9.862499999999999,3.2220833333333334,5.5,0.1308,0.1216,0.0444,0.1099,2367.672712101073,2247.672712101073,120.0,0.9738851269043716,0,1,23
0,1771182394.7655373,30.1,14,0.1645,0.1559,0.133,0.0998,20.4501,15.5892,9.9788,0.0,0.0,0.0,4.57,2.6,1.97,None,0.0817422866821289,9.951,True,None,sfc_unique_p4_3,0,None,62.31,4.33,264.0,34,24,4,3,0,False,100.0,9.862499999999999,3.2220833333333334,5.5,0.1308,0.1216,0.0444,0.1099,2367.672712101073,2247.672712101073,120.0,0.9738851269043716,0,1,23
0,1771182410.6967678,46.1,16,0.1921,0.1559,0.1494,0.1247,24.1937,15.5892,12.4735,0.0,0.0,0.0,5.03,2.43,2.6,None,0.00015854835510253906,6.284,True,None,sfc_cache_p1_4,0,None,62.31,4.33,264.0,35,26,4,4,0,False,100.0,10.770384615384614,2.9742307692307692,6.346153846153846,0.1633,0.1216,0.052,0.1079,2398.088498305031,2268.088498305031,130.0,0.9740355682973243,0,1,25
0,1771182410.697346,46.1,16,0.1921,0.1559,0.1494,0.1247,24.1937,15.5892,12.4735,0.0,0.0,0.0,5.14,2.48,2.66,None,0.00015854835510253906,5.833,True,None,sfc_unique_p1_4,0,None,62.31,4.33,264.0,35,26,4,4,0,False,100.0,10.770384615384614,2.9742307692307692,6.346153846153846,0.1633,0.1216,0.052,0.1079,2398.088498305031,2268.088498305031,130.0,0.9740355682973243,0,1,25
0,1771182410.717636,46.1,17,0.2078,0.1559,0.1609,0.1497,26.4979,15.5892,14.9682,0.0,0.0,0.0,4.29,2.96,1.32,None,0.01732325553894043,7.046,True,None,sfc_cache_p2_4,0,None,66.64,4.33,264.0,38,28,4,4,0,False,100.0,10.953571428571427,2.7617857142857143,7.071428571428571,0.18,0.1216,0.0752,0.1178,2429.7187840193174,2289.7187840193174,140.0,0.9705339404210868,0,2,26
0,1771182410.7184505,46.1,17,0.2078,0.1559,0.1609,0.1497,26.4979,15.5892,14.9682,0.0,0.0,0.0,6.98,4.76,2.21,None,0.01732325553894043,7.844,True,None,sfc_unique_p2_4,0,None,66.64,4.33,264.0,38,28,4,4,0,False,100.0,10.953571428571427,2.7617857142857143,7.071428571428571,0.18,0.1216,0.0752,0.1178,2429.7187840193174,2289.7187840193174,140.0,0.9705339404210868,0,2,26
0,1771182410.7401607,46.1,18,0.2185,0.1559,0.176,0.1497,28.4565,15.5892,14.9682,0.0,0.0,0.0,4.29,2.96,1.32,None,0.03862452507019043,7.78,True,None,sfc_cache_p3_4,0,None,74.97,4.33,297.0,42,30,4,4,0,False,100.0,10.979000000000001,2.5776666666666666,6.6,0.1895,0.1216,0.0732,0.1231,2454.7577036911944,2304.7577036911944,150.0,0.9668652258565122,0,3,27
