No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1771183771.99349,0,1,0.0261,0.0,0.0059,0.0249,2.6783,0.0,2.4947,0.0,0.0,0.0,4.25,2.27,1.98,None,0.0001647472381591797,11.412,True,None,sfc_cache_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,15.5,0.0,16.5,0.0769,1.0,0.04,0.0855,2064.3940566475776,2054.3940566475776,10.0,0.9963131094257854,0,0,2
0,1771183771.9942577,0.0,1,0.0261,0.0,0.0059,0.0249,2.6783,0.0,2.4947,0.0,0.0,0.0,5.47,3.06,2.41,None,0.0001647472381591797,10.153,True,None,sfc_unique_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,15.5,0.0,16.5,0.0769,1.0,0.04,0.0855,2064.3940566475776,2054.3940566475776,10.0,0.9963131094257854,0,0,2
0,1771183772.0173776,0.0,2,0.0444,0.0,0.0118,0.0249,4.6369,0.0,2.4947,0.0,0.0,0.0,4.25,2.27,1.98,None,0.025167226791381836,10.023,True,None,sfc_cache_p2_1,0,None,8.33,0.0,33.0,5,4,2,1,0,False,100.0,13.4175,0.0,8.25,0.0714,1.0,0.0385,0.0855,2084.920290976629,2064.920290976629,20.0,0.9943482123510292,0,0,4
0,1771183772.0179734,0.0,2,0.0444,0.0,0.0118,0.0249,4.6369,0.0,2.4947,0.0,0.0,0.0,5.47,3.06,2.41,None,0.025167226791381836,9.783,True,None,sfc_unique_p2_1,0,None,8.33,0.0,33.0,5,4,2,1,0,False,100.0,13.4175,0.0,8.25,0.0714,1.0,0.0385,0.0855,2084.920290976629,2064.920290976629,20.0,0.9943482123510292,0,0,4
0,1771183772.0416667,0.0,3,0.0616,0.0,0.0177,0.0249,6.5955,0.0,2.4947,0.0,0.0,0.0,4.25,2.27,1.98,None,0.04885125160217285,9.863,True,None,sfc_cache_p3_1,0,None,16.66,0.0,66.0,9,6,3,1,0,False,100.0,12.723333333333334,0.0,5.5,0.0667,1.0,0.037,0.0855,2113.8037455502244,2083.8037455502244,30.0,0.992383315276273,0,0,6
0,1771183772.0422812,0.0,3,0.0616,0.0,0.0177,0.0249,6.5955,0.0,2.4947,0.0,0.0,0.0,5.47,3.06,2.41,None,0.04885125160217285,10.466,True,None,sfc_unique_p3_1,0,None,16.66,0.0,66.0,9,6,3,1,0,False,100.0,12.723333333333334,0.0,5.5,0.0667,1.0,0.037,0.0855,2113.8037455502244,2083.8037455502244,30.0,0.992383315276273,0,0,6
0,1771183772.0654228,0.1,4,0.078,0.0,0.0236,0.0249,8.5541,0.0,2.4947,0.0,0.0,0.0,4.25,2.27,1.98,None,0.07314467430114746,9.916,True,None,sfc_cache_p4_1,0,None,24.99,0.0,99.0,13,8,4,1,0,False,100.0,12.37625,0.0,4.125,0.0625,1.0,0.0357,0.0855,2142.7509673425166,2102.7509673425166,40.0,0.9904184182015169,0,0,8
0,1771183772.0660594,0.1,4,0.078,0.0,0.0236,0.0249,8.5541,0.0,2.4947,0.0,0.0,0.0,5.47,3.06,2.41,None,0.07314467430114746,9.899,True,None,sfc_unique_p4_1,0,None,24.99,0.0,99.0,13,8,4,1,0,False,100.0,12.37625,0.0,4.125,0.0625,1.0,0.0357,0.0855,2142.7509673425166,2102.7509673425166,40.0,0.9904184182015169,0,0,8
0,1771183794.0193474,22.0,6,0.1009,0.0,0.0278,0.0499,11.2325,0.0,4.9894,0.0,0.0,0.0,4.24,2.27,1.97,None,0.0002682209014892578,11.094,True,None,sfc_cache_p1_2,0,None,24.99,0.0,99.0,14,10,4,2,0,False,100.0,13.001,0.0,6.6,0.0588,1.0,0.0345,0.1153,2160.0,2110.0,50.0,0.9877315276273022,0,0,10
0,1771183794.0197606,22.0,6,0.1009,0.0,0.0278,0.0499,11.2325,0.0,4.9894,0.0,0.0,0.0,5.46,3.06,2.4,None,0.0002682209014892578,7.045,True,None,sfc_unique_p1_2,0,None,24.99,0.0,99.0,14,10,4,2,0,False,100.0,13.001,0.0,6.6,0.0588,1.0,0.0345,0.1153,2160.0,2110.0,50.0,0.9877315276273022,0,0,10
