timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1770988677.4626071;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;160.00;160.00;310.00;310.00;150.00;262.33;224.67;224.67;64.67;160.00;160.00;160.00;230.00;224.67;160.00;0.00;0.00;150.00;0.00;112.33;150.00;0.00;0.00;0.00
1770988677.4640179;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;160.00;160.00;310.00;310.00;150.00;262.33;224.67;224.67;64.67;160.00;160.00;160.00;230.00;224.67;160.00;0.00;0.00;150.00;0.00;112.33;150.00;0.00;0.00;0.00
1770988677.644104;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;320.00;310.00;460.00;460.00;300.00;749.33;544.67;544.67;384.67;320.00;320.00;320.00;230.00;384.67;160.00;0.00;0.00;150.00;0.00;224.66;300.00;0.00;0.00;0.00
1770988677.6446335;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;320.00;310.00;460.00;460.00;300.00;749.33;544.67;544.67;384.67;320.00;320.00;320.00;230.00;384.67;160.00;0.00;0.00;150.00;0.00;224.66;300.00;0.00;0.00;0.00
1770988677.821593;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;320.00;310.00;460.00;610.00;380.00;829.33;817.00;817.00;384.67;320.00;320.00;320.00;454.67;384.67;310.00;0.00;0.00;150.00;0.00;384.66;300.00;0.00;0.00;0.00
1770988677.8221512;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;320.00;310.00;460.00;610.00;380.00;829.33;817.00;817.00;384.67;320.00;320.00;320.00;454.67;384.67;310.00;0.00;0.00;150.00;0.00;384.66;300.00;0.00;0.00;0.00
1770988677.9999554;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;320.00;310.00;460.00;610.00;530.00;909.33;881.67;881.67;544.67;480.00;470.00;320.00;567.00;384.67;310.00;0.00;0.00;150.00;0.00;544.66;300.00;320.00;150.00;0.00
1770988678.0005202;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;320.00;310.00;460.00;610.00;530.00;909.33;881.67;881.67;544.67;480.00;470.00;320.00;567.00;384.67;310.00;0.00;0.00;150.00;0.00;544.66;300.00;320.00;150.00;0.00
1770989034.5299935;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;600.00;450.00;0.00;0.00;0.00;0.00;0.00;0.00;300.00;600.00;600.00;600.00;150.00;900.00;0.00;0.00;0.00;0.00;0.00;0.00;150.00;0.00;0.00;0.00
1770989034.5310853;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;600.00;450.00;0.00;0.00;0.00;0.00;0.00;0.00;300.00;600.00;600.00;600.00;150.00;900.00;0.00;0.00;0.00;0.00;0.00;0.00;150.00;0.00;0.00;0.00
