timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1772801642.749789;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;540.00;0.00;0.00;0.00;0.00;480.00;300.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1772801642.7504287;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;540.00;0.00;0.00;0.00;0.00;480.00;300.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1772801642.7856798;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1080.00;0.00;0.00;0.00;0.00;960.00;600.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1772801642.7861595;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1080.00;0.00;0.00;0.00;0.00;960.00;600.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1772801642.821303;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1620.00;0.00;0.00;0.00;0.00;1440.00;900.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1772801642.8217907;0.00;0.00;0.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1620.00;0.00;0.00;0.00;0.00;1440.00;900.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1772801642.8567622;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2160.00;0.00;0.00;0.00;0.00;1920.00;1200.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1772801642.857255;0.00;0.00;0.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2160.00;0.00;0.00;0.00;0.00;1920.00;1200.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1772801642.8923936;0.00;0.00;0.00;0.00;0.00;0.00;485.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2700.00;0.00;0.00;0.00;0.00;2400.00;1500.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1772801642.892927;0.00;0.00;0.00;0.00;0.00;0.00;485.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2700.00;0.00;0.00;0.00;0.00;2400.00;1500.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
