No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1771000484.069857,0,1,0.0264,0.0,0.0034,0.0249,2.6783,0.0,2.4947,0.0,0.0,0.0,4.12,3.03,1.1,None,0.0001533031463623047,11.024,True,None,sfc_cache_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,15.5,0.0,16.5,0.0769,1.0,0.04,0.0474,2064.3940566475776,2054.3940566475776,10.0,0.9765655471289274,0,0,2
0,1771000484.0705888,0.0,1,0.0264,0.0,0.0034,0.0249,2.6783,0.0,2.4947,0.0,0.0,0.0,5.61,4.08,1.53,None,0.0001533031463623047,9.306,True,None,sfc_unique_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,15.5,0.0,16.5,0.0769,1.0,0.04,0.0474,2064.3940566475776,2054.3940566475776,10.0,0.9765655471289274,0,0,2
0,1771000484.092359,0.0,2,0.0449,0.0,0.0067,0.0249,4.6369,0.0,2.4947,0.0,0.0,0.0,4.12,3.03,1.1,None,0.024728059768676758,9.142,True,None,sfc_cache_p2_1,0,None,8.33,0.0,33.0,5,4,2,1,0,False,100.0,13.4175,0.0,8.25,0.0714,1.0,0.0385,0.0474,2084.920290976629,2064.920290976629,20.0,0.9667410617551463,0,0,4
0,1771000484.092885,0.0,2,0.0449,0.0,0.0067,0.0249,4.6369,0.0,2.4947,0.0,0.0,0.0,5.61,4.08,1.53,None,0.024728059768676758,9.114,True,None,sfc_unique_p2_1,0,None,8.33,0.0,33.0,5,4,2,1,0,False,100.0,13.4175,0.0,8.25,0.0714,1.0,0.0385,0.0474,2084.920290976629,2064.920290976629,20.0,0.9667410617551463,0,0,4
0,1771000484.1146204,0.0,3,0.0623,0.0,0.0101,0.0249,6.5955,0.0,2.4947,0.0,0.0,0.0,4.12,3.03,1.1,None,0.04694342613220215,9.265,True,None,sfc_cache_p3_1,0,None,16.66,0.0,66.0,9,6,3,1,0,False,100.0,12.723333333333334,0.0,5.5,0.0667,1.0,0.037,0.0474,2113.8037455502244,2083.8037455502244,30.0,0.9569165763813651,0,6,0
0,1771000484.1151924,0.0,3,0.0623,0.0,0.0101,0.0249,6.5955,0.0,2.4947,0.0,0.0,0.0,5.61,4.08,1.53,None,0.04694342613220215,9.035,True,None,sfc_unique_p3_1,0,None,16.66,0.0,66.0,9,6,3,1,0,False,100.0,12.723333333333334,0.0,5.5,0.0667,1.0,0.037,0.0474,2113.8037455502244,2083.8037455502244,30.0,0.9569165763813651,0,6,0
0,1771000484.1371572,0.1,4,0.0795,0.0,0.0135,0.0249,8.5541,0.0,2.4947,0.0,0.0,0.0,4.12,3.03,1.1,None,0.06925082206726074,9.333,True,None,sfc_cache_p4_1,0,None,24.99,0.0,99.0,13,8,4,1,0,False,100.0,12.37625,0.0,4.125,0.0625,1.0,0.0357,0.0474,2142.7509673425166,2102.7509673425166,40.0,0.9470920910075841,0,8,0
0,1771000484.1377215,0.1,4,0.0795,0.0,0.0135,0.0249,8.5541,0.0,2.4947,0.0,0.0,0.0,5.61,4.08,1.53,None,0.06925082206726074,8.95,True,None,sfc_unique_p4_1,0,None,24.99,0.0,99.0,13,8,4,1,0,False,100.0,12.37625,0.0,4.125,0.0625,1.0,0.0357,0.0474,2142.7509673425166,2102.7509673425166,40.0,0.9470920910075841,0,8,0
0,1771000503.0846462,19.0,6,0.1024,0.0,0.0177,0.0499,11.2325,0.0,4.9894,0.0,0.0,0.0,4.02,3.03,0.99,None,0.00012946128845214844,10.714,True,None,sfc_cache_p1_2,0,None,24.99,0.0,99.0,14,10,4,2,0,False,100.0,13.001,0.0,6.6,0.0588,1.0,0.0345,0.0744,2160.0,2110.0,50.0,0.9336576381365111,0,10,0
0,1771000503.0854342,19.0,6,0.1024,0.0,0.0177,0.0499,11.2325,0.0,4.9894,0.0,0.0,0.0,5.5,4.08,1.42,None,0.00012946128845214844,9.204,True,None,sfc_unique_p1_2,0,None,24.99,0.0,99.0,14,10,4,2,0,False,100.0,13.001,0.0,6.6,0.0588,1.0,0.0345,0.0744,2160.0,2110.0,50.0,0.9336576381365111,0,10,0
0,1771000503.1107533,19.0,7,0.1185,0.0,0.0219,0.0499,13.1911,0.0,4.9894,0.0,0.0,0.0,4.02,3.03,0.99,None,0.0276949405670166,9.153,True,None,sfc_cache_p2_2,0,None,33.32,0.0,132.0,18,12,4,2,0,False,100.0,12.723333333333334,0.0,5.5,0.0556,1.0,0.0333,0.0939,2170.0,2110.0,60.0,0.9238331527627305,12,0,0
0,1771000503.111363,19.0,7,0.1185,0.0,0.0219,0.0499,13.1911,0.0,4.9894,0.0,0.0,0.0,5.5,4.08,1.42,None,0.0276949405670166,9.271,True,None,sfc_unique_p2_2,0,None,33.32,0.0,132.0,18,12,4,2,0,False,100.0,12.723333333333334,0.0,5.5,0.0556,1.0,0.0333,0.0939,2170.0,2110.0,60.0,0.9238331527627305,12,0,0
0,1771000503.1339693,19.1,8,0.1341,0.0,0.0315,0.0499,15.1497,0.0,4.9894,0.0,0.0,0.0,4.02,3.03,0.99,None,0.05074119567871094,9.028,True,None,sfc_cache_p3_2,0,None,41.65,0.0,165.0,22,14,4,2,0,False,100.0,12.525,0.0,4.714285714285714,0.0735,1.0,0.0323,0.1112,2195.1457142857143,2125.1457142857143,70.0,0.9194190197393594,14,0,0
0,1771000503.134645,19.1,8,0.1341,0.0,0.0315,0.0499,15.1497,0.0,4.9894,0.0,0.0,0.0,6.72,5.05,1.66,None,0.05074119567871094,9.29,True,None,sfc_unique_p3_2,0,None,41.65,0.0,165.0,22,14,4,2,0,False,100.0,12.525,0.0,4.714285714285714,0.0735,1.0,0.0323,0.1112,2195.1457142857143,2125.1457142857143,70.0,0.9194190197393594,14,0,0
0,1771000503.1588683,19.1,9,0.1549,0.0,0.0413,0.0748,17.828,0.0,7.4841,0.0,0.0,0.0,5.55,3.8,1.76,None,0.07409214973449707,10.048,True,None,sfc_cache_p4_2,0,None,41.65,0.0,165.0,24,16,4,2,0,False,100.0,12.896875,0.0,6.1875,0.0905,1.0,0.0563,0.1136,2220.3504813496365,2140.3504813496365,80.0,0.9135573634646919,16,0,0
