No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1771189003.5566587,0,1,0.0261,0.0,0.0068,0.0249,2.6783,0.0,2.4947,0.0,0.0,0.0,4.02,2.56,1.47,None,0.00017261505126953125,11.995,True,None,sfc_cache_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,15.5,0.0,16.5,0.0769,1.0,0.04,0.0597,2064.3940566475776,2054.3940566475776,10.0,0.9926398120136771,0,0,2
0,1771189003.5574393,0.0,1,0.0261,0.0,0.0068,0.0249,2.6783,0.0,2.4947,0.0,0.0,0.0,5.76,3.86,1.9,None,0.00017261505126953125,10.214,True,None,sfc_unique_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,15.5,0.0,16.5,0.0769,1.0,0.04,0.0597,2064.3940566475776,2054.3940566475776,10.0,0.9926398120136771,0,0,2
0,1771189003.580714,0.0,2,0.0327,0.0282,0.0167,0.0249,3.4274,2.8223,2.4947,0.0,0.0,0.0,3.4,1.93,1.47,None,0.026380062103271484,9.949,True,None,sfc_cache_p2_1,0,None,8.33,0.0,33.0,5,4,2,1,0,False,100.0,9.9175,3.5,8.25,0.0714,0.0833,0.0385,0.0597,2093.5876799257085,2073.5876799257085,20.0,0.9887283674056875,0,0,4
0,1771189003.5813339,0.0,2,0.0327,0.0282,0.0167,0.0249,3.4274,2.8223,2.4947,0.0,0.0,0.0,3.32,1.42,1.9,None,0.026380062103271484,10.048,True,None,sfc_unique_p2_1,0,None,8.33,0.0,33.0,5,4,2,1,0,False,100.0,9.9175,3.5,8.25,0.0714,0.0833,0.0385,0.0597,2093.5876799257085,2073.5876799257085,20.0,0.9887283674056875,0,0,4
0,1771189003.6053357,0.0,3,0.0334,0.0706,0.0245,0.0249,3.5716,7.0557,2.4947,0.0,0.0,0.0,3.98,2.52,1.47,None,0.050261735916137695,10.042,True,None,sfc_cache_p3_1,0,None,16.66,0.0,66.0,8,6,3,1,0,False,100.0,6.890000000000001,5.833333333333333,5.5,0.0723,0.0833,0.037,0.0607,2137.4508590001547,2107.4508590001547,30.0,0.9849240008257435,0,0,6
0,1771189003.6059892,0.0,3,0.0334,0.0706,0.0245,0.0249,3.5716,7.0557,2.4947,0.0,0.0,0.0,3.24,1.34,1.9,None,0.050261735916137695,10.574,True,None,sfc_unique_p3_1,0,None,16.66,0.0,66.0,8,6,3,1,0,False,100.0,6.890000000000001,5.833333333333333,5.5,0.0723,0.0833,0.037,0.0607,2137.4508590001547,2107.4508590001547,30.0,0.9849240008257435,0,0,6
0,1771189003.6297762,0.1,4,0.0355,0.1095,0.0319,0.0249,3.8593,10.9545,2.4947,0.0,0.0,0.0,4.57,3.11,1.47,None,0.0749216079711914,9.991,True,None,sfc_cache_p4_1,0,None,24.99,0.0,99.0,12,8,4,1,0,False,100.0,5.58375,6.7925,4.125,0.078,0.0833,0.0357,0.0615,2170.7413713047517,2130.7413713047517,40.0,0.9825668903387564,0,0,8
0,1771189003.630475,0.1,4,0.0355,0.1095,0.0319,0.0249,3.8593,10.9545,2.4947,0.0,0.0,0.0,3.24,1.34,1.9,None,0.0749216079711914,10.08,True,None,sfc_unique_p4_1,0,None,24.99,0.0,99.0,12,8,4,1,0,False,100.0,5.58375,6.7925,4.125,0.078,0.0833,0.0357,0.0615,2170.7413713047517,2130.7413713047517,40.0,0.9825668903387564,0,0,8
0,1771189022.5835226,19.0,6,0.0476,0.1391,0.047,0.0499,5.2702,13.9119,4.9894,0.0,0.0,0.0,2.02,1.3,0.71,None,0.0001437664031982422,11.161,True,None,sfc_cache_p1_2,0,None,24.99,0.0,99.0,13,10,4,2,0,False,100.0,6.1,6.901000000000001,6.6,0.1064,0.0833,0.0345,0.0737,2188.323788887169,2138.323788887169,50.0,0.9800281986563805,0,0,10
0,1771189022.5843413,19.0,6,0.0476,0.1391,0.047,0.0499,5.2702,13.9119,4.9894,0.0,0.0,0.0,3.77,1.99,1.78,None,0.0001437664031982422,10.505,True,None,sfc_unique_p1_2,0,None,24.99,0.0,99.0,13,10,4,2,0,False,100.0,6.1,6.901000000000001,6.6,0.1064,0.0833,0.0345,0.0737,2188.323788887169,2138.323788887169,50.0,0.9800281986563805,0,0,10
0,1771189022.6098976,19.1,7,0.067,0.1391,0.0544,0.0499,7.6029,13.9119,4.9894,0.0,0.0,0.0,4.05,2.65,1.4,None,0.027019977569580078,10.617,True,None,sfc_cache_p2_2,0,None,28.99,0.0,132.0,15,12,4,2,0,False,100.0,7.333333333333333,5.7508333333333335,5.5,0.1383,0.0833,0.0333,0.0768,2210.8605479028015,2150.8605479028015,60.0,0.9814176891800149,0,0,12
0,1771189022.6107502,19.1,7,0.067,0.1391,0.0544,0.0499,7.6029,13.9119,4.9894,0.0,0.0,0.0,4.53,3.34,1.19,None,0.027019977569580078,10.219,True,None,sfc_unique_p2_2,0,None,28.99,0.0,132.0,15,12,4,2,0,False,100.0,7.333333333333333,5.7508333333333335,5.5,0.1383,0.0833,0.0333,0.0768,2210.8605479028015,2150.8605479028015,60.0,0.9814176891800149,0,0,12
0,1771189022.637154,19.1,8,0.0827,0.1391,0.0635,0.0499,9.5615,13.9119,4.9894,0.0,0.0,0.0,3.08,2.0,1.08,None,0.05341172218322754,10.679,True,None,sfc_cache_p3_2,0,None,37.32,0.0,165.0,19,14,4,2,0,False,100.0,7.905,4.929285714285714,4.714285714285714,0.1263,0.0833,0.0323,0.0763,2231.943352422226,2161.943352422226,70.0,0.9805412790851686,0,0,14
0,1771189022.6380215,19.1,8,0.0827,0.1391,0.0635,0.0499,9.5615,13.9119,4.9894,0.0,0.0,0.0,3.72,2.21,1.51,None,0.05341172218322754,10.149,True,None,sfc_unique_p3_2,0,None,37.32,0.0,165.0,19,14,4,2,0,False,100.0,7.905,4.929285714285714,4.714285714285714,0.1263,0.0833,0.0323,0.0763,2231.943352422226,2161.943352422226,70.0,0.9805412790851686,0,0,14
0,1771189022.6640227,19.1,9,0.1012,0.1391,0.066,0.0748,11.8657,13.9119,7.4841,0.0,0.0,0.0,2.88,2.12,0.76,None,0.08072209358215332,10.528,True,None,sfc_cache_p4_2,0,None,41.65,0.0,165.0,22,16,4,2,0,False,100.0,8.58375,4.313125,6.1875,0.1076,0.0833,0.0563,0.0787,2264.23370995202,2184.23370995202,80.0,0.9812460692473522,0,0,16
0,1771189022.6649392,19.1,9,0.1012,0.1391,0.066,0.0748,11.8657,13.9119,7.4841,0.0,0.0,0.0,4.05,2.86,1.19,None,0.08072209358215332,10.281,True,None,sfc_unique_p4_2,0,None,41.65,0.0,165.0,22,16,4,2,0,False,100.0,8.58375,4.313125,6.1875,0.1076,0.0833,0.0563,0.0787,2264.23370995202,2184.23370995202,80.0,0.9812460692473522,0,0,16
0,1771189043.5991273,40.0,11,0.1223,0.1391,0.0838,0.0998,14.544,13.9119,9.9788,0.0,0.0,0.0,4.32,2.36,1.96,None,0.0001881122589111328,10.78,True,None,sfc_cache_p1_3,0,None,41.65,0.0,165.0,22,18,4,3,0,False,100.0,9.352222222222222,3.833888888888889,7.333333333333333,0.1325,0.0833,0.0606,0.1078,2294.1396780684104,2204.1396780684104,90.0,0.9786237299518379,0,0,18
