No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1771176382.463471,0,1,0.0262,0.0,0.0036,0.0249,2.6783,0.0,2.4947,0.0,0.0,0.0,2.92,2.35,0.57,None,0.00017118453979492188,7.242,True,None,sfc_cache_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,15.5,0.0,16.5,0.0952,1.0,0.04,0.0389,2064.3940566475776,2054.3940566475776,10.0,0.9959596109957755,0,0,2
0,1771176382.4639208,0.0,1,0.0262,0.0,0.0036,0.0249,2.6783,0.0,2.4947,0.0,0.0,0.0,4.32,3.27,1.05,None,0.00017118453979492188,5.825,True,None,sfc_unique_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,15.5,0.0,16.5,0.0952,1.0,0.04,0.0389,2064.3940566475776,2054.3940566475776,10.0,0.9959596109957755,0,0,2
0,1771176382.4774234,0.0,2,0.0444,0.0,0.0053,0.0249,4.6369,0.0,2.4947,0.0,0.0,0.0,2.92,2.35,0.57,None,0.015631675720214844,5.829,True,None,sfc_cache_p2_1,0,None,8.33,0.0,33.0,5,4,2,1,0,False,100.0,13.4175,0.0,8.25,0.0808,1.0,0.0385,0.0366,2084.920290976629,2064.920290976629,20.0,0.9943164081654341,0,0,4
0,1771176382.4777908,0.0,2,0.0444,0.0,0.0053,0.0249,4.6369,0.0,2.4947,0.0,0.0,0.0,4.17,3.17,1.0,None,0.015631675720214844,5.772,True,None,sfc_unique_p2_1,0,None,8.33,0.0,33.0,5,4,2,1,0,False,100.0,13.4175,0.0,8.25,0.0808,1.0,0.0385,0.0366,2084.920290976629,2064.920290976629,20.0,0.9943164081654341,0,0,4
0,1771176382.491255,0.0,3,0.0616,0.0,0.007,0.0249,6.5955,0.0,2.4947,0.0,0.0,0.0,2.92,2.35,0.57,None,0.029466629028320312,5.727,True,None,sfc_cache_p3_1,0,None,16.66,0.0,66.0,9,6,3,1,0,False,100.0,12.723333333333334,0.0,5.5,0.0727,1.0,0.037,0.0337,2112.566785327349,2082.566785327349,30.0,0.9924587425054826,0,0,6
0,1771176382.4916117,0.0,3,0.0616,0.0,0.007,0.0249,6.5955,0.0,2.4947,0.0,0.0,0.0,4.17,3.17,1.0,None,0.029466629028320312,5.804,True,None,sfc_unique_p3_1,0,None,16.66,0.0,66.0,9,6,3,1,0,False,100.0,12.723333333333334,0.0,5.5,0.0727,1.0,0.037,0.0337,2112.566785327349,2082.566785327349,30.0,0.9924587425054826,0,0,6
0,1771176382.5054169,0.0,4,0.078,0.0,0.0087,0.0249,8.5541,0.0,2.4947,0.0,0.0,0.0,2.92,2.35,0.57,None,0.043276309967041016,5.698,True,None,sfc_cache_p4_1,0,None,24.99,0.0,99.0,13,8,4,1,0,False,100.0,12.37625,0.0,4.125,0.0668,1.0,0.0357,0.0318,2141.514007119641,2101.514007119641,40.0,0.9905474611381289,0,0,8
0,1771176382.5057778,0.0,4,0.078,0.0,0.0087,0.0249,8.5541,0.0,2.4947,0.0,0.0,0.0,4.17,3.17,1.0,None,0.043276309967041016,5.807,True,None,sfc_unique_p4_1,0,None,24.99,0.0,99.0,13,8,4,1,0,False,100.0,12.37625,0.0,4.125,0.0668,1.0,0.0357,0.0318,2141.514007119641,2101.514007119641,40.0,0.9905474611381289,0,0,8
0,1771176406.5017378,24.0,6,0.1009,0.0,0.0129,0.0499,11.2325,0.0,4.9894,0.0,0.0,0.0,3.92,2.35,1.57,None,0.00015425682067871094,10.803,True,None,sfc_cache_p1_2,0,None,24.99,0.0,99.0,14,10,4,2,0,False,100.0,13.001,0.0,6.6,0.0619,1.0,0.0345,0.0573,2161.5462002785944,2111.5462002785944,50.0,0.9878928330261745,0,0,10
0,1771176406.5024288,24.0,6,0.1009,0.0,0.0129,0.0499,11.2325,0.0,4.9894,0.0,0.0,0.0,5.17,3.17,2.0,None,0.00015425682067871094,9.908,True,None,sfc_unique_p1_2,0,None,24.99,0.0,99.0,14,10,4,2,0,False,100.0,13.001,0.0,6.6,0.0619,1.0,0.0345,0.0573,2161.5462002785944,2111.5462002785944,50.0,0.9878928330261745,0,0,10
0,1771176406.5261965,24.1,7,0.1099,0.0181,0.0198,0.0499,12.4135,1.8143,4.9894,0.0,0.0,0.0,3.92,2.35,1.57,None,0.025116920471191406,9.903,True,None,sfc_cache_p2_2,0,None,33.32,0.0,132.0,18,12,4,2,0,False,100.0,11.973333333333334,0.75,5.5,0.0582,0.0833,0.0333,0.0767,2181.2970128463085,2121.2970128463085,60.0,0.9848035092721342,0,0,12
0,1771176406.5268714,24.1,7,0.1099,0.0181,0.0198,0.0499,12.4135,1.8143,4.9894,0.0,0.0,0.0,4.46,2.46,2.0,None,0.025116920471191406,10.051,True,None,sfc_unique_p2_2,0,None,33.32,0.0,132.0,18,12,4,2,0,False,100.0,11.973333333333334,0.75,5.5,0.0582,0.0833,0.0333,0.0767,2181.2970128463085,2121.2970128463085,60.0,0.9848035092721342,0,0,12
