No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1770599521.3062835,0,1,0.0273,0.0,0.0071,0.0249,2.775,0.0,2.5848,0.0,0.0,0.0,5.0,3.11,1.89,None,0.0,43.307,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,True,100.0,15.5,0.0,16.5,0.1186,1.0,0.0435,0.0531,2005.7021420832689,1995.7021420832689,10.0,0.9201881885249414,0,1,1
0,1770599521.3181107,0.0,1,0.0273,0.0,0.0071,0.0249,2.775,0.0,2.5848,0.0,0.0,0.0,6.2,3.53,2.67,None,0.0,20.194,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,True,100.0,15.5,0.0,16.5,0.1186,1.0,0.0435,0.0531,2005.7021420832689,1995.7021420832689,10.0,0.9201881885249414,0,1,1
0,1770599521.429526,0.1,2,0.039,0.0181,0.0152,0.0249,4.0282,1.8109,2.5848,0.0,0.0,0.0,4.53,3.0,1.53,None,0.1336367130279541,39.58,True,None,sfc_cache_p2_1,0,None,8.33,0,33.0,3,4,0,0,0,True,100.0,11.25,2.1675,8.25,0.0991,0.0909,0.0417,0.0518,2039.542683795078,2019.542683795078,20.0,0.895839414399036,1,2,1
0,1770599521.4351768,0.1,2,0.039,0.0181,0.0152,0.0249,4.0282,1.8109,2.5848,0.0,0.0,0.0,5.82,3.12,2.7,None,0.1336367130279541,33.033,True,None,sfc_unique_p2_1,0,None,8.33,0,33.0,3,4,0,0,0,True,100.0,11.25,2.1675,8.25,0.0991,0.0909,0.0417,0.0518,2039.542683795078,2019.542683795078,20.0,0.895839414399036,1,2,1
0,1770599521.5151813,0.2,3,0.0571,0.0181,0.0177,0.0249,6.0576,1.8109,2.5848,0.0,0.0,0.0,4.88,3.0,1.88,None,0.25418853759765625,24.814,True,None,sfc_cache_p3_1,0,None,16.66,0,66.0,7,6,0,0,0,True,100.0,11.278333333333334,1.445,5.5,0.085,0.0909,0.04,0.0527,2063.968624052004,2033.9686240520043,30.0,0.8634610814808686,1,5,0
0,1770599521.5261304,0.2,3,0.0571,0.0181,0.0177,0.0249,6.0576,1.8109,2.5848,0.0,0.0,0.0,7.38,4.04,3.33,None,0.25418853759765625,25.808,True,None,sfc_unique_p3_1,0,None,16.66,0,66.0,7,6,0,0,0,True,100.0,11.278333333333334,1.445,5.5,0.085,0.0909,0.04,0.0527,2063.968624052004,2033.9686240520043,30.0,0.8634610814808686,1,5,0
0,1770599521.6088486,0.3,4,0.0742,0.0181,0.0202,0.0249,8.0869,1.8109,2.5848,0.0,0.0,0.0,4.51,3.0,1.51,None,0.3407769203186035,25.474,True,None,sfc_cache_p4_1,0,None,24.99,0,99.0,11,8,0,0,0,True,100.0,11.2925,1.08375,4.125,0.076,0.0909,0.0385,0.0515,2092.915845844296,2052.915845844296,40.0,0.8303768658699923,2,6,0
0,1770599521.6157503,0.3,4,0.0742,0.0181,0.0202,0.0249,8.0869,1.8109,2.5848,0.0,0.0,0.0,6.64,4.04,2.6,None,0.3407769203186035,24.162,True,None,sfc_unique_p4_1,0,None,24.99,0,99.0,11,8,0,0,0,True,100.0,11.2925,1.08375,4.125,0.076,0.0909,0.0385,0.0515,2092.915845844296,2052.915845844296,40.0,0.8303768658699923,2,6,0
0,1770599534.3851616,13.1,6,0.1602,0.0323,0.0395,0.0499,18.1011,3.2301,6.3098,0.0,0.0,0.0,4.95,2.33,2.62,None,0.0006864070892333984,36.535,True,None,sfc_cache_p1_2,0,None,29.32,0,99.0,12,18,0,0,0,True,100.0,9.203888888888889,0.7038888888888889,3.6666666666666665,0.4001,0.1634,0.0435,0.0879,1760.0626647050667,1710.0626647050667,50.0,0.920097745069822,8,2,0
0,1770599534.394066,13.1,6,0.1602,0.0323,0.0395,0.0499,18.1011,3.2301,6.3098,0.0,0.0,0.0,7.8,4.54,3.26,None,0.0006864070892333984,30.627,True,None,sfc_unique_p1_2,0,None,29.32,0,99.0,12,18,0,0,0,True,100.0,9.203888888888889,0.7038888888888889,3.6666666666666665,0.4001,0.1634,0.0435,0.0879,1760.0626647050667,1710.0626647050667,50.0,0.920097745069822,8,2,0
