No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762054438.5850837,0,1,0.0,0.0781,0.0051,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,4.19,1.91,2.29,None,0.0011315345764160156,21.475,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,0.0,15.5,16.5,2095.5687973997833,10.0,2105.5687973997833
0,1762054438.5858524,0.0,1,0.0,0.0781,0.0051,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,6.38,2.57,3.82,None,0.0011315345764160156,23.016,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,0.0,15.5,16.5,2095.5687973997833,10.0,2105.5687973997833
0,1762054438.63978,0.1,2,0.0,0.1352,0.0101,0.0249,0.0,13.5243,2.4947,0.0,0.0,0.0,3.58,1.91,1.67,None,0.08464288711547852,20.298,True,None,sfc_cache_p2_1,0,None,0,8.33,33.0,5,4,0,0,0,False,100.0,0.0,13.4175,8.25,2110.0,20.0,2130.0
0,1762054438.640423,0.1,2,0.0,0.1352,0.0101,0.0249,0.0,13.5243,2.4947,0.0,0.0,0.0,5.16,2.57,2.59,None,0.08464288711547852,22.906,True,None,sfc_unique_p2_1,0,None,0,8.33,33.0,5,4,0,0,0,False,100.0,0.0,13.4175,8.25,2110.0,20.0,2130.0
0,1762054438.6902356,0.1,3,0.004,0.1924,0.0264,0.0499,0.432,19.237,4.9894,0.0,0.0,0.0,4.51,2.24,2.27,None,0.13917779922485352,19.583,True,None,sfc_cache_p3_1,0,None,0,12.66,33.0,7,6,0,0,0,False,100.0,0.6666666666666666,12.723333333333334,11.0,2140.761492029098,30.0,2170.761492029098
0,1762054438.6908438,0.1,3,0.004,0.1924,0.0264,0.0499,0.432,19.237,4.9894,0.0,0.0,0.0,5.6,2.88,2.71,None,0.13917779922485352,22.674,True,None,sfc_unique_p3_1,0,None,0,12.66,33.0,7,6,0,0,0,False,100.0,0.6666666666666666,12.723333333333334,11.0,2140.761492029098,30.0,2170.761492029098
0,1762054438.743875,0.2,4,0.0081,0.2596,0.0326,0.0748,0.8996,25.9576,7.4841,0.0,0.0,0.0,4.61,2.23,2.37,None,0.189558744430542,19.902,True,None,sfc_cache_p4_1,0,None,0,12.66,33.0,9,8,0,0,0,False,100.0,1.04125,12.87625,12.375,2196.576381365114,40.0,2236.576381365114
0,1762054438.7445023,0.2,4,0.0081,0.2596,0.0326,0.0748,0.8996,25.9576,7.4841,0.0,0.0,0.0,5.96,2.81,3.15,None,0.189558744430542,22.336,True,None,sfc_unique_p4_1,0,None,0,12.66,33.0,9,8,0,0,0,False,100.0,1.04125,12.87625,12.375,2196.576381365114,40.0,2236.576381365114
0,1762054438.7950273,0.2,5,0.0247,0.2831,0.0438,0.0748,2.8079,28.3086,7.4841,0.0,0.0,0.0,4.24,2.03,2.21,None,0.24230599403381348,19.522,True,None,sfc_cache_p5_1,0,None,0,16.66,66.0,12,10,0,0,0,False,100.0,2.6,11.234,9.9,2206.832146726513,50.0,2256.832146726513
0,1762054438.795625,0.2,5,0.0247,0.2831,0.0438,0.0748,2.8079,28.3086,7.4841,0.0,0.0,0.0,5.95,2.96,2.99,None,0.24230599403381348,22.57,True,None,sfc_unique_p5_1,0,None,0,16.66,66.0,12,10,0,0,0,False,100.0,2.6,11.234,9.9,2206.832146726513,50.0,2256.832146726513
0,1762054438.8520076,0.3,6,0.0404,0.3058,0.0587,0.0998,4.7162,30.5766,9.9788,0.0,0.0,0.0,4.85,2.06,2.79,None,0.2933690547943115,20.101,True,None,sfc_cache_p6_1,0,None,0,20.99,66.0,15,12,0,0,0,False,100.0,3.6391666666666667,10.111666666666666,11.0,2222.505030181087,60.0,2282.505030181087
0,1762054438.8526385,0.3,6,0.0404,0.3058,0.0587,0.0998,4.7162,30.5766,9.9788,0.0,0.0,0.0,5.95,2.96,2.99,None,0.2933690547943115,22.652,True,None,sfc_unique_p6_1,0,None,0,20.99,66.0,15,12,0,0,0,False,100.0,3.6391666666666667,10.111666666666666,11.0,2222.505030181087,60.0,2282.505030181087
0,1762054467.5628972,29.0,6,0.0656,0.31,0.0673,0.1247,7.8837,30.9974,12.4735,0.0,0.0,0.0,4.21,2.19,2.01,None,0.00021028518676757812,19.358,True,None,sfc_cache_p1_2,0,None,0,20.99,66.0,16,14,0,0,0,False,100.0,5.214285714285714,8.786428571428571,11.785714285714286,2249.5561832533667,70.0,2319.5561832533667
