No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762061390.2601378,0,1,0.0328,0.0,0.0034,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,4.09,2.16,1.92,None,0.0011501312255859375,6.49,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,2057.9925708094725,10.0,2067.9925708094725
0,1762061390.2605839,0.0,1,0.0328,0.0,0.0034,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,6.29,2.92,3.38,None,0.0011501312255859375,5.45,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,2057.9925708094725,10.0,2067.9925708094725
0,1762061390.2771816,0.0,2,0.055,0.0,0.0067,0.0249,5.7961,0.0,2.4947,0.0,0.0,0.0,4.19,2.16,2.03,None,0.039550065994262695,5.359,True,None,sfc_cache_p2_1,0,None,8.33,0,33.0,5,4,0,0,0,False,100.0,13.4175,0.0,8.25,2076.070654697415,20.0,2096.070654697415
0,1762061390.2775397,0.0,2,0.055,0.0,0.0067,0.0249,5.7961,0.0,2.4947,0.0,0.0,0.0,6.5,2.92,3.58,None,0.039550065994262695,5.306,True,None,sfc_unique_p2_1,0,None,8.33,0,33.0,5,4,0,0,0,False,100.0,13.4175,0.0,8.25,2076.070654697415,20.0,2096.070654697415
0,1762061390.2936502,0.0,3,0.0763,0.0,0.0101,0.0249,8.2444,0.0,2.4947,0.0,0.0,0.0,4.05,2.16,1.89,None,0.05649518966674805,5.42,True,None,sfc_cache_p3_1,0,None,16.66,0,66.0,9,6,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2099.7546819377803,30.0,2129.7546819377803
0,1762061390.2940032,0.0,3,0.0763,0.0,0.0101,0.0249,8.2444,0.0,2.4947,0.0,0.0,0.0,6.22,2.92,3.3,None,0.05649518966674805,5.325,True,None,sfc_unique_p3_1,0,None,16.66,0,66.0,9,6,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2099.7546819377803,30.0,2129.7546819377803
0,1762061390.3081567,0.0,4,0.0965,0.0,0.0135,0.0249,10.6927,0.0,2.4947,0.0,0.0,0.0,4.19,2.16,2.03,None,0.07289814949035645,5.328,True,None,sfc_cache_p4_1,0,None,24.99,0,99.0,13,8,0,0,0,False,100.0,12.37625,0.0,4.125,2110.0,40.0,2150.0
0,1762061390.3085196,0.0,4,0.0965,0.0,0.0135,0.0249,10.6927,0.0,2.4947,0.0,0.0,0.0,6.5,2.92,3.58,None,0.07289814949035645,5.268,True,None,sfc_unique_p4_1,0,None,24.99,0,99.0,13,8,0,0,0,False,100.0,12.37625,0.0,4.125,2110.0,40.0,2150.0
0,1762061390.3248384,0.1,5,0.1165,0.0,0.0169,0.0249,13.141,0.0,2.4947,0.0,0.0,0.0,4.19,2.16,2.03,None,0.08647704124450684,5.417,True,None,sfc_cache_p5_1,0,None,33.32,0,132.0,17,10,0,0,0,False,100.0,12.168000000000001,0.0,3.3,2110.0,50.0,2160.0
0,1762061390.3251662,0.1,5,0.1165,0.0,0.0169,0.0249,13.141,0.0,2.4947,0.0,0.0,0.0,6.5,2.92,3.58,None,0.08647704124450684,5.221,True,None,sfc_unique_p5_1,0,None,33.32,0,132.0,17,10,0,0,0,False,100.0,12.168000000000001,0.0,3.3,2110.0,50.0,2160.0
0,1762061390.340376,0.1,6,0.1357,0.0,0.023,0.0249,15.5892,0.0,2.4947,0.0,0.0,0.0,4.05,2.16,1.89,None,0.10306334495544434,5.457,True,None,sfc_cache_p6_1,0,None,41.65,0,165.0,20,12,0,0,0,False,100.0,12.029166666666667,0.0,2.75,2120.2557653613994,60.0,2180.2557653613994
0,1762061390.3407075,0.1,6,0.1357,0.0,0.023,0.0249,15.5892,0.0,2.4947,0.0,0.0,0.0,7.23,3.39,3.84,None,0.10306334495544434,5.387,True,None,sfc_unique_p6_1,0,None,41.65,0,165.0,20,12,0,0,0,False,100.0,12.029166666666667,0.0,2.75,2120.2557653613994,60.0,2180.2557653613994
0,1762061413.2602525,23.0,6,0.1611,0.0,0.0256,0.0499,18.9371,0.0,4.9894,0.0,0.0,0.0,3.72,2.18,1.54,None,0.0009965896606445312,9.9,True,None,sfc_cache_p1_2,0,None,41.65,0,165.0,21,14,0,0,0,False,100.0,12.525,0.0,4.714285714285714,2138.2483361708714,70.0,2208.2483361708714
0,1762061413.2608783,23.0,6,0.1611,0.0,0.0256,0.0499,18.9371,0.0,4.9894,0.0,0.0,0.0,5.44,2.94,2.5,None,0.0009965896606445312,9.135,True,None,sfc_unique_p1_2,0,None,41.65,0,165.0,21,14,0,0,0,False,100.0,12.525,0.0,4.714285714285714,2138.2483361708714,70.0,2208.2483361708714
0,1762061413.2860148,23.0,7,0.1768,0.0,0.0281,0.0499,21.3854,0.0,4.9894,0.0,0.0,0.0,3.95,2.18,1.77,None,0.02832341194152832,10.101,True,None,sfc_cache_p2_2,0,None,49.98,0,198.0,25,16,0,0,0,False,100.0,12.37625,0.0,4.125,2160.505339730692,80.0,2240.505339730692
0,1762061413.2865958,23.0,7,0.1768,0.0,0.0281,0.0499,21.3854,0.0,4.9894,0.0,0.0,0.0,5.89,2.94,2.95,None,0.02832341194152832,9.196,True,None,sfc_unique_p2_2,0,None,49.98,0,198.0,25,16,0,0,0,False,100.0,12.37625,0.0,4.125,2160.505339730692,80.0,2240.505339730692
0,1762061413.315601,23.1,8,0.1917,0.0,0.0306,0.0499,23.8336,0.0,4.9894,0.0,0.0,0.0,3.67,2.18,1.49,None,0.05324268341064453,9.557,True,None,sfc_cache_p3_2,0,None,58.31,0,231.0,29,18,0,0,0,False,100.0,12.260555555555555,0.0,3.6666666666666665,2184.189366971057,90.0,2274.189366971057
0,1762061413.3161972,23.1,8,0.1917,0.0,0.0306,0.0499,23.8336,0.0,4.9894,0.0,0.0,0.0,5.33,2.94,2.39,None,0.05324268341064453,9.187,True,None,sfc_unique_p3_2,0,None,58.31,0,231.0,29,18,0,0,0,False,100.0,12.260555555555555,0.0,3.6666666666666665,2184.189366971057,90.0,2274.189366971057
0,1762061413.34289,23.1,9,0.2059,0.0,0.0331,0.0499,26.2819,0.0,4.9894,0.0,0.0,0.0,3.64,2.18,1.46,None,0.08282303810119629,9.606,True,None,sfc_cache_p4_2,0,None,66.64,0,264.0,33,20,0,0,0,False,100.0,12.168000000000001,0.0,3.3,2185.0321157715525,100.0,2285.0321157715525
0,1762061413.3435228,23.1,9,0.2059,0.0,0.0331,0.0499,26.2819,0.0,4.9894,0.0,0.0,0.0,5.28,2.94,2.34,None,0.08282303810119629,9.54,True,None,sfc_unique_p4_2,0,None,66.64,0,264.0,33,20,0,0,0,False,100.0,12.168000000000001,0.0,3.3,2185.0321157715525,100.0,2285.0321157715525
0,1762061413.3740077,23.1,10,0.214,0.0227,0.0384,0.0499,27.7582,2.2679,4.9894,0.0,0.0,0.0,3.6,2.18,1.42,None,0.11011362075805664,9.555,True,None,sfc_cache_p5_2,0,None,74.97,0,297.0,37,22,0,0,0,False,100.0,11.683181818181817,0.4090909090909091,3.0,2197.2206314811947,110.0,2307.2206314811947
0,1762061413.3746064,23.1,10,0.214,0.0227,0.0384,0.0499,27.7582,2.2679,4.9894,0.0,0.0,0.0,5.45,3.2,2.25,None,0.11011362075805664,9.394,True,None,sfc_unique_p5_2,0,None,74.97,0,297.0,37,22,0,0,0,False,100.0,11.683181818181817,0.4090909090909091,3.0,2197.2206314811947,110.0,2307.2206314811947
0,1762061413.3992062,23.1,11,0.2137,0.0672,0.0436,0.0499,28.2982,6.7206,4.9894,0.0,0.0,0.0,3.72,2.18,1.54,None,0.14116859436035156,9.488,True,None,sfc_cache_p6_2,0,None,83.3,0,330.0,41,24,0,0,0,False,100.0,10.917916666666665,1.11125,2.75,2230.0456585667853,120.0,2350.0456585667853
0,1762061413.3997667,23.1,11,0.2137,0.0672,0.0436,0.0499,28.2982,6.7206,4.9894,0.0,0.0,0.0,5.98,3.49,2.5,None,0.14116859436035156,9.283,True,None,sfc_unique_p6_2,0,None,83.3,0,330.0,41,24,0,0,0,False,100.0,10.917916666666665,1.11125,2.75,2230.0456585667853,120.0,2350.0456585667853
0,1762061429.2726192,39.0,11,0.2169,0.1184,0.0506,0.0748,29.4505,11.8436,7.4841,0.0,0.0,0.0,4.04,2.59,1.46,None,0.00017142295837402344,10.324,True,None,sfc_cache_p1_3,0,None,83.3,0,330.0,41,26,0,0,0,False,100.0,10.488461538461538,1.8076923076923077,3.8076923076923075,2260.2557653613994,130.0,2390.2557653613994
0,1762061429.273252,39.0,11,0.2169,0.1184,0.0506,0.0748,29.4505,11.8436,7.4841,0.0,0.0,0.0,6.93,3.63,3.3,None,0.00017142295837402344,9.734,True,None,sfc_unique_p1_3,0,None,83.3,0,330.0,41,26,0,0,0,False,100.0,10.488461538461538,1.8076923076923077,3.8076923076923075,2260.2557653613994,130.0,2390.2557653613994
0,1762061429.2955415,39.0,12,0.2254,0.131,0.0572,0.0748,31.3588,13.1035,7.4841,0.0,0.0,0.0,3.81,2.73,1.09,None,0.029172420501708984,9.584,True,None,sfc_cache_p2_3,0,None,83.3,8.33,363.0,45,28,0,0,0,False,100.0,10.370357142857143,1.8571428571428572,3.5357142857142856,2270.5115307227984,140.0,2410.5115307227984
