No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762818539.5665905,0,1,0.0,0.0781,0.0042,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,5.55,3.42,2.13,None,0.0003001689910888672,21.943,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,0.0,15.5,16.5,1.0,0.0833,0.04,0.0474,2095.5687973997833,10.0,2105.5687973997833
0,1762818539.5674844,0.0,1,0.0,0.0781,0.0042,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,8.46,4.61,3.85,None,0.0003001689910888672,23.867,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,0.0,15.5,16.5,1.0,0.0833,0.04,0.0474,2095.5687973997833,10.0,2105.5687973997833
0,1762818539.6172388,0.1,2,0.0,0.1352,0.0084,0.0249,0.0,13.5243,2.4947,0.0,0.0,0.0,5.28,3.42,1.86,None,0.07539844512939453,20.521,True,None,sfc_cache_p2_1,0,None,0,8.33,33.0,5,4,0,0,0,False,100.0,0.0,13.4175,8.25,1.0,0.0833,0.0385,0.0474,2110.0,20.0,2130.0
0,1762818539.6179094,0.1,2,0.0,0.1352,0.0084,0.0249,0.0,13.5243,2.4947,0.0,0.0,0.0,7.92,4.61,3.31,None,0.07539844512939453,23.432,True,None,sfc_unique_p2_1,0,None,0,8.33,33.0,5,4,0,0,0,False,100.0,0.0,13.4175,8.25,1.0,0.0833,0.0385,0.0474,2110.0,20.0,2130.0
0,1762818539.6575928,0.1,3,0.0253,0.1395,0.0154,0.0499,2.6999,13.9452,4.9894,0.0,0.0,0.0,4.95,2.99,1.96,None,0.12575364112854004,20.346,True,None,sfc_cache_p3_1,0,None,0,12.66,33.0,8,6,0,0,0,False,100.0,4.166666666666667,9.223333333333334,11.0,0.0667,0.0833,0.0639,0.0474,2124.5101377495744,30.0,2154.5101377495744
0,1762818539.6580744,0.1,3,0.0253,0.1395,0.0154,0.0499,2.6999,13.9452,4.9894,0.0,0.0,0.0,6.77,3.26,3.51,None,0.12575364112854004,15.127,True,None,sfc_unique_p3_1,0,None,0,12.66,33.0,8,6,0,0,0,False,100.0,4.166666666666667,9.223333333333334,11.0,0.0667,0.0833,0.0639,0.0474,2124.5101377495744,30.0,2154.5101377495744
0,1762818539.7022815,0.1,4,0.047,0.1395,0.0228,0.0499,5.1482,13.9452,4.9894,0.0,0.0,0.0,4.57,2.76,1.82,None,0.16568279266357422,15.568,True,None,sfc_cache_p4_1,0,None,4,16.99,66.0,12,8,0,0,0,False,100.0,5.95875,6.9175,8.25,0.0625,0.0833,0.0616,0.0474,2139.802275189599,40.0,2179.802275189599
0,1762818539.703038,0.1,4,0.047,0.1395,0.0228,0.0499,5.1482,13.9452,4.9894,0.0,0.0,0.0,6.48,3.26,3.23,None,0.16568279266357422,23.721,True,None,sfc_unique_p4_1,0,None,4,16.99,66.0,12,8,0,0,0,False,100.0,5.95875,6.9175,8.25,0.0625,0.0833,0.0616,0.0474,2139.802275189599,40.0,2179.802275189599
0,1762818539.75362,0.2,5,0.0681,0.1395,0.0301,0.0499,7.5964,13.9452,4.9894,0.0,0.0,0.0,4.61,2.76,1.86,None,0.2108440399169922,20.763,True,None,sfc_cache_p5_1,0,None,8,21.32,99.0,16,10,0,0,0,False,100.0,7.034000000000001,5.534000000000001,6.6,0.0588,0.0833,0.0595,0.0474,2163.4863024299643,50.0,2213.4863024299643
0,1762818539.7543159,0.2,5,0.0681,0.1395,0.0301,0.0499,7.5964,13.9452,4.9894,0.0,0.0,0.0,6.56,3.26,3.31,None,0.2108440399169922,23.209,True,None,sfc_unique_p5_1,0,None,8,21.32,99.0,16,10,0,0,0,False,100.0,7.034000000000001,5.534000000000001,6.6,0.0588,0.0833,0.0595,0.0474,2163.4863024299643,50.0,2213.4863024299643
0,1762818539.7996075,0.2,6,0.088,0.1395,0.0375,0.0499,10.0447,13.9452,4.9894,0.0,0.0,0.0,4.72,2.76,1.96,None,0.2621028423309326,20.555,True,None,sfc_cache_p6_1,0,None,12,25.65,132.0,20,12,0,0,0,False,100.0,7.7508333333333335,4.611666666666667,5.5,0.0556,0.0833,0.0575,0.0474,2180.0,60.0,2240.0
0,1762818539.8000207,0.2,6,0.088,0.1395,0.0375,0.0499,10.0447,13.9452,4.9894,0.0,0.0,0.0,6.77,3.26,3.51,None,0.2621028423309326,13.97,True,None,sfc_unique_p6_1,0,None,12,25.65,132.0,20,12,0,0,0,False,100.0,7.7508333333333335,4.611666666666667,5.5,0.0556,0.0833,0.0575,0.0474,2180.0,60.0,2240.0
