No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762816057.8386772,0,1,0.018,0.0353,0.0258,0.0249,1.8359,3.5279,2.4947,0.0,0.0,0.0,10.78,5.9,4.87,None,0.0001895427703857422,98.294,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,8.5,7.0,16.5,0.1566,0.149,0.04,0.1576,2085.3088144250114,10.0,2095.3088144250114
0,1762816057.8392422,0.0,1,0.018,0.0353,0.0258,0.0249,1.8359,3.5279,2.4947,0.0,0.0,0.0,11.56,8.15,3.41,None,0.0001895427703857422,105.797,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,8.5,7.0,16.5,0.1566,0.149,0.04,0.1576,2085.3088144250114,10.0,2095.3088144250114
0,1762816058.158544,0.3,2,0.0434,0.0496,0.0479,0.0499,4.5715,4.9567,4.9894,0.0,0.0,0.0,7.71,3.87,3.83,None,0.24308037757873535,127.466,True,None,sfc_cache_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,10.5825,4.9175,16.5,0.2004,0.2176,0.0663,0.1618,2114.234588299025,20.0,2134.234588299025
0,1762816058.1594603,0.3,2,0.0434,0.0496,0.0479,0.0499,4.5715,4.9567,4.9894,0.0,0.0,0.0,10.05,6.01,4.04,None,0.24308037757873535,180.317,True,None,sfc_unique_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,10.5825,4.9175,16.5,0.2004,0.2176,0.0663,0.1618,2114.234588299025,20.0,2134.234588299025
0,1762816058.425704,0.6,3,0.066,0.0689,0.0635,0.0748,7.0921,6.8869,7.4841,0.0,0.0,0.0,9.6,6.58,3.02,None,0.5636646747589111,150.59,True,None,sfc_cache_p3_1,0,None,0,0,0,0,6,0,0,0,False,100.0,10.945,4.555,16.5,0.2659,0.3128,0.0934,0.1611,2141.6836284434457,30.0,2171.6836284434457
0,1762816058.4261425,0.6,3,0.066,0.0689,0.0635,0.0748,7.0921,6.8869,7.4841,0.0,0.0,0.0,7.48,3.38,4.1,None,0.5636646747589111,103.602,True,None,sfc_unique_p3_1,0,None,0,0,0,0,6,0,0,0,False,100.0,10.945,4.555,16.5,0.2659,0.3128,0.0934,0.1611,2141.6836284434457,30.0,2171.6836284434457
0,1762816058.6497078,0.8,4,0.0664,0.1327,0.0895,0.0748,7.2725,13.2698,7.4841,0.0,0.0,0.0,7.94,4.97,2.97,None,0.8298828601837158,100.754,True,None,sfc_cache_p4_1,0,None,4,0,33.0,1,8,0,0,0,False,100.0,8.4175,6.5825,12.375,0.2395,0.344,0.0901,0.1506,2184.088298773116,40.0,2224.088298773116
0,1762816058.6501439,0.8,4,0.0664,0.1327,0.0895,0.0748,7.2725,13.2698,7.4841,0.0,0.0,0.0,8.08,4.18,3.9,None,0.8298828601837158,111.791,True,None,sfc_unique_p4_1,0,None,4,0,33.0,1,8,0,0,0,False,100.0,8.4175,6.5825,12.375,0.2395,0.344,0.0901,0.1506,2184.088298773116,40.0,2224.088298773116
0,1762816058.8707366,1.0,5,0.0863,0.1545,0.1132,0.0998,9.684,15.4546,9.9788,0.0,0.0,0.0,9.6,4.9,4.69,None,1.053879976272583,104.211,True,None,sfc_cache_p5_1,0,None,4,0,33.0,2,10,0,0,0,False,100.0,8.967,6.133,13.2,0.2945,0.3695,0.1162,0.1584,2210.302612017844,50.0,2260.302612017844
0,1762816058.8711386,1.0,5,0.0863,0.1545,0.1132,0.0998,9.684,15.4546,9.9788,0.0,0.0,0.0,11.5,6.75,4.75,None,1.053879976272583,108.054,True,None,sfc_unique_p5_1,0,None,4,0,33.0,2,10,0,0,0,False,100.0,8.967,6.133,13.2,0.2945,0.3695,0.1162,0.1584,2210.302612017844,50.0,2260.302612017844
0,1762816059.0908947,1.3,6,0.0975,0.1856,0.135,0.0998,11.2683,18.5616,9.9788,0.0,0.0,0.0,6.02,3.36,2.65,None,1.2748315334320068,105.162,True,None,sfc_cache_p6_1,0,None,8,0,66.0,4,12,0,0,0,False,100.0,8.695,6.138333333333333,11.0,0.2551,0.4674,0.1123,0.1678,2250.908900645656,60.0,2310.908900645656
