No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762818495.9403605,0,1,0.0263,0.0151,0.0103,0.0249,0.432,1.5119,2.4947,84.0,0.0,0.0,9.62,5.74,3.88,None,0.00018215179443359375,10.714,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,12.5,3.0,16.5,0.0873,0.1393,0.04,0.0569,2059.285714285714,30.0,2089.285714285714
0,1762818495.9408906,0.0,1,0.0263,0.0151,0.0103,0.0249,0.432,1.5119,2.4947,84.0,0.0,0.0,10.33,10.33,0,None,0.00018215179443359375,7.27,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,12.5,3.0,16.5,0.0873,0.1393,0.04,0.0569,2059.285714285714,30.0,2089.285714285714
0,1762818495.9704258,0.0,2,0.0443,0.0378,0.0314,0.0249,0.432,3.7799,2.4947,89.1429,0.0,0.0,13.41,8.0,5.4,None,0.037744998931884766,9.453,True,None,sfc_cache_p2_1,0,None,4,0,33.0,2,4,0,0,0,False,100.0,10.75,3.75,8.25,0.1511,0.1348,0.0385,0.1176,2078.8084908583824,60.0,2138.8084908583824
0,1762818495.9708698,0.0,2,0.0443,0.0378,0.0314,0.0249,0.432,3.7799,2.4947,89.1429,0.0,0.0,21.7,13.14,8.56,None,0.037744998931884766,8.477,True,None,sfc_unique_p2_1,0,None,4,0,33.0,2,4,0,0,0,False,100.0,10.75,3.75,8.25,0.1511,0.1348,0.0385,0.1176,2078.8084908583824,60.0,2138.8084908583824
0,1762818495.9958231,0.1,3,0.0613,0.0706,0.0489,0.0499,0.432,7.0557,4.9894,82.9091,0.0,0.0,7.4,4.05,3.35,None,0.06767940521240234,9.377,True,None,sfc_cache_p3_1,0,None,4,0,33.0,2,6,0,0,0,False,100.0,10.166666666666666,4.666666666666667,11.0,0.2061,0.205,0.0731,0.086,2096.414124661199,78.0,2174.414124661199
0,1762818495.9965086,0.1,3,0.0613,0.0706,0.0489,0.0499,0.432,7.0557,4.9894,82.9091,0.0,0.0,18.57,8.62,9.96,None,0.06767940521240234,9.329,True,None,sfc_unique_p3_1,0,None,4,0,33.0,2,6,0,0,0,False,100.0,10.166666666666666,4.666666666666667,11.0,0.2061,0.205,0.0731,0.086,2096.414124661199,78.0,2174.414124661199
0,1762818496.012643,0.1,4,0.078,0.1033,0.0725,0.0748,0.432,10.3316,7.4841,85.7143,0.0,0.0,10.98,7.32,3.66,None,0.09357261657714844,5.494,True,None,sfc_cache_p4_1,0,None,4,0,33.0,3,8,0,0,0,False,100.0,9.875,5.125,12.375,0.2547,0.3084,0.106,0.098,2124.3312427543733,108.0,2232.3312427543733
0,1762818496.0130308,0.1,4,0.078,0.1033,0.0725,0.0748,0.432,10.3316,7.4841,85.7143,0.0,0.0,14.86,9.47,5.4,None,0.09357261657714844,5.351,True,None,sfc_unique_p4_1,0,None,4,0,33.0,3,8,0,0,0,False,100.0,9.875,5.125,12.375,0.2547,0.3084,0.106,0.098,2124.3312427543733,108.0,2232.3312427543733
0,1762818496.0354133,0.1,5,0.1015,0.1033,0.0785,0.0748,0.432,10.3316,7.4841,85.8947,0.0,0.0,11.98,4.71,7.27,None,0.1097865104675293,9.437,True,None,sfc_cache_p5_1,0,None,4,4,66.0,5,10,0,0,0,False,100.0,10.6,4.1,9.9,0.2985,0.3084,0.1023,0.0836,2124.3312427543733,138.0,2262.3312427543733
0,1762818496.0358346,0.1,5,0.1015,0.1033,0.0785,0.0748,0.432,10.3316,7.4841,85.8947,0.0,0.0,8.27,8.27,0,None,0.1097865104675293,7.793,True,None,sfc_unique_p5_1,0,None,4,4,66.0,5,10,0,0,0,False,100.0,10.6,4.1,9.9,0.2985,0.3084,0.1023,0.0836,2124.3312427543733,138.0,2262.3312427543733
0,1762818496.0635154,0.1,6,0.1166,0.1361,0.0962,0.0998,0.432,13.6075,9.9788,87.2727,0.0,0.0,18.44,7.67,10.76,None,0.1325840950012207,9.615,True,None,sfc_cache_p6_1,0,None,4,4,66.0,6,12,0,0,0,False,100.0,10.333333333333334,4.5,11.0,0.337,0.3861,0.1321,0.0776,2149.2711374202163,168.0,2317.2711374202163
