No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762817128.3216217,0,1,0.0326,0.0,0.0017,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,5.66,3.4,2.26,None,0.00018453598022460938,7.51,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,0.0769,1.0,0.04,0.0245,2057.9925708094725,10.0,2067.9925708094725
0,1762817128.3221726,0.0,1,0.0326,0.0,0.0017,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,9.08,4.59,4.49,None,0.00018453598022460938,5.217,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,0.0769,1.0,0.04,0.0245,2057.9925708094725,10.0,2067.9925708094725
0,1762817128.3481045,0.0,2,0.0639,0.0,0.0039,0.0499,6.6958,0.0,4.9894,0.0,0.0,0.0,4.68,2.65,2.03,None,0.04689359664916992,9.726,True,None,sfc_cache_p2_1,0,None,0,0,0,2,4,0,0,0,False,100.0,15.5,0.0,16.5,0.0979,1.0,0.0769,0.0292,2080.130010834236,20.0,2100.130010834236
0,1762817128.3485348,0.0,2,0.0639,0.0,0.0039,0.0499,6.6958,0.0,4.9894,0.0,0.0,0.0,7.53,4.59,2.94,None,0.04689359664916992,5.61,True,None,sfc_unique_p2_1,0,None,0,0,0,2,4,0,0,0,False,100.0,15.5,0.0,16.5,0.0979,1.0,0.0769,0.0292,2080.130010834236,20.0,2100.130010834236
0,1762817128.3760324,0.1,3,0.0857,0.0,0.0056,0.0499,9.144,0.0,4.9894,0.0,0.0,0.0,4.88,3.4,1.48,None,0.07320976257324219,9.553,True,None,sfc_cache_p3_1,0,None,8.33,0,33.0,6,6,0,0,0,False,100.0,14.111666666666666,0.0,11.0,0.0842,1.0,0.0741,0.0276,2103.8140380746013,30.0,2133.8140380746013
0,1762817128.3764565,0.1,3,0.0857,0.0,0.0056,0.0499,9.144,0.0,4.9894,0.0,0.0,0.0,7.52,4.59,2.93,None,0.07320976257324219,8.7,True,None,sfc_unique_p3_1,0,None,8.33,0,33.0,6,6,0,0,0,False,100.0,14.111666666666666,0.0,11.0,0.0842,1.0,0.0741,0.0276,2103.8140380746013,30.0,2133.8140380746013
0,1762817128.400218,0.1,4,0.1059,0.0,0.0073,0.0499,11.5923,0.0,4.9894,0.0,0.0,0.0,4.84,3.4,1.44,None,0.10110044479370117,9.142,True,None,sfc_cache_p4_1,0,None,16.66,0,66.0,10,8,0,0,0,False,100.0,13.4175,0.0,8.25,0.0752,1.0,0.0714,0.0268,2115.80405509983,40.0,2155.80405509983
0,1762817128.4009378,0.1,4,0.1059,0.0,0.0073,0.0499,11.5923,0.0,4.9894,0.0,0.0,0.0,7.44,4.59,2.85,None,0.10110044479370117,9.089,True,None,sfc_unique_p4_1,0,None,16.66,0,66.0,10,8,0,0,0,False,100.0,13.4175,0.0,8.25,0.0752,1.0,0.0714,0.0268,2115.80405509983,40.0,2155.80405509983
0,1762817128.4292607,0.1,5,0.126,0.0,0.009,0.0499,14.0406,0.0,4.9894,0.0,0.0,0.0,4.88,3.4,1.48,None,0.12583518028259277,9.511,True,None,sfc_cache_p5_1,0,None,24.99,0,99.0,14,10,0,0,0,False,100.0,13.001,0.0,6.6,0.0686,1.0,0.069,0.0264,2115.80405509983,50.0,2165.80405509983
0,1762817128.4300122,0.1,5,0.126,0.0,0.009,0.0499,14.0406,0.0,4.9894,0.0,0.0,0.0,7.52,4.59,2.93,None,0.12583518028259277,8.978,True,None,sfc_unique_p5_1,0,None,24.99,0,99.0,14,10,0,0,0,False,100.0,13.001,0.0,6.6,0.0686,1.0,0.069,0.0264,2115.80405509983,50.0,2165.80405509983
0,1762817128.4484398,0.1,6,0.1436,0.0,0.0135,0.0499,16.4888,0.0,4.9894,0.0,0.0,0.0,4.88,3.4,1.48,None,0.15488934516906738,7.146,True,None,sfc_cache_p6_1,0,None,33.32,0,132.0,18,12,0,0,0,False,100.0,12.723333333333334,0.0,5.5,0.0806,1.0,0.0667,0.0336,2126.059820461229,60.0,2186.059820461229
0,1762817128.448883,0.1,6,0.1436,0.0,0.0135,0.0499,16.4888,0.0,4.9894,0.0,0.0,0.0,7.45,3.98,3.47,None,0.15488934516906738,5.348,True,None,sfc_unique_p6_1,0,None,33.32,0,132.0,18,12,0,0,0,False,100.0,12.723333333333334,0.0,5.5,0.0806,1.0,0.0667,0.0336,2126.059820461229,60.0,2186.059820461229
0,1762817146.3117793,18.0,6,0.1688,0.0,0.0202,0.0748,19.8367,0.0,7.4841,0.0,0.0,0.0,5.91,2.85,3.05,None,0.0002551078796386719,9.463,True,None,sfc_cache_p1_2,0,None,33.32,0,132.0,19,14,0,0,0,False,100.0,13.120000000000001,0.0,7.071428571428571,0.0988,1.0,0.0581,0.0569,2143.0831140690298,70.0,2213.0831140690298
0,1762817146.312567,18.0,6,0.1688,0.0,0.0202,0.0748,19.8367,0.0,7.4841,0.0,0.0,0.0,8.22,3.72,4.51,None,0.0002551078796386719,8.95,True,None,sfc_unique_p1_2,0,None,33.32,0,132.0,19,14,0,0,0,False,100.0,13.120000000000001,0.0,7.071428571428571,0.0988,1.0,0.0581,0.0569,2143.0831140690298,70.0,2213.0831140690298
0,1762817146.340551,18.0,7,0.19,0.0,0.0256,0.0998,22.717,0.0,9.9788,0.0,0.0,0.0,6.0,2.99,3.01,None,0.026739120483398438,9.196,True,None,sfc_cache_p2_2,0,None,37.65,0,132.0,21,16,0,0,0,False,100.0,13.146875,0.0,8.25,0.1298,1.0,0.0833,0.0743,2167.9047361089615,80.0,2247.9047361089615
0,1762817146.3412714,18.0,7,0.19,0.0,0.0256,0.0998,22.717,0.0,9.9788,0.0,0.0,0.0,9.71,6.06,3.65,None,0.026739120483398438,8.677,True,None,sfc_unique_p2_2,0,None,37.65,0,132.0,21,16,0,0,0,False,100.0,13.146875,0.0,8.25,0.1298,1.0,0.0833,0.0743,2167.9047361089615,80.0,2247.9047361089615
0,1762817146.3695865,18.0,8,0.2085,0.0,0.0319,0.0998,25.6329,0.0,9.9788,0.0,0.0,0.0,5.88,2.72,3.16,None,0.05540728569030762,9.176,True,None,sfc_cache_p3_2,0,None,41.65,0,165.0,24,18,0,0,0,False,100.0,13.18611111111111,0.0,7.333333333333333,0.1375,1.0,0.0808,0.087,2192.674895527008,90.0,2282.674895527008
0,1762817146.3702703,18.0,8,0.2085,0.0,0.0319,0.0998,25.6329,0.0,9.9788,0.0,0.0,0.0,8.43,3.72,4.71,None,0.05540728569030762,9.013,True,None,sfc_unique_p3_2,0,None,41.65,0,165.0,24,18,0,0,0,False,100.0,13.18611111111111,0.0,7.333333333333333,0.1375,1.0,0.0808,0.087,2192.674895527008,90.0,2282.674895527008
