No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762055431.066912,0,1,0.0,0.0781,0.0051,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,4.53,2.0,2.54,None,0.001550436019897461,31.054,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,0.0,15.5,16.5,2095.5687973997833,10.0,2105.5687973997833
0,1762055431.0676737,0.0,1,0.0,0.0781,0.0051,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,6.62,2.69,3.92,None,0.001550436019897461,23.884,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,0.0,15.5,16.5,2095.5687973997833,10.0,2105.5687973997833
0,1762055431.1206584,0.1,2,0.0044,0.1453,0.0181,0.0499,0.4676,14.5323,4.9894,0.0,0.0,0.0,5.83,2.04,3.8,None,0.12630391120910645,20.623,True,None,sfc_cache_p2_1,0,None,0,0,0,3,4,0,0,0,False,100.0,1.0825,14.4175,16.5,2117.9302739514005,20.0,2137.9302739514005
0,1762055431.1213257,0.1,2,0.0044,0.1453,0.0181,0.0499,0.4676,14.5323,4.9894,0.0,0.0,0.0,6.63,2.69,3.93,None,0.12630391120910645,23.982,True,None,sfc_unique_p2_1,0,None,0,0,0,3,4,0,0,0,False,100.0,1.0825,14.4175,16.5,2117.9302739514005,20.0,2137.9302739514005
0,1762055431.1562798,0.1,3,0.017,0.1806,0.0291,0.0748,1.8359,18.0602,7.4841,0.0,0.0,0.0,4.95,2.41,2.54,None,0.17992520332336426,13.649,True,None,sfc_cache_p3_1,0,None,0,4.33,0,5,6,0,0,0,False,100.0,2.8333333333333335,11.945,16.5,2141.982278285095,30.0,2171.982278285095
0,1762055431.1566522,0.1,3,0.017,0.1806,0.0291,0.0748,1.8359,18.0602,7.4841,0.0,0.0,0.0,7.28,2.72,4.56,None,0.17992520332336426,14.405,True,None,sfc_unique_p3_1,0,None,0,4.33,0,5,6,0,0,0,False,100.0,2.8333333333333335,11.945,16.5,2141.982278285095,30.0,2171.982278285095
0,1762055431.1915646,0.1,4,0.0166,0.2486,0.0376,0.0748,1.8359,24.8639,7.4841,0.0,0.0,0.0,4.99,1.83,3.16,None,0.2149643898010254,12.691,True,None,sfc_cache_p4_1,0,None,0,8.33,33.0,8,8,0,0,0,False,100.0,2.125,12.33375,12.375,2192.128540473611,40.0,2232.128540473611
0,1762055431.1919436,0.1,4,0.0166,0.2486,0.0376,0.0748,1.8359,24.8639,7.4841,0.0,0.0,0.0,7.03,2.48,4.55,None,0.2149643898010254,14.661,True,None,sfc_unique_p4_1,0,None,0,8.33,33.0,8,8,0,0,0,False,100.0,2.125,12.33375,12.375,2192.128540473611,40.0,2232.128540473611
0,1762055431.2478735,0.2,5,0.0287,0.2831,0.0527,0.0998,3.2399,28.3086,9.9788,0.0,0.0,0.0,5.81,2.06,3.75,None,0.25023531913757324,20.156,True,None,sfc_cache_p5_1,0,None,0,12.66,33.0,11,10,0,0,0,False,100.0,3.0,11.234,13.2,2204.183562915957,50.0,2254.183562915957
0,1762055431.248491,0.2,5,0.0287,0.2831,0.0527,0.0998,3.2399,28.3086,9.9788,0.0,0.0,0.0,8.4,2.67,5.73,None,0.25023531913757324,23.772,True,None,sfc_unique_p5_1,0,None,0,12.66,33.0,11,10,0,0,0,False,100.0,3.0,11.234,13.2,2204.183562915957,50.0,2254.183562915957
