No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762056476.8697743,0,1,0.0308,0.0042,0.0247,0.0249,3.1675,0.4208,2.4947,0.0,0.0,0.0,8.02,3.56,4.45,None,0.0002887248992919922,85.486,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,14.665,0.835,16.5,2071.03767532611,10.0,2081.03767532611
0,1762056476.870308,0.0,1,0.0308,0.0042,0.0247,0.0249,3.1675,0.4208,2.4947,0.0,0.0,0.0,13.94,8.58,5.36,None,0.0002887248992919922,105.503,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,14.665,0.835,16.5,2071.03767532611,10.0,2081.03767532611
0,1762056477.0715597,0.2,2,0.0406,0.0571,0.0478,0.0499,4.2475,5.7126,4.9894,0.0,0.0,0.0,9.83,5.57,4.27,None,0.22242069244384766,92.267,True,None,sfc_cache_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,9.8325,5.6675,16.5,2121.1257492393033,20.0,2141.1257492393033
0,1762056477.0719376,0.2,2,0.0406,0.0571,0.0478,0.0499,4.2475,5.7126,4.9894,0.0,0.0,0.0,9.32,4.84,4.48,None,0.22242069244384766,102.027,True,None,sfc_unique_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,9.8325,5.6675,16.5,2121.1257492393033,20.0,2141.1257492393033
0,1762056477.280229,0.4,3,0.062,0.0798,0.0676,0.0748,6.6234,7.9805,7.4841,0.0,0.0,0.0,7.63,3.51,4.13,None,0.4239954948425293,96.55,True,None,sfc_cache_p3_1,0,None,0,0,0,1,6,0,0,0,False,100.0,10.221666666666666,5.278333333333333,16.5,2162.6142959039066,30.0,2192.6142959039066
0,1762056477.28061,0.4,3,0.062,0.0798,0.0676,0.0748,6.6234,7.9805,7.4841,0.0,0.0,0.0,10.72,6.2,4.52,None,0.4239954948425293,104.664,True,None,sfc_unique_p3_1,0,None,0,0,0,1,6,0,0,0,False,100.0,10.221666666666666,5.278333333333333,16.5,2162.6142959039066,30.0,2192.6142959039066
0,1762056477.574642,0.7,4,0.075,0.121,0.0874,0.0998,8.2077,12.0956,9.9788,0.0,0.0,0.0,6.12,3.16,2.97,None,0.6326398849487305,91.158,True,None,sfc_cache_p4_1,0,None,0,0,0,2,8,0,0,0,False,100.0,9.5,6.0,16.5,2202.8404567149264,40.0,2242.8404567149264
0,1762056477.5750356,0.7,4,0.075,0.121,0.0874,0.0998,8.2077,12.0956,9.9788,0.0,0.0,0.0,9.75,3.61,6.13,None,0.6326398849487305,110.739,True,None,sfc_unique_p4_1,0,None,0,0,0,2,8,0,0,0,False,100.0,9.5,6.0,16.5,2202.8404567149264,40.0,2242.8404567149264
0,1762056477.8043468,0.9,5,0.0815,0.1671,0.1115,0.0998,9.144,16.7145,9.9788,0.0,0.0,0.0,7.03,3.54,3.49,None,0.9270398616790771,91.724,True,None,sfc_cache_p5_1,0,None,4,0,33.0,3,10,0,0,0,False,100.0,8.467,6.633,13.2,2253.3125190018804,50.0,2303.3125190018804
0,1762056477.805207,0.9,5,0.0815,0.1671,0.1115,0.0998,9.144,16.7145,9.9788,0.0,0.0,0.0,11.44,6.35,5.09,None,0.9270398616790771,127.543,True,None,sfc_unique_p5_1,0,None,4,0,33.0,3,10,0,0,0,False,100.0,8.467,6.633,13.2,2253.3125190018804,50.0,2303.3125190018804
0,1762056478.0932126,1.2,6,0.0897,0.1974,0.1298,0.0998,10.2963,19.7384,9.9788,0.0,0.0,0.0,10.13,6.0,4.13,None,1.1576569080352783,155.753,True,None,sfc_cache_p6_1,0,None,12.33,0,66.0,6,12,0,0,0,False,100.0,7.945,6.5275,11.0,2289.2319488128505,60.0,2349.2319488128505
0,1762056478.0936172,1.2,6,0.0897,0.1974,0.1298,0.0998,10.2963,19.7384,9.9788,0.0,0.0,0.0,14.24,10.06,4.18,None,1.1576569080352783,114.32,True,None,sfc_unique_p6_1,0,None,12.33,0,66.0,6,12,0,0,0,False,100.0,7.945,6.5275,11.0,2289.2319488128505,60.0,2349.2319488128505
0,1762056491.8962681,15.0,6,0.1069,0.2209,0.1553,0.1247,12.6366,22.0895,12.4735,0.0,0.0,0.0,8.33,3.85,4.48,None,0.0001876354217529297,105.768,True,None,sfc_cache_p1_2,0,None,12.33,0,66.0,6,14,0,0,0,False,100.0,8.357857142857144,6.261428571428572,11.785714285714286,2319.76490133526,70.0,2389.76490133526
0,1762056491.896696,15.0,6,0.1069,0.2209,0.1553,0.1247,12.6366,22.0895,12.4735,0.0,0.0,0.0,13.62,8.0,5.63,None,0.0001876354217529297,115.076,True,None,sfc_unique_p1_2,0,None,12.33,0,66.0,6,14,0,0,0,False,100.0,8.357857142857144,6.261428571428572,11.785714285714286,2319.76490133526,70.0,2389.76490133526
0,1762056492.110855,15.2,7,0.1181,0.2587,0.1784,0.1497,14.3646,25.8694,14.9682,0.0,0.0,0.0,8.82,3.87,4.95,None,0.23793888092041016,101.436,True,None,sfc_cache_p2_2,0,None,12.33,0,66.0,7,16,0,0,0,False,100.0,8.313125,6.41625,12.375,2355.724819025953,80.0,2435.724819025953
0,1762056492.1114295,15.2,7,0.1181,0.2587,0.1784,0.1497,14.3646,25.8694,14.9682,0.0,0.0,0.0,12.54,6.48,6.05,None,0.23793888092041016,100.765,True,None,sfc_unique_p2_2,0,None,12.33,0,66.0,7,16,0,0,0,False,100.0,8.313125,6.41625,12.375,2355.724819025953,80.0,2435.724819025953
0,1762056492.334647,15.5,8,0.1425,0.2587,0.19,0.1746,17.7124,25.8694,17.463,0.0,0.0,0.0,8.64,5.27,3.36,None,0.452847957611084,101.35,True,None,sfc_cache_p3_2,0,None,12.33,0,66.0,7,18,0,0,0,False,100.0,9.111666666666666,5.703333333333333,12.833333333333334,2385.807532072126,90.0,2475.807532072126
0,1762056492.3350499,15.5,8,0.1425,0.2587,0.19,0.1746,17.7124,25.8694,17.463,0.0,0.0,0.0,16.7,12.29,4.41,None,0.452847957611084,106.324,True,None,sfc_unique_p3_2,0,None,12.33,0,66.0,7,18,0,0,0,False,100.0,9.111666666666666,5.703333333333333,12.833333333333334,2385.807532072126,90.0,2475.807532072126
0,1762056492.5444684,15.7,9,0.1588,0.2671,0.2044,0.1746,20.2687,26.7085,17.463,0.0,0.0,0.0,10.06,6.31,3.75,None,0.6762251853942871,93.545,True,None,sfc_cache_p4_2,0,None,16.33,0,99.0,8,20,0,0,0,False,100.0,9.384,5.2995,11.55,2407.8672523158307,100.0,2507.8672523158307
0,1762056492.544835,15.7,9,0.1588,0.2671,0.2044,0.1746,20.2687,26.7085,17.463,0.0,0.0,0.0,12.68,8.76,3.92,None,0.6762251853942871,99.472,True,None,sfc_unique_p4_2,0,None,16.33,0,99.0,8,20,0,0,0,False,100.0,9.384,5.2995,11.55,2407.8672523158307,100.0,2507.8672523158307
0,1762056492.7999508,15.9,10,0.1695,0.2889,0.2214,0.1996,22.2126,28.8933,19.9577,0.0,0.0,0.0,6.9,3.31,3.6,None,0.8859751224517822,114.56,True,None,sfc_cache_p5_2,0,None,16.33,4.33,99.0,10,22,0,0,0,False,100.0,9.34909090909091,5.211818181818182,12.0,2440.309724435383,110.0,2550.309724435383
0,1762056492.800411,15.9,10,0.1695,0.2889,0.2214,0.1996,22.2126,28.8933,19.9577,0.0,0.0,0.0,13.66,9.24,4.42,None,0.8859751224517822,123.918,True,None,sfc_unique_p5_2,0,None,16.33,4.33,99.0,10,22,0,0,0,False,100.0,9.34909090909091,5.211818181818182,12.0,2440.309724435383,110.0,2550.309724435383
0,1762056493.0632727,16.2,11,0.1757,0.3234,0.2495,0.2245,23.6166,32.338,22.4524,0.0,0.0,0.0,9.87,5.2,4.67,None,1.1416053771972656,136.159,True,None,sfc_cache_p6_2,0,None,16.33,8.66,99.0,12,24,0,0,0,False,100.0,9.111666666666666,5.347083333333334,12.375,2478.8248574493855,120.0,2598.8248574493855
0,1762056493.0636957,16.2,11,0.1757,0.3234,0.2495,0.2245,23.6166,32.338,22.4524,0.0,0.0,0.0,17.1,11.95,5.15,None,1.1416053771972656,108.409,True,None,sfc_unique_p6_2,0,None,16.33,8.66,99.0,12,24,0,0,0,False,100.0,9.111666666666666,5.347083333333334,12.375,2478.8248574493855,120.0,2598.8248574493855
0,1762056512.917213,36.0,11,0.1797,0.3805,0.2749,0.2495,24.5162,38.0506,24.9471,0.0,0.0,0.0,7.05,4.66,2.39,None,0.00018405914306640625,109.588,True,None,sfc_cache_p1_3,0,None,16.33,8.66,99.0,12,26,0,0,0,False,100.0,8.731153846153846,5.8076923076923075,12.692307692307692,2516.949087444742,130.0,2646.949087444742
0,1762056512.917723,36.0,11,0.1797,0.3805,0.2749,0.2495,24.5162,38.0506,24.9471,0.0,0.0,0.0,12.26,7.0,5.26,None,0.00018405914306640625,118.855,True,None,sfc_unique_p1_3,0,None,16.33,8.66,99.0,12,26,0,0,0,False,100.0,8.731153846153846,5.8076923076923075,12.692307692307692,2516.949087444742,130.0,2646.949087444742
0,1762056513.1352031,36.3,12,0.1935,0.4024,0.291,0.2744,26.9277,40.2354,27.4418,0.0,0.0,0.0,6.26,3.37,2.89,None,0.2483065128326416,86.529,True,None,sfc_cache_p2_3,0,None,16.33,8.66,99.0,12,28,0,0,0,False,100.0,8.905,5.7025,12.964285714285714,2553.1416868875526,140.0,2693.1416868875526
0,1762056513.1356146,36.3,12,0.1935,0.4024,0.291,0.2744,26.9277,40.2354,27.4418,0.0,0.0,0.0,8.42,3.55,4.86,None,0.2483065128326416,108.258,True,None,sfc_unique_p2_3,0,None,16.33,8.66,99.0,12,28,0,0,0,False,100.0,8.905,5.7025,12.964285714285714,2553.1416868875526,140.0,2693.1416868875526
0,1762056513.3628776,36.5,13,0.2043,0.4359,0.311,0.2994,28.836,43.5944,29.9365,0.0,0.0,0.0,9.25,5.62,3.63,None,0.4660954475402832,92.575,True,None,sfc_cache_p3_3,0,None,16.33,8.66,99.0,12,30,0,0,0,False,100.0,8.900333333333332,5.766666666666667,13.2,2597.2814051974115,150.0,2747.2814051974115
0,1762056513.363314,36.5,13,0.2043,0.4359,0.311,0.2994,28.836,43.5944,29.9365,0.0,0.0,0.0,10.7,6.15,4.55,None,0.4660954475402832,118.237,True,None,sfc_unique_p3_3,0,None,16.33,8.66,99.0,12,30,0,0,0,False,100.0,8.900333333333332,5.766666666666667,13.2,2597.2814051974115,150.0,2747.2814051974115
