No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762053438.6981812,0,1,0.0137,0.0454,0.0109,0.0249,1.4039,4.5358,2.4947,0.0,0.0,0.0,12.9,10.87,2.04,None,0.0011463165283203125,10.38,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,6.5,9.0,16.5,2085.667802912922,10.0,2095.667802912922
0,1762053438.6989458,0.0,1,0.0137,0.0454,0.0109,0.0249,1.4039,4.5358,2.4947,0.0,0.0,0.0,17.39,13.91,3.48,None,0.0011463165283203125,8.882,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,6.5,9.0,16.5,2085.667802912922,10.0,2095.667802912922
0,1762053438.722463,0.0,2,0.0301,0.0722,0.0311,0.0249,3.1675,7.2246,2.4947,0.0,0.0,0.0,9.54,7.41,2.13,None,0.057120323181152344,8.833,True,None,sfc_cache_p2_1,0,None,4,0,33.0,2,4,0,0,0,False,100.0,7.3325,7.1675,8.25,2123.4234583204216,20.0,2143.4234583204216
0,1762053438.7230341,0.0,2,0.0301,0.0722,0.0311,0.0249,3.1675,7.2246,2.4947,0.0,0.0,0.0,21.66,9.61,12.04,None,0.057120323181152344,8.842,True,None,sfc_unique_p2_1,0,None,4,0,33.0,2,4,0,0,0,False,100.0,7.3325,7.1675,8.25,2123.4234583204216,20.0,2143.4234583204216
0,1762053438.7459147,0.0,3,0.0467,0.0949,0.0519,0.0499,5.0758,9.4925,4.9894,0.0,0.0,0.0,19.54,7.3,12.23,None,0.08116674423217773,9.124,True,None,sfc_cache_p3_1,0,None,4,4.33,33.0,4,6,0,0,0,False,100.0,7.833333333333333,6.278333333333333,11.0,2148.629854380748,30.0,2178.629854380748
0,1762053438.7464747,0.0,3,0.0467,0.0949,0.0519,0.0499,5.0758,9.4925,4.9894,0.0,0.0,0.0,18.71,14.87,3.84,None,0.08116674423217773,8.76,True,None,sfc_unique_p3_1,0,None,4,4.33,33.0,4,6,0,0,0,False,100.0,7.833333333333333,6.278333333333333,11.0,2148.629854380748,30.0,2178.629854380748
0,1762053438.7743344,0.1,4,0.0572,0.1428,0.0815,0.0748,5.0758,14.2803,7.4841,11.2941,0.0,0.0,16.14,5.26,10.87,None,0.1045682430267334,9.255,True,None,sfc_cache_p4_1,0,None,4,4.33,33.0,4,8,0,0,0,False,100.0,7.375,7.08375,12.375,2179.4337793824516,44.4,2223.8337793824517
0,1762053438.7749307,0.1,4,0.0572,0.1428,0.0815,0.0748,5.0758,14.2803,7.4841,11.2941,0.0,0.0,19.43,11.15,8.28,None,0.1045682430267334,8.848,True,None,sfc_unique_p4_1,0,None,4,4.33,33.0,4,8,0,0,0,False,100.0,7.375,7.08375,12.375,2179.4337793824516,44.4,2223.8337793824517
0,1762053438.8012154,0.1,5,0.0768,0.1428,0.0954,0.0748,6.5521,14.2803,7.4841,15.2727,0.0,0.0,11.25,9.21,2.04,None,0.13210844993591309,8.76,True,None,sfc_cache_p5_1,0,None,12.33,4.33,66.0,8,10,0,0,0,False,100.0,8.167,5.667,9.9,2183.0067573805923,58.8,2241.8067573805924
0,1762053438.801797,0.1,5,0.0768,0.1428,0.0954,0.0748,6.5521,14.2803,7.4841,15.2727,0.0,0.0,29.69,11.25,18.44,None,0.13210844993591309,8.961,True,None,sfc_unique_p5_1,0,None,12.33,4.33,66.0,8,10,0,0,0,False,100.0,8.167,5.667,9.9,2183.0067573805923,58.8,2241.8067573805924
0,1762053438.8270395,0.1,6,0.0998,0.1428,0.1078,0.0748,7.5597,14.2803,7.4841,23.7969,0.0,0.0,10.92,8.92,2.0,None,0.15892720222473145,9.072,True,None,sfc_cache_p6_1,0,None,16.33,4.33,99.0,11,12,0,0,0,False,100.0,9.055833333333334,4.7225,8.25,2187.646043094878,76.8,2264.4460430948784
0,1762053438.8276317,0.1,6,0.0998,0.1428,0.1078,0.0748,7.5597,14.2803,7.4841,23.7969,0.0,0.0,29.35,11.5,17.86,None,0.15892720222473145,9.017,True,None,sfc_unique_p6_1,0,None,16.33,4.33,99.0,11,12,0,0,0,False,100.0,9.055833333333334,4.7225,8.25,2187.646043094878,76.8,2264.4460430948784
0,1762053455.681037,17.0,6,0.118,0.1655,0.1289,0.0998,9.576,16.5482,9.9788,23.1724,0.0,0.0,17.03,7.53,9.49,None,0.00036334991455078125,9.426,True,None,sfc_cache_p1_2,0,None,16.33,4.33,99.0,11,14,0,0,0,False,100.0,9.33357142857143,4.690714285714286,9.428571428571429,2224.1539374239765,86.8,2310.9539374239766
0,1762053455.6816683,17.0,6,0.118,0.1655,0.1289,0.0998,9.576,16.5482,9.9788,23.1724,0.0,0.0,23.08,15.78,7.3,None,0.00036334991455078125,8.886,True,None,sfc_unique_p1_2,0,None,16.33,4.33,99.0,11,14,0,0,0,False,100.0,9.33357142857143,4.690714285714286,9.428571428571429,2224.1539374239765,86.8,2310.9539374239766
0,1762053455.7124333,17.0,7,0.139,0.1764,0.1424,0.1247,10.008,17.6394,12.4735,31.3552,0.0,0.0,13.5,8.0,5.5,None,0.02807903289794922,9.211,True,None,sfc_cache_p2_2,0,None,16.33,4.33,99.0,11,16,0,0,0,False,100.0,9.83375,4.375,10.3125,2234.3036820455523,116.8,2351.1036820455524
0,1762053455.7130222,17.0,7,0.139,0.1764,0.1424,0.1247,10.008,17.6394,12.4735,31.3552,0.0,0.0,17.85,10.57,7.29,None,0.02807903289794922,8.971,True,None,sfc_unique_p2_2,0,None,16.33,4.33,99.0,11,16,0,0,0,False,100.0,9.83375,4.375,10.3125,2234.3036820455523,116.8,2351.1036820455524
0,1762053455.743386,17.0,8,0.1515,0.1991,0.1612,0.1247,10.008,19.9073,12.4735,35.7492,0.0,0.0,12.42,8.56,3.86,None,0.05931854248046875,9.176,True,None,sfc_cache_p3_2,0,None,20.33,4.33,132.0,13,18,0,0,0,False,100.0,9.741111111111111,4.388888888888889,9.166666666666666,2246.4921977551944,134.8,2381.2921977551946
