No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762061496.80423,0,1,0.0326,0.0,0.0034,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,7.66,5.21,2.45,None,0.001180410385131836,6.315,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,2071.5714285714284,10.0,2081.5714285714284
0,1762061496.8046806,0.0,1,0.0326,0.0,0.0034,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,10.95,7.02,3.93,None,0.001180410385131836,5.22,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,2071.5714285714284,10.0,2081.5714285714284
0,1762061496.8213978,0.0,2,0.0546,0.0,0.0067,0.0249,5.7961,0.0,2.4947,0.0,0.0,0.0,7.09,5.21,1.89,None,0.042006492614746094,5.286,True,None,sfc_cache_p2_1,0,None,8.33,0,33.0,5,4,0,0,0,False,100.0,13.4175,0.0,8.25,2085.0,20.0,2105.0
0,1762061496.821758,0.0,2,0.0546,0.0,0.0067,0.0249,5.7961,0.0,2.4947,0.0,0.0,0.0,9.82,7.02,2.8,None,0.042006492614746094,5.095,True,None,sfc_unique_p2_1,0,None,8.33,0,33.0,5,4,0,0,0,False,100.0,13.4175,0.0,8.25,2085.0,20.0,2105.0
0,1762061496.8351107,0.0,3,0.0758,0.0,0.0142,0.0249,8.2444,0.0,2.4947,0.0,0.0,0.0,6.94,5.21,1.74,None,0.059046030044555664,5.266,True,None,sfc_cache_p3_1,0,None,16.66,0,66.0,8,6,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2094.642857142857,30.0,2124.642857142857
0,1762061496.8354628,0.0,3,0.0758,0.0,0.0142,0.0249,8.2444,0.0,2.4947,0.0,0.0,0.0,9.73,6.25,3.48,None,0.059046030044555664,5.222,True,None,sfc_unique_p3_1,0,None,16.66,0,66.0,8,6,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2094.642857142857,30.0,2124.642857142857
0,1762061496.8528936,0.0,4,0.1046,0.0,0.0214,0.0499,11.5923,0.0,4.9894,0.0,0.0,0.0,6.63,3.49,3.14,None,0.07272624969482422,5.434,True,None,sfc_cache_p4_1,0,None,16.66,0,66.0,10,8,0,0,0,False,100.0,13.4175,0.0,8.25,2111.666150750658,40.0,2151.666150750658
0,1762061496.8532643,0.0,4,0.1046,0.0,0.0214,0.0499,11.5923,0.0,4.9894,0.0,0.0,0.0,8.55,4.21,4.34,None,0.07272624969482422,5.297,True,None,sfc_unique_p4_1,0,None,16.66,0,66.0,10,8,0,0,0,False,100.0,13.4175,0.0,8.25,2111.666150750658,40.0,2151.666150750658
0,1762061496.8705008,0.1,5,0.123,0.0,0.0273,0.0499,14.0406,0.0,4.9894,0.0,0.0,0.0,6.55,3.13,3.43,None,0.08954524993896484,5.4,True,None,sfc_cache_p5_1,0,None,24.99,0,99.0,14,10,0,0,0,False,100.0,13.001,0.0,6.6,2128.9688128772636,50.0,2178.9688128772636
0,1762061496.8708475,0.1,5,0.123,0.0,0.0273,0.0499,14.0406,0.0,4.9894,0.0,0.0,0.0,9.12,4.21,4.91,None,0.08954524993896484,5.205,True,None,sfc_unique_p5_1,0,None,24.99,0,99.0,14,10,0,0,0,False,100.0,13.001,0.0,6.6,2128.9688128772636,50.0,2178.9688128772636
0,1762061496.8869066,0.1,6,0.1479,0.0,0.0345,0.0748,17.3884,0.0,7.4841,0.0,0.0,0.0,4.34,2.23,2.12,None,0.10706853866577148,5.264,True,None,sfc_cache_p6_1,0,None,24.99,0,99.0,15,12,0,0,0,False,100.0,13.417499999999999,0.0,8.25,2156.801102770469,60.0,2216.801102770469
0,1762061496.8872418,0.1,6,0.1479,0.0,0.0345,0.0748,17.3884,0.0,7.4841,0.0,0.0,0.0,9.19,5.72,3.48,None,0.10706853866577148,5.268,True,None,sfc_unique_p6_1,0,None,24.99,0,99.0,15,12,0,0,0,False,100.0,13.417499999999999,0.0,8.25,2156.801102770469,60.0,2216.801102770469
0,1762061513.803531,17.0,6,0.1724,0.0,0.0388,0.0998,20.7363,0.0,9.9788,0.0,0.0,0.0,5.91,3.13,2.78,None,0.00018668174743652344,9.832,True,None,sfc_cache_p1_2,0,None,24.99,0,99.0,16,14,0,0,0,False,100.0,13.715,0.0,9.428571428571429,2174.0147693855442,70.0,2244.0147693855442
0,1762061513.8041325,17.0,6,0.1724,0.0,0.0388,0.0998,20.7363,0.0,9.9788,0.0,0.0,0.0,8.55,4.21,4.34,None,0.00018668174743652344,9.545,True,None,sfc_unique_p1_2,0,None,24.99,0,99.0,16,14,0,0,0,False,100.0,13.715,0.0,9.428571428571429,2174.0147693855442,70.0,2244.0147693855442
0,1762061513.819923,17.0,7,0.1896,0.0,0.0444,0.0998,23.1846,0.0,9.9788,0.0,0.0,0.0,5.54,3.13,2.41,None,0.02988290786743164,5.328,True,None,sfc_cache_p2_2,0,None,33.32,0,132.0,19,16,0,0,0,False,100.0,13.4175,0.0,8.25,2184.270534746943,80.0,2264.270534746943
0,1762061513.8202453,17.0,7,0.1896,0.0,0.0444,0.0998,23.1846,0.0,9.9788,0.0,0.0,0.0,7.8,3.73,4.07,None,0.02988290786743164,5.183,True,None,sfc_unique_p2_2,0,None,33.32,0,132.0,19,16,0,0,0,False,100.0,13.4175,0.0,8.25,2184.270534746943,80.0,2264.270534746943
0,1762061513.8462024,17.0,8,0.2051,0.0,0.0499,0.0998,25.6329,0.0,9.9788,0.0,0.0,0.0,6.11,2.97,3.14,None,0.04572725296020508,9.264,True,None,sfc_cache_p3_2,0,None,41.65,0,165.0,23,18,0,0,0,False,100.0,13.18611111111111,0.0,7.333333333333333,2184.270534746943,90.0,2274.270534746943
0,1762061513.8465204,17.0,8,0.2051,0.0,0.0499,0.0998,25.6329,0.0,9.9788,0.0,0.0,0.0,8.29,4.21,4.08,None,0.04572725296020508,5.225,True,None,sfc_unique_p3_2,0,None,41.65,0,165.0,23,18,0,0,0,False,100.0,13.18611111111111,0.0,7.333333333333333,2184.270534746943,90.0,2274.270534746943
0,1762061513.8709614,17.1,9,0.2258,0.0,0.0594,0.1247,28.9807,0.0,12.4735,0.0,0.0,0.0,6.31,3.04,3.27,None,0.0719749927520752,9.073,True,None,sfc_cache_p4_2,0,None,41.65,0,165.0,24,20,0,0,0,False,100.0,13.4175,0.0,8.25,2204.246118291595,100.0,2304.246118291595
0,1762061513.8714387,17.1,9,0.2258,0.0,0.0594,0.1247,28.9807,0.0,12.4735,0.0,0.0,0.0,9.96,5.2,4.77,None,0.0719749927520752,8.862,True,None,sfc_unique_p4_2,0,None,41.65,0,165.0,24,20,0,0,0,False,100.0,13.4175,0.0,8.25,2204.246118291595,100.0,2304.246118291595
0,1762061513.8968668,17.1,10,0.2467,0.0,0.0654,0.1497,32.3286,0.0,14.9682,0.0,0.0,0.0,6.96,4.35,2.61,None,0.09687113761901855,9.144,True,None,sfc_cache_p5_2,0,None,41.65,0,165.0,26,22,0,0,0,False,100.0,13.606818181818182,0.0,9.0,2233.5311182915952,110.0,2343.5311182915952
0,1762061513.8974333,17.1,10,0.2467,0.0,0.0654,0.1497,32.3286,0.0,14.9682,0.0,0.0,0.0,10.05,6.06,3.99,None,0.09687113761901855,9.002,True,None,sfc_unique_p5_2,0,None,41.65,0,165.0,26,22,0,0,0,False,100.0,13.606818181818182,0.0,9.0,2233.5311182915952,110.0,2343.5311182915952
0,1762061513.9283433,17.1,11,0.26,0.0,0.0729,0.1497,34.7769,0.0,14.9682,0.0,0.0,0.0,6.34,3.44,2.9,None,0.12306404113769531,9.297,True,None,sfc_cache_p6_2,0,None,49.98,0,198.0,30,24,0,0,0,False,100.0,13.417499999999999,0.0,8.25,2243.037625024299,120.0,2363.037625024299
0,1762061513.9289072,17.1,11,0.26,0.0,0.0729,0.1497,34.7769,0.0,14.9682,0.0,0.0,0.0,9.23,5.16,4.07,None,0.12306404113769531,8.94,True,None,sfc_unique_p6_2,0,None,49.98,0,198.0,30,24,0,0,0,False,100.0,13.417499999999999,0.0,8.25,2243.037625024299,120.0,2363.037625024299
0,1762061515.181843,18.4,11,0.2695,0.0,0.0754,0.1746,35.6765,0.0,17.463,0.0,0.0,0.0,5.2,3.04,2.16,None,2.4080276489257812e-05,9.701,True,None,sfc_cache_p2_1,0,None,41.65,0,165.0,27,24,0,0,0,False,100.0,13.764583333333334,0.0,9.625,2257.1141487822315,120.0,2377.1141487822315
0,1762061515.18244,18.4,11,0.2695,0.0,0.0754,0.1746,35.6765,0.0,17.463,0.0,0.0,0.0,8.63,5.16,3.48,None,2.4080276489257812e-05,9.082,True,None,sfc_unique_p2_1,0,None,41.65,0,165.0,27,24,0,0,0,False,100.0,13.764583333333334,0.0,9.625,2257.1141487822315,120.0,2377.1141487822315
0,1762061520.1837747,23.4,11,0.2667,0.0,0.0729,0.1746,35.6765,0.0,17.463,0.0,0.0,0.0,5.07,2.73,2.35,None,2.4080276489257812e-05,9.987,True,None,sfc_cache_p4_1,0,None,41.65,0,165.0,27,24,0,0,0,False,100.0,13.764583333333334,0.0,9.625,2274.143097861321,120.0,2394.143097861321
0,1762061520.1843858,23.4,11,0.2667,0.0,0.0729,0.1746,35.6765,0.0,17.463,0.0,0.0,0.0,7.58,3.73,3.84,None,2.4080276489257812e-05,9.238,True,None,sfc_unique_p4_1,0,None,41.65,0,165.0,27,24,0,0,0,False,100.0,13.764583333333334,0.0,9.625,2274.143097861321,120.0,2394.143097861321
0,1762061530.1879733,33.4,11,0.2667,0.0,0.0681,0.1746,35.6765,0.0,17.463,0.0,0.0,0.0,4.89,3.13,1.76,None,2.288818359375e-05,10.042,True,None,sfc_cache_p6_1,0,None,41.65,0,165.0,28,24,0,0,0,False,100.0,13.764583333333334,0.0,9.625,2264.7711856186343,120.0,2384.7711856186343
0,1762061530.1886523,33.4,11,0.2667,0.0,0.0681,0.1746,35.6765,0.0,17.463,0.0,0.0,0.0,7.38,4.21,3.17,None,2.288818359375e-05,9.42,True,None,sfc_unique_p6_1,0,None,41.65,0,165.0,28,24,0,0,0,False,100.0,13.764583333333334,0.0,9.625,2264.7711856186343,120.0,2384.7711856186343
0,1762061536.8176875,40.0,11,0.2846,0.0,0.0715,0.1996,39.0244,0.0,19.9577,0.0,0.0,0.0,4.76,2.23,2.53,None,0.0011074542999267578,9.857,True,None,sfc_cache_p1_3,0,None,41.65,0,165.0,29,26,0,0,0,False,100.0,13.898076923076925,0.0,10.153846153846153,2285.3624253648036,130.0,2415.3624253648036
0,1762061536.8183193,40.0,11,0.2846,0.0,0.0715,0.1996,39.0244,0.0,19.9577,0.0,0.0,0.0,7.51,3.0,4.51,None,0.0011074542999267578,9.159,True,None,sfc_unique_p1_3,0,None,41.65,0,165.0,29,26,0,0,0,False,100.0,13.898076923076925,0.0,10.153846153846153,2285.3624253648036,130.0,2415.3624253648036
0,1762061536.8509758,40.0,12,0.2966,0.0,0.0749,0.1996,41.4726,0.0,19.9577,0.0,0.0,0.0,4.17,2.23,1.95,None,0.032326459884643555,9.537,True,None,sfc_cache_p2_3,0,None,49.98,0,198.0,33,28,0,0,0,False,100.0,13.715,0.0,9.428571428571429,2309.046452605169,140.0,2449.046452605169
0,1762061536.8516,40.0,12,0.2966,0.0,0.0749,0.1996,41.4726,0.0,19.9577,0.0,0.0,0.0,6.34,3.0,3.34,None,0.032326459884643555,9.472,True,None,sfc_unique_p2_3,0,None,49.98,0,198.0,33,28,0,0,0,False,100.0,13.715,0.0,9.428571428571429,2309.046452605169,140.0,2449.046452605169
