No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1763510902.5093918,0,1,0.0,0.0781,0.0034,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,1.43,0.24,1.19,None,0.0002989768981933594,21.389,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,0.0,15.5,16.5,1.0,0.0833,0.04,0.0356,2095.5687973997833,10.0,2105.5687973997833
0,1763510902.5103326,0.0,1,0.0,0.0781,0.0034,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,2.34,0.32,2.02,None,0.0002989768981933594,23.749,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,0.0,15.5,16.5,1.0,0.0833,0.04,0.0356,2095.5687973997833,10.0,2105.5687973997833
0,1763510902.563878,0.1,2,0.0,0.1352,0.0067,0.0249,0.0,13.5243,2.4947,0.0,0.0,0.0,1.56,0.24,1.32,None,0.0821993350982666,20.137,True,None,sfc_cache_p2_1,0,None,0,8.33,33.0,5,4,0,0,0,False,100.0,0.0,13.4175,8.25,1.0,0.0833,0.0385,0.0356,2110.0,20.0,2130.0
0,1763510902.5646217,0.1,2,0.0,0.1352,0.0067,0.0249,0.0,13.5243,2.4947,0.0,0.0,0.0,2.6,0.32,2.28,None,0.0821993350982666,23.545,True,None,sfc_unique_p2_1,0,None,0,8.33,33.0,5,4,0,0,0,False,100.0,0.0,13.4175,8.25,1.0,0.0833,0.0385,0.0356,2110.0,20.0,2130.0
0,1763510902.6129205,0.1,3,0.0,0.2024,0.0206,0.0499,0.0,20.2449,4.9894,0.0,0.0,0.0,1.77,0.2,1.57,None,0.13640499114990234,20.028,True,None,sfc_cache_p3_1,0,None,0,12.66,33.0,8,6,0,0,0,False,100.0,0.0,13.39,11.0,1.0,0.1459,0.0741,0.0498,2150.9425785482126,30.0,2180.9425785482126
0,1763510902.613676,0.1,3,0.0,0.2024,0.0206,0.0499,0.0,20.2449,4.9894,0.0,0.0,0.0,2.96,0.21,2.75,None,0.13640499114990234,23.067,True,None,sfc_unique_p3_1,0,None,0,12.66,33.0,8,6,0,0,0,False,100.0,0.0,13.39,11.0,1.0,0.1459,0.0741,0.0498,2150.9425785482126,30.0,2180.9425785482126
0,1763510902.6634917,0.2,4,0.0,0.2596,0.0368,0.0499,0.0,25.9576,4.9894,0.0,0.0,0.0,1.49,0.19,1.3,None,0.18544697761535645,19.909,True,None,sfc_cache_p4_1,0,None,0,20.99,66.0,12,8,0,0,0,False,100.0,0.0,12.87625,8.25,1.0,0.1657,0.0714,0.0487,2180.0,40.0,2220.0
0,1763510902.6642528,0.2,4,0.0,0.2596,0.0368,0.0499,0.0,25.9576,4.9894,0.0,0.0,0.0,2.4,0.21,2.19,None,0.18544697761535645,23.031,True,None,sfc_unique_p4_1,0,None,0,20.99,66.0,12,8,0,0,0,False,100.0,0.0,12.87625,8.25,1.0,0.1657,0.0714,0.0487,2180.0,40.0,2220.0
0,1763510902.712254,0.2,5,0.0,0.3167,0.0585,0.0499,0.0,31.6702,4.9894,0.0,0.0,0.0,1.55,0.19,1.36,None,0.23601293563842773,20.416,True,None,sfc_cache_p5_1,0,None,0,29.32,99.0,16,10,0,0,0,False,100.0,0.0,12.568000000000001,6.6,1.0,0.2388,0.069,0.0533,2220.34,50.0,2270.34
0,1763510902.7127032,0.2,5,0.0,0.3167,0.0585,0.0499,0.0,31.6702,4.9894,0.0,0.0,0.0,3.45,0.35,3.11,None,0.23601293563842773,16.405,True,None,sfc_unique_p5_1,0,None,0,29.32,99.0,16,10,0,0,0,False,100.0,0.0,12.568000000000001,6.6,1.0,0.2388,0.069,0.0533,2220.34,50.0,2270.34
0,1763510902.7645125,0.3,6,0.0,0.3839,0.0819,0.0748,0.0,38.3908,7.4841,0.0,0.0,0.0,2.35,0.19,2.16,None,0.28414392471313477,19.717,True,None,sfc_cache_p6_1,0,None,0,33.65,99.0,19,12,0,0,0,False,100.0,0.0,12.695833333333333,8.25,1.0,0.2932,0.1,0.0587,2246.6684723726976,60.0,2306.6684723726976
0,1763510902.7652636,0.3,6,0.0,0.3839,0.0819,0.0748,0.0,38.3908,7.4841,0.0,0.0,0.0,3.86,0.3,3.56,None,0.28414392471313477,22.808,True,None,sfc_unique_p6_1,0,None,0,33.65,99.0,19,12,0,0,0,False,100.0,0.0,12.695833333333333,8.25,1.0,0.2932,0.1,0.0587,2246.6684723726976,60.0,2306.6684723726976
0,1763510918.4732418,16.0,6,0.0036,0.4519,0.0935,0.0998,0.432,45.1945,9.9788,0.0,0.0,0.0,3.53,1.13,2.4,None,0.00018715858459472656,11.935,True,None,sfc_cache_p1_2,0,None,0,33.65,99.0,20,14,0,0,0,False,100.0,0.2857142857142857,12.810714285714285,9.428571428571429,0.0526,0.3302,0.1191,0.0729,2297.3216220399318,70.0,2367.3216220399318
0,1763510918.4737086,16.0,6,0.0036,0.4519,0.0935,0.0998,0.432,45.1945,9.9788,0.0,0.0,0.0,4.04,0.24,3.79,None,0.00018715858459472656,13.766,True,None,sfc_unique_p1_2,0,None,0,33.65,99.0,20,14,0,0,0,False,100.0,0.2857142857142857,12.810714285714285,9.428571428571429,0.0526,0.3302,0.1191,0.0729,2297.3216220399318,70.0,2367.3216220399318
0,1763510918.5069382,16.0,7,0.0115,0.4864,0.1097,0.0998,1.4039,48.6393,9.9788,0.0,0.0,0.0,5.09,1.16,3.93,None,0.03451180458068848,12.056,True,None,sfc_cache_p2_2,0,None,4,37.98,132.0,24,16,0,0,0,False,100.0,0.8125,12.06375,8.25,0.05,0.3332,0.1154,0.0842,2302.5452716297787,80.0,2382.5452716297787
0,1763510918.5074084,16.0,7,0.0115,0.4864,0.1097,0.0998,1.4039,48.6393,9.9788,0.0,0.0,0.0,5.19,1.19,4.01,None,0.03451180458068848,14.722,True,None,sfc_unique_p2_2,0,None,4,37.98,132.0,24,16,0,0,0,False,100.0,0.8125,12.06375,8.25,0.05,0.3332,0.1154,0.0842,2302.5452716297787,80.0,2382.5452716297787
0,1763510918.5438993,16.0,8,0.031,0.4864,0.1202,0.0998,3.8522,48.6393,9.9788,0.0,0.0,0.0,4.68,1.63,3.05,None,0.0681610107421875,13.12,True,None,sfc_cache_p3_2,0,None,8,42.31,165.0,28,18,0,0,0,False,100.0,1.9816666666666667,10.723333333333334,7.333333333333333,0.0476,0.3332,0.1119,0.0927,2315.7030645410928,90.0,2405.7030645410928
0,1763510918.5443482,16.0,8,0.031,0.4864,0.1202,0.0998,3.8522,48.6393,9.9788,0.0,0.0,0.0,7.11,3.2,3.91,None,0.0681610107421875,13.58,True,None,sfc_unique_p3_2,0,None,8,42.31,165.0,28,18,0,0,0,False,100.0,1.9816666666666667,10.723333333333334,7.333333333333333,0.0476,0.3332,0.1119,0.0927,2315.7030645410928,90.0,2405.7030645410928
0,1763510918.5778553,16.1,9,0.0496,0.4864,0.1306,0.0998,6.3005,48.6393,9.9788,0.0,0.0,0.0,4.62,1.63,2.99,None,0.10506367683410645,11.733,True,None,sfc_cache_p4_2,0,None,12,46.64,198.0,32,20,0,0,0,False,100.0,2.9170000000000003,9.651,6.6,0.0455,0.3332,0.1086,0.0988,2335.949543414332,100.0,2435.949543414332
0,1763510918.5783079,16.1,9,0.0496,0.4864,0.1306,0.0998,6.3005,48.6393,9.9788,0.0,0.0,0.0,6.98,3.2,3.78,None,0.10506367683410645,13.467,True,None,sfc_unique_p4_2,0,None,12,46.64,198.0,32,20,0,0,0,False,100.0,2.9170000000000003,9.651,6.6,0.0455,0.3332,0.1086,0.0988,2335.949543414332,100.0,2435.949543414332
0,1763510918.6094034,16.1,10,0.0678,0.4864,0.1411,0.0998,8.7488,48.6393,9.9788,0.0,0.0,0.0,4.62,1.63,2.99,None,0.139021635055542,11.341,True,None,sfc_cache_p5_2,0,None,16,50.97,231.0,36,22,0,0,0,False,100.0,3.6822727272727276,8.773636363636363,6.0,0.0435,0.3332,0.1055,0.1027,2359.6335706546975,110.0,2469.6335706546975
0,1763510918.609866,16.1,10,0.0678,0.4864,0.1411,0.0998,8.7488,48.6393,9.9788,0.0,0.0,0.0,6.99,3.2,3.79,None,0.139021635055542,13.522,True,None,sfc_unique_p5_2,0,None,16,50.97,231.0,36,22,0,0,0,False,100.0,3.6822727272727276,8.773636363636363,6.0,0.0435,0.3332,0.1055,0.1027,2359.6335706546975,110.0,2469.6335706546975
