No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow,energy_consumption
0,1759927465.793647,0,1,0.0234,0.0051,0.0249,0.0,0.0,5.19,None,None,14.596,True,None,sfc_cache_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2095.5687973997833
0,1759927465.7945893,0.0,1,0.0234,0.0051,0.0249,0.0,0.0,7.11,None,None,13.903,True,None,sfc_unique_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2095.5687973997833
0,1759927465.8277566,0.0,2,0.0406,0.0101,0.0249,0.0,0.0,5.84,None,None,13.076,True,None,sfc_cache_p2_1,0,None,8.33,33.0,5,4,0,0,0,False,100.0,13.4175,8.25,2110.0
0,1759927465.8281443,0.0,2,0.0406,0.0101,0.0249,0.0,0.0,8.41,None,None,15.124,True,None,sfc_unique_p2_1,0,None,8.33,33.0,5,4,0,0,0,False,100.0,13.4175,8.25,2110.0
0,1759927465.8589475,0.1,3,0.0607,0.0161,0.0499,0.0,0.0,5.74,None,None,12.278,True,None,sfc_cache_p3_1,0,None,12.66,33.0,7,6,0,0,0,False,100.0,13.39,11.0,2143.5133880204303
0,1759927465.8592234,0.1,3,0.0607,0.0161,0.0499,0.0,0.0,7.71,None,None,12.966,True,None,sfc_unique_p3_1,0,None,12.66,33.0,7,6,0,0,0,False,100.0,13.39,11.0,2143.5133880204303
0,1759927465.8875256,0.1,4,0.0809,0.0317,0.0748,0.0,0.0,5.96,None,None,11.57,True,None,sfc_cache_p4_1,0,None,16.99,33.0,10,8,0,0,0,False,100.0,13.37625,12.375,2181.292756539235
0,1759927465.8877823,0.1,4,0.0809,0.0317,0.0748,0.0,0.0,6.92,None,None,12.909,True,None,sfc_unique_p4_1,0,None,16.99,33.0,10,8,0,0,0,False,100.0,13.37625,12.375,2181.292756539235
0,1759927465.9176805,0.1,5,0.1043,0.0445,0.0998,0.0,0.0,4.67,None,None,11.557,True,None,sfc_cache_p5_1,0,None,16.99,33.0,11,10,0,0,0,False,100.0,13.800999999999998,13.2,2207.083655780839
0,1759927465.917945,0.1,5,0.1043,0.0445,0.0998,0.0,0.0,6.49,None,None,12.951,True,None,sfc_unique_p5_1,0,None,16.99,33.0,11,10,0,0,0,False,100.0,13.800999999999998,13.2,2207.083655780839
0,1759927465.951454,0.2,6,0.1245,0.0725,0.1247,0.0,0.0,5.31,None,None,11.902,True,None,sfc_cache_p6_1,0,None,21.32,33.0,14,12,0,0,0,False,100.0,13.723333333333334,13.75,2252.353606034673
0,1759927465.9517806,0.2,6,0.1245,0.0725,0.1247,0.0,0.0,12.37,None,None,13.072,True,None,sfc_unique_p6_1,0,None,21.32,33.0,14,12,0,0,0,False,100.0,13.723333333333334,13.75,2252.353606034673
0,1759927487.7958937,22.0,6,0.1479,0.0777,0.1497,0.0,0.0,5.51,None,None,11.55,True,None,sfc_cache_p1_2,0,None,21.32,33.0,15,14,0,0,0,False,100.0,13.977142857142857,14.142857142857142,2272.32265107414
0,1759927487.7962155,22.0,6,0.1479,0.0777,0.1497,0.0,0.0,8.24,None,None,12.939,True,None,sfc_unique_p1_2,0,None,21.32,33.0,15,14,0,0,0,False,100.0,13.977142857142857,14.142857142857142,2272.32265107414
0,1759927487.8289735,22.0,7,0.1651,0.0815,0.1497,0.0,0.0,5.44,None,None,11.271,True,None,sfc_cache_p2_2,0,None,29.65,66.0,18,16,0,0,0,False,100.0,13.646875,12.375,2296.0066783145057
0,1759927487.8292625,22.0,7,0.1651,0.0815,0.1497,0.0,0.0,8.2,None,None,13.119,True,None,sfc_unique_p2_2,0,None,29.65,66.0,18,16,0,0,0,False,100.0,13.646875,12.375,2296.0066783145057
0,1759927487.8619738,22.1,8,0.1822,0.0866,0.1497,0.0,0.0,5.44,None,None,11.137,True,None,sfc_cache_p3_2,0,None,37.98,99.0,22,18,0,0,0,False,100.0,13.39,11.0,2312.8755840566505
0,1759927487.8624117,22.1,8,0.1822,0.0866,0.1497,0.0,0.0,8.08,None,None,12.789,True,None,sfc_unique_p3_2,0,None,37.98,99.0,22,18,0,0,0,False,100.0,13.39,11.0,2312.8755840566505
0,1759927487.8928921,22.1,9,0.1993,0.0973,0.1497,0.0,0.0,4.79,None,None,11.318,True,None,sfc_cache_p4_2,0,None,46.31,132.0,26,20,0,0,0,False,100.0,13.1845,9.9,2334.0104702971707
0,1759927487.893164,22.1,9,0.1993,0.0973,0.1497,0.0,0.0,6.72,None,None,13.307,True,None,sfc_unique_p4_2,0,None,46.31,132.0,26,20,0,0,0,False,100.0,13.1845,9.9,2334.0104702971707
0,1759927487.9236171,22.1,10,0.2198,0.1044,0.1497,0.0,0.0,4.82,None,None,11.395,True,None,sfc_cache_p5_2,0,None,50.31,165.0,29,22,0,0,0,False,100.0,13.213181818181818,9.0,2341.128563471602
0,1759927487.9239004,22.1,10,0.2198,0.1044,0.1497,0.0,0.0,7.01,None,None,12.587,True,None,sfc_unique_p5_2,0,None,50.31,165.0,29,22,0,0,0,False,100.0,13.213181818181818,9.0,2341.128563471602
0,1759927487.9541166,22.2,11,0.2369,0.1154,0.1497,0.0,0.0,5.57,None,None,11.006,True,None,sfc_cache_p6_2,0,None,58.64,198.0,32,24,0,0,0,False,100.0,13.056666666666667,8.25,2346.3522130614488
0,1759927487.9543872,22.2,11,0.2369,0.1154,0.1497,0.0,0.0,7.69,None,None,12.468,True,None,sfc_unique_p6_2,0,None,58.64,198.0,32,24,0,0,0,False,100.0,13.056666666666667,8.25,2346.3522130614488
0,1759927495.0235589,29.2,11,0.2432,0.1176,0.1746,0.0,0.0,5.0,None,None,11.216,True,None,sfc_cache_p1_1,0,None,50.31,165.0,30,24,0,0,0,False,100.0,13.40375,9.625,2353.8974846912274
0,1759927495.0238614,29.2,11,0.2432,0.1176,0.1746,0.0,0.0,7.95,None,None,12.218,True,None,sfc_unique_p1_1,0,None,50.31,165.0,30,24,0,0,0,False,100.0,13.40375,9.625,2353.8974846912274
