No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow,energy_consumption
0,1760745163.7064795,0,1,0.0234,0.0025,0.0249,2.3435,2.4947,0.0,0.0,3.1,None,None,23.139,True,None,sfc_cache_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2095.5687973997833
0,1760745163.7068355,0.0,1,0.0234,0.0025,0.0249,2.3435,2.4947,0.0,0.0,4.7,None,None,15.558,True,None,sfc_unique_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2095.5687973997833
0,1760745163.7477078,0.0,2,0.0406,0.0084,0.0249,4.0573,2.4947,0.0,0.0,4.17,None,None,16.447,True,None,sfc_cache_p2_1,0,None,8.33,33.0,5,4,0,0,0,False,100.0,13.4175,8.25,2112.2616468039005
0,1760745163.7480278,0.0,2,0.0406,0.0084,0.0249,4.0573,2.4947,0.0,0.0,4.56,None,None,16.268,True,None,sfc_unique_p2_1,0,None,8.33,33.0,5,4,0,0,0,False,100.0,13.4175,8.25,2112.2616468039005
0,1760745163.7972949,0.1,3,0.0607,0.0165,0.0499,6.0735,4.9894,0.0,0.0,3.52,None,None,21.829,True,None,sfc_cache_p3_1,0,None,12.66,33.0,7,6,0,0,0,False,100.0,13.39,11.0,2133.7366506732706
0,1760745163.7975662,0.1,3,0.0607,0.0165,0.0499,6.0735,4.9894,0.0,0.0,5.97,None,None,17.604,True,None,sfc_unique_p3_1,0,None,12.66,33.0,7,6,0,0,0,False,100.0,13.39,11.0,2133.7366506732706
0,1760745163.840224,0.1,4,0.0809,0.0278,0.0748,8.0897,7.4841,0.0,0.0,4.21,None,None,17.626,True,None,sfc_cache_p4_1,0,None,16.99,33.0,10,8,0,0,0,False,100.0,13.37625,12.375,2165.8090852809164
0,1760745163.8404884,0.1,4,0.0809,0.0278,0.0748,8.0897,7.4841,0.0,0.0,7.07,None,None,15.338,True,None,sfc_unique_p4_1,0,None,16.99,33.0,10,8,0,0,0,False,100.0,13.37625,12.375,2165.8090852809164
0,1760745163.878577,0.2,5,0.1043,0.0463,0.0998,10.4332,9.9788,0.0,0.0,4.66,None,None,13.744,True,None,sfc_cache_p5_1,0,None,16.99,33.0,11,10,0,0,0,False,100.0,13.800999999999998,13.2,2220.1520662436155
0,1760745163.8788412,0.2,5,0.1043,0.0463,0.0998,10.4332,9.9788,0.0,0.0,7.22,None,None,15.309,True,None,sfc_unique_p5_1,0,None,16.99,33.0,11,10,0,0,0,False,100.0,13.800999999999998,13.2,2220.1520662436155
0,1760745163.919371,0.2,6,0.1215,0.0524,0.0998,12.147,9.9788,0.0,0.0,3.72,None,None,17.635,True,None,sfc_cache_p6_1,0,None,25.32,66.0,15,12,0,0,0,False,100.0,13.39,11.0,2227.4106175514626
0,1760745163.919643,0.2,6,0.1215,0.0524,0.0998,12.147,9.9788,0.0,0.0,5.26,None,None,15.735,True,None,sfc_unique_p6_1,0,None,25.32,66.0,15,12,0,0,0,False,100.0,13.39,11.0,2227.4106175514626
0,1760745177.7035632,14.0,6,0.1449,0.0607,0.1247,14.4905,12.4735,0.0,0.0,4.59,None,None,21.562,True,None,sfc_cache_p1_2,0,None,25.32,66.0,16,14,0,0,0,False,100.0,13.691428571428572,11.785714285714286,2252.9515554867667
0,1760745177.7040465,14.0,6,0.1449,0.0607,0.1247,14.4905,12.4735,0.0,0.0,5.72,None,None,24.708,True,None,sfc_unique_p1_2,0,None,25.32,66.0,16,14,0,0,0,False,100.0,13.691428571428572,11.785714285714286,2252.9515554867667
0,1760745177.756573,14.1,7,0.162,0.069,0.1247,16.2043,12.4735,0.0,0.0,4.59,None,None,21.109,True,None,sfc_cache_p2_2,0,None,33.65,99.0,19,16,0,0,0,False,100.0,13.396875,10.3125,2276.635582727132
