No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762054500.595067,0,1,0.0,0.0781,0.0051,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,5.77,2.61,3.16,None,0.001148223876953125,21.796,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,0.0,15.5,16.5,2095.5687973997833,10.0,2105.5687973997833
0,1762054500.5958922,0.0,1,0.0,0.0781,0.0051,0.0249,0.0,7.8117,2.4947,0.0,0.0,0.0,8.13,3.52,4.62,None,0.001148223876953125,24.401,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,0.0,15.5,16.5,2095.5687973997833,10.0,2105.5687973997833
0,1762054500.6529086,0.1,2,0.0,0.1352,0.0101,0.0249,0.0,13.5243,2.4947,0.0,0.0,0.0,5.87,2.61,3.26,None,0.08270883560180664,20.828,True,None,sfc_cache_p2_1,0,None,0,8.33,33.0,5,4,0,0,0,False,100.0,0.0,13.4175,8.25,2110.0,20.0,2130.0
0,1762054500.6537082,0.1,2,0.0,0.1352,0.0101,0.0249,0.0,13.5243,2.4947,0.0,0.0,0.0,8.33,3.52,4.81,None,0.08270883560180664,23.848,True,None,sfc_unique_p2_1,0,None,0,8.33,33.0,5,4,0,0,0,False,100.0,0.0,13.4175,8.25,2110.0,20.0,2130.0
0,1762054500.7056632,0.1,3,0.0,0.2134,0.0191,0.0499,0.0,21.3361,4.9894,0.0,0.0,0.0,5.88,2.32,3.57,None,0.14048457145690918,20.228,True,None,sfc_cache_p3_1,0,None,0,8.33,33.0,6,6,0,0,0,False,100.0,0.0,14.111666666666666,11.0,2161.4978331527627,30.0,2191.4978331527627
0,1762054500.7063136,0.1,3,0.0,0.2134,0.0191,0.0499,0.0,21.3361,4.9894,0.0,0.0,0.0,8.02,3.04,4.98,None,0.14048457145690918,23.45,True,None,sfc_unique_p3_1,0,None,0,8.33,33.0,6,6,0,0,0,False,100.0,0.0,14.111666666666666,11.0,2161.4978331527627,30.0,2191.4978331527627
0,1762054500.7580802,0.2,4,0.0103,0.2545,0.0369,0.0499,1.1523,25.4511,4.9894,0.0,0.0,0.0,7.26,2.56,4.7,None,0.19305109977722168,20.31,True,None,sfc_cache_p4_1,0,None,0,12.33,66.0,9,8,0,0,0,False,100.0,1.33375,12.625,8.25,2192.05695712738,40.0,2232.05695712738
0,1762054500.758752,0.2,4,0.0103,0.2545,0.0369,0.0499,1.1523,25.4511,4.9894,0.0,0.0,0.0,8.52,3.46,5.06,None,0.19305109977722168,23.794,True,None,sfc_unique_p4_1,0,None,0,12.33,66.0,9,8,0,0,0,False,100.0,1.33375,12.625,8.25,2192.05695712738,40.0,2232.05695712738
0,1762054500.8215106,0.2,5,0.0201,0.2847,0.0476,0.0499,2.3046,28.475,4.9894,0.0,0.0,0.0,5.89,2.29,3.6,None,0.24545598030090332,20.698,True,None,sfc_cache_p5_1,0,None,0,20.66,99.0,13,10,0,0,0,False,100.0,2.134,11.3,6.6,2198.249883918898,50.0,2248.249883918898
0,1762054500.8223388,0.2,5,0.0201,0.2847,0.0476,0.0499,2.3046,28.475,4.9894,0.0,0.0,0.0,8.51,3.46,5.05,None,0.24545598030090332,32.533,True,None,sfc_unique_p5_1,0,None,0,20.66,99.0,13,10,0,0,0,False,100.0,2.134,11.3,6.6,2198.249883918898,50.0,2248.249883918898
