No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow,energy_consumption
0,1759181683.72932,0,1,0.0234,0.0212,0.0249,0.0,0.0,7.13,None,None,97.035,True,None,sfc_cache_p1_1,0,None,0,0,0,2,0,0,0,False,100.0,15.5,16.5,2065.5220670174895
0,1759181683.7296975,0.0,1,0.0234,0.0212,0.0249,0.0,0.0,10.7,None,None,102.908,True,None,sfc_unique_p1_1,0,None,0,0,0,2,0,0,0,False,100.0,15.5,16.5,2065.5220670174895
0,1759181683.9420822,0.2,2,0.0469,0.0363,0.0499,0.0,0.0,6.95,None,None,98.31,True,None,sfc_cache_p2_1,0,None,0,0,1,4,0,0,0,False,100.0,15.5,16.5,2089.08386746308
0,1759181683.9423485,0.2,2,0.0469,0.0363,0.0499,0.0,0.0,10.25,None,None,106.154,True,None,sfc_unique_p2_1,0,None,0,0,1,4,0,0,0,False,100.0,15.5,16.5,2089.08386746308
0,1759181684.1590087,0.4,3,0.0703,0.0631,0.0748,0.0,0.0,9.03,None,None,97.265,True,None,sfc_cache_p3_1,0,None,0,0,1,6,0,0,0,False,100.0,15.5,16.5,2145.626724605937
0,1759181684.1592886,0.4,3,0.0703,0.0631,0.0748,0.0,0.0,13.91,None,None,110.362,True,None,sfc_unique_p3_1,0,None,0,0,1,6,0,0,0,False,100.0,15.5,16.5,2145.626724605937
0,1759181684.3670888,0.6,4,0.0937,0.0895,0.0998,0.0,0.0,9.13,None,None,97.776,True,None,sfc_cache_p4_1,0,None,0,0,2,8,0,0,0,False,100.0,15.5,16.5,2196.4841339644745
0,1759181684.367355,0.6,4,0.0937,0.0895,0.0998,0.0,0.0,13.96,None,None,101.342,True,None,sfc_unique_p4_1,0,None,0,0,2,8,0,0,0,False,100.0,15.5,16.5,2196.4841339644745
0,1759181696.7698848,13.0,6,0.1172,0.1137,0.1247,0.0,0.0,7.57,None,None,122.587,True,None,sfc_cache_p1_2,0,None,0,0,2,10,0,0,0,False,100.0,15.5,16.5,2237.9800223718416
0,1759181696.770184,13.0,6,0.1172,0.1137,0.1247,0.0,0.0,12.67,None,None,118.97,True,None,sfc_unique_p1_2,0,None,0,0,2,10,0,0,0,False,100.0,15.5,16.5,2237.9800223718416
0,1759181697.0034313,13.3,7,0.1406,0.1331,0.1497,0.0,0.0,6.3,None,None,110.874,True,None,sfc_cache_p2_2,0,None,0,0,2,12,0,0,0,False,100.0,15.5,16.5,2268.934516229699
0,1759181697.0037136,13.3,7,0.1406,0.1331,0.1497,0.0,0.0,13.88,None,None,108.473,True,None,sfc_unique_p2_2,0,None,0,0,2,12,0,0,0,False,100.0,15.5,16.5,2268.934516229699
0,1759181697.2698507,13.5,8,0.164,0.1568,0.1746,0.0,0.0,7.71,None,None,96.413,True,None,sfc_cache_p3_2,0,None,0,0,4,14,0,0,0,False,100.0,15.5,16.5,2304.542964805351
0,1759181697.2701485,13.5,8,0.164,0.1568,0.1746,0.0,0.0,11.02,None,None,110.923,True,None,sfc_unique_p3_2,0,None,0,0,4,14,0,0,0,False,100.0,15.5,16.5,2304.542964805351
0,1759181697.5692065,13.8,9,0.1875,0.1794,0.1996,0.0,0.0,9.82,None,None,147.716,True,None,sfc_cache_p4_2,0,None,0,0,4,16,0,0,0,False,100.0,15.5,16.5,2347.9047210847266
0,1759181697.5695598,13.8,9,0.1875,0.1794,0.1996,0.0,0.0,20.37,None,None,136.176,True,None,sfc_unique_p4_2,0,None,0,0,4,16,0,0,0,False,100.0,15.5,16.5,2347.9047210847266
0,1759181718.7605557,35.0,11,0.2109,0.1995,0.2245,0.0,0.0,9.29,None,None,106.781,True,None,sfc_cache_p1_3,0,None,0,0,4,18,0,0,0,False,100.0,15.5,16.5,2376.311999369821
0,1759181718.7608423,35.0,11,0.2109,0.1995,0.2245,0.0,0.0,7.8,None,None,115.136,True,None,sfc_unique_p1_3,0,None,0,0,4,18,0,0,0,False,100.0,15.5,16.5,2376.311999369821
0,1759181719.1255686,35.4,12,0.2344,0.2213,0.2495,0.0,0.0,7.3,None,None,168.822,True,None,sfc_cache_p2_3,0,None,0,0,4,20,0,0,0,False,100.0,15.5,16.5,2406.6865543922636
0,1759181719.1260881,35.4,12,0.2344,0.2213,0.2495,0.0,0.0,9.03,None,None,178.909,True,None,sfc_unique_p2_3,0,None,0,0,4,20,0,0,0,False,100.0,15.5,16.5,2406.6865543922636
