No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1769438162.4107864,0,1,0.0217,0.039,0.028,0.0249,2.2178,3.9038,2.8993,0.0,0.0,0.0,8.22,3.59,4.64,None,0.002671480178833008,155.278,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,True,100.0,8.835,6.665,16.5,0.2538,0.0909,0.0435,0.122,1775.1128219592879,10.0,1785.1128219592879,0.9241047852356803,2,0,0
0,1769438162.4116392,0.0,1,0.0217,0.039,0.028,0.0249,2.2178,3.9038,2.8993,0.0,0.0,0.0,8.25,3.61,4.64,None,0.002671480178833008,169.034,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,True,100.0,8.835,6.665,16.5,0.2538,0.0909,0.0435,0.122,1775.1128219592879,10.0,1785.1128219592879,0.9241047852356803,2,0,0
0,1769438162.7237146,0.3,2,0.0539,0.0488,0.0524,0.0499,5.6907,4.879,5.7986,0.0,0.0,0.0,9.62,4.66,4.96,None,0.3639216423034668,138.729,True,None,sfc_cache_p2_1,0,None,0,0,0,0,4,0,0,0,True,100.0,11.335,4.165,16.5,0.3655,0.1337,0.0766,0.1735,1806.4542738325497,20.0,1826.4542738325497,0.9037100918446584,3,1,0
0,1769438162.7246623,0.3,2,0.0539,0.0488,0.0524,0.0499,5.6907,4.879,5.7986,0.0,0.0,0.0,8.7,4.67,4.04,None,0.3639216423034668,157.927,True,None,sfc_unique_p2_1,0,None,0,0,0,0,4,0,0,0,True,100.0,11.335,4.165,16.5,0.3655,0.1337,0.0766,0.1735,1806.4542738325497,20.0,1826.4542738325497,0.9037100918446584,3,1,0
0,1769438163.046871,0.6,3,0.0774,0.0761,0.0723,0.0748,8.4105,7.6114,8.6979,0.0,0.0,0.0,5.2,2.4,2.81,None,0.677133321762085,136.958,True,None,sfc_cache_p3_1,0,None,0,0,0,2,6,0,0,0,True,100.0,11.168333333333335,4.331666666666666,16.5,0.3339,0.3211,0.1127,0.18,1843.6487589478133,30.0,1873.6487589478133,0.8914707720944035,5,1,0
0,1769438163.0478988,0.6,3,0.0774,0.0761,0.0723,0.0748,8.4105,7.6114,8.6979,0.0,0.0,0.0,7.99,4.09,3.9,None,0.677133321762085,171.86,True,None,sfc_unique_p3_1,0,None,0,0,0,2,6,0,0,0,True,100.0,11.168333333333335,4.331666666666666,16.5,0.3339,0.3211,0.1127,0.18,1843.6487589478133,30.0,1873.6487589478133,0.8914707720944035,5,1,0
0,1769438163.3949199,1.0,4,0.1059,0.0888,0.089,0.0998,11.7579,8.8795,11.5973,0.0,0.0,0.0,6.47,3.46,3.01,None,1.0003993511199951,159.298,True,None,sfc_cache_p4_1,0,None,0,0,0,3,8,0,0,0,True,100.0,11.71,3.79,16.5,0.3816,0.355,0.1414,0.1824,1875.303688525278,40.0,1915.303688525278,0.8915572214261648,7,1,0
0,1769438163.39593,1.0,4,0.1059,0.0888,0.089,0.0998,11.7579,8.8795,11.5973,0.0,0.0,0.0,10.03,6.87,3.17,None,1.0003993511199951,174.238,True,None,sfc_unique_p4_1,0,None,0,0,0,3,8,0,0,0,True,100.0,11.71,3.79,16.5,0.3816,0.355,0.1414,0.1824,1875.303688525278,40.0,1915.303688525278,0.8915572214261648,7,1,0
0,1769438163.8199332,1.4,5,0.1158,0.1191,0.1128,0.0998,13.3055,11.9077,11.5973,0.0,0.0,0.0,5.87,2.13,3.74,None,1.3483939170837402,143.53,True,None,sfc_cache_p5_1,0,None,4,4.33,33.0,5,10,0,0,0,True,100.0,10.601,4.066,13.2,0.2891,0.3626,0.1361,0.1776,1903.0121962376625,50.0,1953.0121962376625,0.8787057939357629,9,1,0
0,1769438163.8207104,1.4,5,0.1158,0.1191,0.1128,0.0998,13.3055,11.9077,11.5973,0.0,0.0,0.0,12.64,8.08,4.56,None,1.3483939170837402,174.783,True,None,sfc_unique_p5_1,0,None,4,4.33,33.0,5,10,0,0,0,True,100.0,10.601,4.066,13.2,0.2891,0.3626,0.1361,0.1776,1903.0121962376625,50.0,1953.0121962376625,0.8787057939357629,9,1,0
0,1769438164.1684139,1.8,6,0.1269,0.1591,0.137,0.0998,14.9785,15.9111,11.5973,0.0,0.0,0.0,7.85,3.47,4.39,None,1.7729058265686035,165.103,True,None,sfc_cache_p6_1,0,None,8,4.33,66.0,7,12,0,0,0,True,100.0,9.945,4.5275,11.0,0.327,0.3555,0.1313,0.1852,1941.9689764450206,60.0,2001.9689764450206,0.8571918196131748,11,1,0
0,1769438164.1695209,1.8,6,0.1269,0.1591,0.137,0.0998,14.9785,15.9111,11.5973,0.0,0.0,0.0,7.06,3.4,3.66,None,1.7729058265686035,169.049,True,None,sfc_unique_p6_1,0,None,8,4.33,66.0,7,12,0,0,0,True,100.0,9.945,4.5275,11.0,0.327,0.3555,0.1313,0.1852,1941.9689764450206,60.0,2001.9689764450206,0.8571918196131748,11,1,0
0,1769438176.4189832,14.0,6,0.1199,0.1831,0.17,0.1247,14.2566,18.3096,12.4735,0.0,0.0,0.0,7.48,2.4,5.08,None,0.0007891654968261719,159.646,True,None,sfc_cache_p1_2,0,None,8,4.33,66.0,7,14,0,0,0,False,100.0,9.429285714285713,5.1899999999999995,11.785714285714286,0.3169,0.4946,0.0963,0.203,2286.9736054202735,70.0,2356.9736054202735,0.8480720951314941,14,0,0
0,1769438176.4198058,14.0,6,0.1199,0.1831,0.17,0.1247,14.2566,18.3096,12.4735,0.0,0.0,0.0,6.71,1.6,5.11,None,0.0007891654968261719,179.281,True,None,sfc_unique_p1_2,0,None,8,4.33,66.0,7,14,0,0,0,False,100.0,9.429285714285713,5.1899999999999995,11.785714285714286,0.3169,0.4946,0.0963,0.203,2286.9736054202735,70.0,2356.9736054202735,0.8480720951314941,14,0,0
0,1769438176.7602856,14.3,7,0.1332,0.2159,0.1914,0.1497,16.2005,21.5855,14.9682,0.0,0.0,0.0,5.36,1.91,3.46,None,0.36126232147216797,150.389,True,None,sfc_cache_p2_2,0,None,8,4.33,66.0,7,16,0,0,0,False,100.0,9.375625,5.35375,12.375,0.3314,0.5526,0.1034,0.2066,2325.6321451200106,80.0,2405.6321451200106,0.8474476054467712,15,1,0
0,1769438176.7610965,14.4,7,0.1332,0.2159,0.1914,0.1497,16.2005,21.5855,14.9682,0.0,0.0,0.0,6.03,1.71,4.32,None,0.36126232147216797,172.541,True,None,sfc_unique_p2_2,0,None,8,4.33,66.0,7,16,0,0,0,False,100.0,9.375625,5.35375,12.375,0.3314,0.5526,0.1034,0.2066,2325.6321451200106,80.0,2405.6321451200106,0.8474476054467712,15,1,0
0,1769438177.107979,14.7,8,0.1424,0.2612,0.2112,0.1746,17.6044,26.1214,17.463,0.0,0.0,0.0,2.95,1.04,1.91,None,0.7025516033172607,152.175,True,None,sfc_cache_p3_2,0,None,8,4.33,66.0,7,18,0,0,0,False,100.0,9.056111111111111,5.7588888888888885,12.833333333333334,0.3215,0.653,0.1101,0.2119,2373.1451585854184,90.0,2463.1451585854184,0.8398981866774359,17,1,0
0,1769438177.1088164,14.7,8,0.1424,0.2612,0.2112,0.1746,17.6044,26.1214,17.463,0.0,0.0,0.0,10.4,5.88,4.52,None,0.7025516033172607,175.936,True,None,sfc_unique_p3_2,0,None,8,4.33,66.0,7,18,0,0,0,False,100.0,9.056111111111111,5.7588888888888885,12.833333333333334,0.3215,0.653,0.1101,0.2119,2373.1451585854184,90.0,2463.1451585854184,0.8398981866774359,17,1,0
0,1769438177.4438658,15.0,9,0.1507,0.3083,0.2324,0.1996,18.936,30.826,19.9577,0.0,0.0,0.0,4.44,0.32,4.12,None,1.0502934455871582,149.256,True,None,sfc_cache_p4_2,0,None,8,4.33,66.0,7,20,0,0,0,False,100.0,8.767,6.1165,13.2,0.3064,0.6864,0.136,0.2121,2418.1798652871676,100.0,2518.1798652871676,0.8337901821199191,19,1,0
0,1769438177.4447317,15.0,9,0.1507,0.3083,0.2324,0.1996,18.936,30.826,19.9577,0.0,0.0,0.0,8.37,5.27,3.1,None,1.0502934455871582,163.91,True,None,sfc_unique_p4_2,0,None,8,4.33,66.0,7,20,0,0,0,False,100.0,8.767,6.1165,13.2,0.3064,0.6864,0.136,0.2121,2418.1798652871676,100.0,2518.1798652871676,0.8337901821199191,19,1,0
0,1769438177.7823915,15.4,10,0.1497,0.3612,0.2535,0.1996,19.1164,36.1178,19.9577,0.0,0.0,0.0,5.58,3.48,2.1,None,1.3861830234527588,155.091,True,None,sfc_cache_p5_2,0,None,12,8.66,99.0,10,22,0,0,0,False,100.0,8.04590909090909,6.515000000000001,12.0,0.2955,0.6909,0.1321,0.2119,2456.109001643769,110.0,2566.109001643769,0.8292041780872292,22,0,0
0,1769438177.7832766,15.4,10,0.1497,0.3612,0.2535,0.1996,19.1164,36.1178,19.9577,0.0,0.0,0.0,6.44,2.33,4.1,None,1.3861830234527588,165.765,True,None,sfc_unique_p5_2,0,None,12,8.66,99.0,10,22,0,0,0,False,100.0,8.04590909090909,6.515000000000001,12.0,0.2955,0.6909,0.1321,0.2119,2456.109001643769,110.0,2566.109001643769,0.8292041780872292,22,0,0
0,1769438178.1010113,15.7,11,0.1507,0.4292,0.2831,0.2245,19.5484,42.9216,22.4524,0.0,0.0,0.0,4.46,1.0,3.46,None,1.7247345447540283,151.179,True,None,sfc_cache_p6_2,0,None,12,8.66,99.0,12,24,0,0,0,False,100.0,7.542083333333333,7.097083333333334,12.375,0.288,0.8353,0.1462,0.2112,2515.455052477387,120.0,2635.455052477387,0.8260741303513087,24,0,0
0,1769438178.1021838,15.7,11,0.1507,0.4292,0.2831,0.2245,19.5484,42.9216,22.4524,0.0,0.0,0.0,5.63,0.43,5.2,None,1.7247345447540283,143.886,True,None,sfc_unique_p6_2,0,None,12,8.66,99.0,12,24,0,0,0,False,100.0,7.542083333333333,7.097083333333334,12.375,0.288,0.8353,0.1462,0.2112,2515.455052477387,120.0,2635.455052477387,0.8260741303513087,24,0,0
0,1769438185.1469975,22.7,11,0.1185,0.3964,0.2188,0.1746,15.94,39.6357,20.2952,0.0,0.0,0.0,6.57,2.5,4.07,None,3.266334533691406e-05,155.945,True,None,sfc_cache_p2_2,0,None,8,8.66,66.0,7,18,0,0,0,True,100.0,7.055555555555555,7.518888888888889,12.833333333333334,0.2304,0.7352,0.1265,0.2146,2096.68335669448,120.0,2216.68335669448,0.8288664319067406,16,0,0
0,1769438185.1478279,22.7,11,0.1185,0.3964,0.2188,0.1746,15.94,39.6357,20.2952,0.0,0.0,0.0,8.04,2.96,5.08,None,3.266334533691406e-05,151.505,True,None,sfc_unique_p2_2,0,None,8,8.66,66.0,7,18,0,0,0,True,100.0,7.055555555555555,7.518888888888889,12.833333333333334,0.2304,0.7352,0.1265,0.2146,2096.68335669448,120.0,2216.68335669448,0.8288664319067406,16,0,0
0,1769438185.5780656,23.2,11,0.1291,0.4491,0.2476,0.1996,17.5716,44.9072,23.1945,0.0,0.0,0.0,8.38,2.97,5.41,None,0.32315659523010254,161.961,True,None,sfc_cache_p1_1,0,None,8,8.66,66.0,8,20,0,0,0,True,100.0,7.0,7.667,13.2,0.247,0.7391,0.1455,0.2112,2132.1349121812473,120.0,2252.1349121812473,0.8274167255946342,18,0,0
0,1769438185.5789466,23.2,11,0.1291,0.4491,0.2476,0.1996,17.5716,44.9072,23.1945,0.0,0.0,0.0,9.52,3.77,5.75,None,0.32315659523010254,159.79,True,None,sfc_unique_p1_1,0,None,8,8.66,66.0,8,20,0,0,0,True,100.0,7.0,7.667,13.2,0.247,0.7391,0.1455,0.2112,2132.1349121812473,120.0,2252.1349121812473,0.8274167255946342,18,0,0
