No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762056590.4882572,0,1,0.0171,0.037,0.0216,0.0249,1.7636,3.6967,2.4947,0.0,0.0,0.0,7.74,3.0,4.74,None,0.00010180473327636719,93.012,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,8.165,7.335,16.5,2072.421660003404,10.0,2082.421660003404
0,1762056590.488743,0.0,1,0.0171,0.037,0.0216,0.0249,1.7636,3.6967,2.4947,0.0,0.0,0.0,11.54,7.8,3.74,None,0.00010180473327636719,104.287,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,8.165,7.335,16.5,2072.421660003404,10.0,2082.421660003404
0,1762056590.692841,0.2,2,0.0362,0.0672,0.0394,0.0499,3.8155,6.7206,4.9894,0.0,0.0,0.0,9.69,6.16,3.53,None,0.22832202911376953,93.435,True,None,sfc_cache_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,8.8325,6.6675,16.5,2104.374189438315,20.0,2124.374189438315
0,1762056590.6932423,0.2,2,0.0362,0.0672,0.0394,0.0499,3.8155,6.7206,4.9894,0.0,0.0,0.0,7.63,3.11,4.52,None,0.22832202911376953,103.329,True,None,sfc_unique_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,8.8325,6.6675,16.5,2104.374189438315,20.0,2124.374189438315
0,1762056590.8929992,0.4,3,0.0559,0.0933,0.06,0.0748,6.0467,9.3262,7.4841,0.0,0.0,0.0,7.82,4.88,2.93,None,0.4327223300933838,86.593,True,None,sfc_cache_p3_1,0,None,0,0,0,2,6,0,0,0,False,100.0,9.331666666666667,6.168333333333333,16.5,2144.33818588991,30.0,2174.33818588991
0,1762056590.8933856,0.4,3,0.0559,0.0933,0.06,0.0748,6.0467,9.3262,7.4841,0.0,0.0,0.0,11.19,5.94,5.25,None,0.4327223300933838,105.21,True,None,sfc_unique_p3_1,0,None,0,0,0,2,6,0,0,0,False,100.0,9.331666666666667,6.168333333333333,16.5,2144.33818588991,30.0,2174.33818588991
0,1762056591.0837593,0.6,4,0.0752,0.1168,0.0753,0.0998,8.387,11.6773,9.9788,0.0,0.0,0.0,6.72,3.55,3.17,None,0.6328184604644775,85.722,True,None,sfc_cache_p4_1,0,None,0,0,0,3,8,0,0,0,False,100.0,9.7075,5.7925,16.5,2181.072800149806,40.0,2221.072800149806
0,1762056591.0841365,0.6,4,0.0752,0.1168,0.0753,0.0998,8.387,11.6773,9.9788,0.0,0.0,0.0,16.62,12.35,4.28,None,0.6328184604644775,96.301,True,None,sfc_unique_p4_1,0,None,0,0,0,3,8,0,0,0,False,100.0,9.7075,5.7925,16.5,2181.072800149806,40.0,2221.072800149806
0,1762056591.3708396,0.9,5,0.093,0.1428,0.0909,0.1247,10.6182,14.2828,12.4735,0.0,0.0,0.0,6.97,3.1,3.87,None,0.823544979095459,177.112,True,None,sfc_cache_p5_1,0,None,0,0,0,4,10,0,0,0,False,100.0,9.831999999999999,5.668,16.5,2212.5379518727586,50.0,2262.5379518727586
0,1762056591.371225,0.9,5,0.093,0.1428,0.0909,0.1247,10.6182,14.2828,12.4735,0.0,0.0,0.0,12.1,8.4,3.69,None,0.823544979095459,98.879,True,None,sfc_unique_p5_1,0,None,0,0,0,4,10,0,0,0,False,100.0,9.831999999999999,5.668,16.5,2212.5379518727586,50.0,2262.5379518727586
0,1762056591.5857852,1.1,6,0.1134,0.1512,0.1095,0.1247,13.1744,15.122,12.4735,0.0,0.0,0.0,8.37,5.32,3.05,None,1.1105389595031738,92.232,True,None,sfc_cache_p6_1,0,None,4,0,33.0,6,12,0,0,0,False,100.0,10.165833333333333,5.0008333333333335,13.75,2238.623082714542,60.0,2298.623082714542
0,1762056591.5861597,1.1,6,0.1134,0.1512,0.1095,0.1247,13.1744,15.122,12.4735,0.0,0.0,0.0,15.99,10.59,5.4,None,1.1105389595031738,113.258,True,None,sfc_unique_p6_1,0,None,4,0,33.0,6,12,0,0,0,False,100.0,10.165833333333333,5.0008333333333335,13.75,2238.623082714542,60.0,2298.623082714542
0,1762056605.5919068,15.1,6,0.1256,0.1882,0.1323,0.1497,14.938,18.8187,14.9682,0.0,0.0,0.0,7.69,3.7,3.99,None,8.559226989746094e-05,134.22,True,None,sfc_cache_p1_2,0,None,4,0,33.0,6,14,0,0,0,False,100.0,9.879999999999999,5.3342857142857145,14.142857142857142,2284.84490645693,70.0,2354.84490645693
0,1762056605.5925672,15.1,6,0.1256,0.1882,0.1323,0.1497,14.938,18.8187,14.9682,0.0,0.0,0.0,12.83,7.65,5.18,None,8.559226989746094e-05,167.583,True,None,sfc_unique_p1_2,0,None,4,0,33.0,6,14,0,0,0,False,100.0,9.879999999999999,5.3342857142857145,14.142857142857142,2284.84490645693,70.0,2354.84490645693
0,1762056605.9032269,15.4,7,0.1462,0.2025,0.153,0.1746,17.6735,20.2475,17.463,0.0,0.0,0.0,11.62,7.3,4.32,None,0.3214583396911621,127.075,True,None,sfc_cache_p2_2,0,None,4,0,33.0,7,16,0,0,0,False,100.0,10.228125,5.021875,14.4375,2318.7087242712073,80.0,2398.7087242712073
0,1762056605.904242,15.4,7,0.1462,0.2025,0.153,0.1746,17.6735,20.2475,17.463,0.0,0.0,0.0,14.0,9.4,4.61,None,0.3214583396911621,163.376,True,None,sfc_unique_p2_2,0,None,4,0,33.0,7,16,0,0,0,False,100.0,10.228125,5.021875,14.4375,2318.7087242712073,80.0,2398.7087242712073
0,1762056606.222195,15.7,8,0.1561,0.2294,0.1802,0.1996,19.4015,22.9362,19.9577,0.0,0.0,0.0,9.68,5.36,4.32,None,0.6331570148468018,146.173,True,None,sfc_cache_p3_2,0,None,4,4.33,33.0,8,18,0,0,0,False,100.0,9.980555555555556,5.056666666666667,14.666666666666666,2358.9772745265186,90.0,2448.9772745265186
