No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,reuse_cpu_rate,reuse_cache_rate
0,1755521892.347501,0,1,0.0108,0.0041,0.0275,18.0,0.0,8.06,None,None,6.367,True,None,sfc_cache_p1_1,0,None,0,0,1,0,0,0,0,False,100.0,0.0,0.0
0,1755521892.348068,0.0,1,0.0108,0.0041,0.0275,18.0,0.0,12.79,None,None,5.836,True,None,sfc_unique_p1_1,0,None,0,0,1,0,0,0,0,False,100.0,0.0,0.0
0,1755521892.3639152,0.0,2,0.0183,0.0082,0.0275,36.0,0.0,8.93,None,None,5.771,True,None,sfc_cache_p2_1,0,None,4,33.0,4,0,0,0,0,False,100.0,6.451612903225806,50.0
0,1755521892.3643112,0.0,2,0.0183,0.0082,0.0275,36.0,0.0,14.53,None,None,5.702,True,None,sfc_unique_p2_1,0,None,4,33.0,4,0,0,0,0,False,100.0,6.451612903225806,50.0
0,1755521892.3807883,0.0,3,0.0258,0.0123,0.0275,54.0,0.0,8.24,None,None,5.741,True,None,sfc_cache_p3_1,0,None,8,66.0,7,0,0,0,0,False,100.0,8.60215053763441,66.66666666666666
0,1755521892.3812003,0.0,3,0.0258,0.0123,0.0275,54.0,0.0,13.13,None,None,5.648,True,None,sfc_unique_p3_1,0,None,8,66.0,7,0,0,0,0,False,100.0,8.60215053763441,66.66666666666666
0,1755521892.3970287,0.0,4,0.0333,0.0165,0.0275,72.0,0.0,9.59,None,None,5.799,True,None,sfc_cache_p4_1,0,None,12,99.0,10,0,0,0,0,False,100.0,9.67741935483871,75.0
0,1755521892.397427,0.0,4,0.0333,0.0165,0.0275,72.0,0.0,15.85,None,None,5.722,True,None,sfc_unique_p4_1,0,None,12,99.0,10,0,0,0,0,False,100.0,9.67741935483871,75.0
0,1755521909.339056,17.0,6,0.0442,0.0206,0.055,90.0,0.0,8.24,None,None,5.915,True,None,sfc_cache_p1_2,0,None,12,99.0,11,0,0,0,0,False,100.0,7.741935483870968,60.0
0,1755521909.339509,17.0,6,0.0442,0.0206,0.055,90.0,0.0,13.13,None,None,5.956,True,None,sfc_unique_p1_2,0,None,12,99.0,11,0,0,0,0,False,100.0,7.741935483870968,60.0
0,1755521909.3553412,17.0,7,0.0517,0.0247,0.055,108.0,0.0,8.93,None,None,5.746,True,None,sfc_cache_p2_2,0,None,16,132.0,14,0,0,0,0,False,100.0,8.60215053763441,66.66666666666666
0,1755521909.355708,17.0,7,0.0517,0.0247,0.055,108.0,0.0,14.53,None,None,5.699,True,None,sfc_unique_p2_2,0,None,16,132.0,14,0,0,0,0,False,100.0,8.60215053763441,66.66666666666666
0,1755521909.3724535,17.0,8,0.0592,0.0288,0.055,126.0,0.0,9.59,None,None,5.77,True,None,sfc_cache_p3_2,0,None,20,165.0,17,0,0,0,0,False,100.0,9.216589861751153,71.42857142857143
0,1755521909.3728666,17.0,8,0.0592,0.0288,0.055,126.0,0.0,15.85,None,None,5.772,True,None,sfc_unique_p3_2,0,None,20,165.0,17,0,0,0,0,False,100.0,9.216589861751153,71.42857142857143
0,1755521909.391681,17.0,9,0.0667,0.0329,0.055,144.0,0.0,8.24,None,None,5.747,True,None,sfc_cache_p4_2,0,None,24,198.0,20,0,0,0,0,False,100.0,9.67741935483871,75.0
0,1755521909.3920777,17.0,9,0.0667,0.0329,0.055,144.0,0.0,13.13,None,None,5.645,True,None,sfc_unique_p4_2,0,None,24,198.0,20,0,0,0,0,False,100.0,9.67741935483871,75.0
0,1755521924.3473911,32.0,11,0.0775,0.037,0.0825,162.0,0.0,8.37,None,None,5.913,True,None,sfc_cache_p1_3,0,None,24,198.0,21,0,0,0,0,False,100.0,8.60215053763441,66.66666666666666
0,1755521924.3478134,32.0,11,0.0775,0.037,0.0825,162.0,0.0,13.87,None,None,5.741,True,None,sfc_unique_p1_3,0,None,24,198.0,21,0,0,0,0,False,100.0,8.60215053763441,66.66666666666666
0,1755521924.3635626,32.0,12,0.085,0.0411,0.0825,180.0,0.0,8.45,None,None,5.793,True,None,sfc_cache_p2_3,0,None,28,231.0,24,0,0,0,0,False,100.0,9.032258064516128,70.0
0,1755521924.3639073,32.0,12,0.085,0.0411,0.0825,180.0,0.0,14.05,None,None,5.759,True,None,sfc_unique_p2_3,0,None,28,231.0,24,0,0,0,0,False,100.0,9.032258064516128,70.0
0,1755521924.3798203,32.0,13,0.0925,0.0453,0.0825,198.0,0.0,8.37,None,None,5.689,True,None,sfc_cache_p3_3,0,None,32,264.0,27,0,0,0,0,False,100.0,9.3841642228739,72.72727272727273
0,1755521924.380161,32.0,13,0.0925,0.0453,0.0825,198.0,0.0,13.88,None,None,5.789,True,None,sfc_unique_p3_3,0,None,32,264.0,27,0,0,0,0,False,100.0,9.3841642228739,72.72727272727273
0,1755521924.3967915,32.0,14,0.1,0.0494,0.0825,216.0,0.0,9.11,None,None,5.742,True,None,sfc_cache_p4_3,0,None,36,297.0,30,0,0,0,0,False,100.0,9.67741935483871,75.0
0,1755521924.397132,32.0,14,0.1,0.0494,0.0825,216.0,0.0,15.37,None,None,5.666,True,None,sfc_unique_p4_3,0,None,36,297.0,30,0,0,0,0,False,100.0,9.67741935483871,75.0
0,1755521946.355014,54.0,16,0.1108,0.0535,0.11,234.0,0.0,7.93,None,None,5.961,True,None,sfc_cache_p1_4,0,None,36,297.0,31,0,0,0,0,False,100.0,8.933002481389577,69.23076923076923
0,1755521946.3554885,54.0,16,0.1108,0.0535,0.11,234.0,0.0,12.93,None,None,5.759,True,None,sfc_unique_p1_4,0,None,36,297.0,31,0,0,0,0,False,100.0,8.933002481389577,69.23076923076923
0,1755521946.374814,54.0,17,0.1183,0.0576,0.11,252.0,0.0,7.95,None,None,5.901,True,None,sfc_cache_p2_4,0,None,40,330.0,34,0,0,0,0,False,100.0,9.216589861751153,71.42857142857143
0,1755521946.3752654,54.0,17,0.1183,0.0576,0.11,252.0,0.0,12.98,None,None,5.781,True,None,sfc_unique_p2_4,0,None,40,330.0,34,0,0,0,0,False,100.0,9.216589861751153,71.42857142857143
0,1755521946.39261,54.0,18,0.1258,0.0617,0.11,270.0,0.0,7.78,None,None,5.902,True,None,sfc_cache_p3_4,0,None,44,363.0,37,0,0,0,0,False,100.0,9.46236559139785,73.33333333333333
0,1755521946.3930616,54.0,18,0.1258,0.0617,0.11,270.0,0.0,12.64,None,None,5.85,True,None,sfc_unique_p3_4,0,None,44,363.0,37,0,0,0,0,False,100.0,9.46236559139785,73.33333333333333
0,1755521946.412655,54.1,19,0.1333,0.0658,0.11,288.0,0.0,9.17,None,None,5.977,True,None,sfc_cache_p4_4,0,None,48,396.0,40,0,0,0,0,False,100.0,9.67741935483871,75.0
0,1755521946.4131615,54.1,19,0.1333,0.0658,0.11,288.0,0.0,15.43,None,None,5.889,True,None,sfc_unique_p4_4,0,None,48,396.0,40,0,0,0,0,False,100.0,9.67741935483871,75.0
0,1755521961.3649292,69.0,21,0.1442,0.0699,0.1375,306.0,0.0,9.16,None,None,5.92,True,None,sfc_cache_p1_5,0,None,48,396.0,41,0,0,0,0,False,100.0,9.108159392789373,70.58823529411765
0,1755521961.3653562,69.0,21,0.1442,0.0699,0.1375,306.0,0.0,14.87,None,None,5.964,True,None,sfc_unique_p1_5,0,None,48,396.0,41,0,0,0,0,False,100.0,9.108159392789373,70.58823529411765
