No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow
0,1758214273.212852,0,1,0.0258,0.0048,0.0275,0.0,0.0,5.23,None,None,8.264,True,None,sfc_cache_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5
0,1758214273.214133,0.0,1,0.0258,0.0048,0.0275,0.0,0.0,7.42,None,None,8.734,True,None,sfc_unique_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5
0,1758214273.2347817,0.0,2,0.0367,0.011,0.055,18.0,0.0,7.54,None,None,8.982,True,None,sfc_cache_p2_1,0,None,0,0,2,4,0,0,0,False,100.0,11.0,16.5
0,1758214273.235204,0.0,2,0.0367,0.011,0.055,18.0,0.0,12.38,None,None,8.649,True,None,sfc_unique_p2_1,0,None,0,0,2,4,0,0,0,False,100.0,11.0,16.5
0,1758214273.2641304,0.1,3,0.0442,0.0173,0.055,36.0,0.0,8.97,None,None,8.694,True,None,sfc_cache_p3_1,0,None,4,33.0,5,6,0,0,0,False,100.0,8.833333333333334,11.0
0,1758214273.2647216,0.1,3,0.0442,0.0173,0.055,36.0,0.0,15.22,None,None,10.365,True,None,sfc_unique_p3_1,0,None,4,33.0,5,6,0,0,0,False,100.0,8.833333333333334,11.0
0,1758214273.2914605,0.1,4,0.0517,0.0235,0.055,54.0,0.0,7.69,None,None,7.91,True,None,sfc_cache_p4_1,0,None,8,66.0,8,8,0,0,0,False,100.0,7.75,8.25
0,1758214273.291861,0.1,4,0.0517,0.0235,0.055,54.0,0.0,12.67,None,None,8.473,True,None,sfc_unique_p4_1,0,None,8,66.0,8,8,0,0,0,False,100.0,7.75,8.25
0,1758214294.2159548,21.0,6,0.0775,0.0265,0.0825,54.0,0.0,5.42,None,None,7.267,True,None,sfc_cache_p1_2,0,None,8,66.0,9,10,0,0,0,False,100.0,9.3,9.9
0,1758214294.2163506,21.0,6,0.0775,0.0265,0.0825,54.0,0.0,6.5,None,None,7.558,True,None,sfc_unique_p1_2,0,None,8,66.0,9,10,0,0,0,False,100.0,9.3,9.9
0,1758214294.2369556,21.0,7,0.085,0.0328,0.0825,72.0,0.0,8.56,None,None,7.676,True,None,sfc_cache_p2_2,0,None,12,99.0,12,12,0,0,0,False,100.0,8.5,8.25
0,1758214294.237201,21.0,7,0.085,0.0328,0.0825,72.0,0.0,14.44,None,None,8.269,True,None,sfc_unique_p2_2,0,None,12,99.0,12,12,0,0,0,False,100.0,8.5,8.25
0,1758214294.2617068,21.0,8,0.0925,0.039,0.0825,90.0,0.0,8.14,None,None,7.572,True,None,sfc_cache_p3_2,0,None,16,132.0,15,14,0,0,0,False,100.0,7.928571428571429,7.071428571428571
0,1758214294.2619731,21.0,8,0.0925,0.039,0.0825,90.0,0.0,13.61,None,None,8.227,True,None,sfc_unique_p3_2,0,None,16,132.0,15,14,0,0,0,False,100.0,7.928571428571429,7.071428571428571
0,1758214294.2848947,21.1,9,0.1,0.0453,0.0825,108.0,0.0,8.94,None,None,7.597,True,None,sfc_cache_p4_2,0,None,20,165.0,18,16,0,0,0,False,100.0,7.5,6.1875
0,1758214294.285134,21.1,9,0.1,0.0453,0.0825,108.0,0.0,15.19,None,None,8.315,True,None,sfc_unique_p4_2,0,None,20,165.0,18,16,0,0,0,False,100.0,7.5,6.1875
