No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow,energy_consumption
0,1758825732.0984514,0,1,0.0234,0.0083,0.0249,18.0,0.0,7.17,None,None,8.897,True,None,sfc_cache_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2057.605633802817
0,1758825732.0989127,0.0,1,0.0234,0.0083,0.0249,18.0,0.0,12.12,None,None,10.092,True,None,sfc_unique_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2057.605633802817
0,1758825732.1266644,0.0,2,0.0469,0.0174,0.0499,36.0,0.0,9.38,None,None,8.342,True,None,sfc_cache_p2_1,0,None,0,0,2,4,0,0,0,False,100.0,15.5,16.5,2079.046587215601
0,1758825732.1270463,0.0,2,0.0469,0.0174,0.0499,36.0,0.0,16.5,None,None,9.6,True,None,sfc_unique_p2_1,0,None,0,0,2,4,0,0,0,False,100.0,15.5,16.5,2079.046587215601
0,1758825732.151105,0.1,3,0.0703,0.0263,0.0748,54.0,0.0,7.38,None,None,8.097,True,None,sfc_cache_p3_1,0,None,0,0,4,6,0,0,0,False,100.0,15.5,16.5,2103.3075375328895
0,1758825732.151384,0.1,3,0.0703,0.0263,0.0748,54.0,0.0,12.23,None,None,9.476,True,None,sfc_unique_p3_1,0,None,0,0,4,6,0,0,0,False,100.0,15.5,16.5,2103.3075375328895
0,1758825732.173593,0.1,4,0.0907,0.0297,0.0748,81.0,0.0,8.1,None,None,8.001,True,None,sfc_cache_p4_1,0,None,4,33.0,6,8,0,0,0,False,100.0,15.0,12.375,2103.3075375328895
0,1758825732.1738536,0.1,4,0.0907,0.0297,0.0748,81.0,0.0,8.27,None,None,9.879,True,None,sfc_unique_p4_1,0,None,4,33.0,6,8,0,0,0,False,100.0,15.0,12.375,2103.3075375328895
0,1758825759.0935707,27.0,6,0.1142,0.036,0.0998,99.0,0.0,6.61,None,None,9.134,True,None,sfc_cache_p1_2,0,None,4,33.0,7,10,0,0,0,False,100.0,15.1,13.2,2120.9131713357065
0,1758825759.0939386,27.0,6,0.1142,0.036,0.0998,99.0,0.0,11.73,None,None,10.199,True,None,sfc_unique_p1_2,0,None,4,33.0,7,10,0,0,0,False,100.0,15.1,13.2,2120.9131713357065
0,1758825759.1247504,27.0,7,0.1376,0.0388,0.1247,126.0,0.0,6.38,None,None,8.251,True,None,sfc_cache_p2_2,0,None,4,33.0,7,12,0,0,0,False,100.0,15.166666666666666,13.75,2126.330289428881
0,1758825759.1252224,27.0,7,0.1376,0.0388,0.1247,126.0,0.0,8.27,None,None,11.658,True,None,sfc_unique_p2_2,0,None,4,33.0,7,12,0,0,0,False,100.0,15.166666666666666,13.75,2126.330289428881
0,1758825759.1535006,27.1,8,0.161,0.047,0.1497,144.0,0.0,9.39,None,None,8.545,True,None,sfc_cache_p3_2,0,None,4,33.0,8,14,0,0,0,False,100.0,15.214285714285714,14.142857142857142,2144.6757467884227
