No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1768844850.8505197,0,1,0.0189,0.0328,0.007,0.0249,0.0,3.2759,2.4947,72.0,0.0,0.0,6.03,2.75,3.28,None,0.0001404285430908203,11.313,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,9.0,6.5,16.5,0.0769,0.1213,0.04,0.0289,2067.9171180931744,18.0,2085.9171180931744
0,1768844850.8510752,0.0,1,0.0189,0.0328,0.007,0.0249,0.0,3.2759,2.4947,72.0,0.0,0.0,11.51,5.55,5.96,None,0.0001404285430908203,10.017,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,9.0,6.5,16.5,0.0769,0.1213,0.04,0.0289,2067.9171180931744,18.0,2085.9171180931744
0,1768844850.8816376,0.0,2,0.0458,0.0428,0.0104,0.0499,0.0,4.2838,4.9894,80.0,0.0,0.0,5.58,2.26,3.32,None,0.05239701271057129,13.421,True,None,sfc_cache_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,11.25,4.25,16.5,0.1417,0.1639,0.0769,0.0346,2073.334236186349,48.0,2121.334236186349
0,1768844850.883376,0.0,2,0.0458,0.0428,0.0104,0.0499,0.0,4.2838,4.9894,80.0,0.0,0.0,8.27,8.27,0,None,0.05239701271057129,13.886,True,None,sfc_unique_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,11.25,4.25,16.5,0.1417,0.1639,0.0769,0.0346,2073.334236186349,48.0,2121.334236186349
0,1768844850.91791,0.1,3,0.045,0.121,0.0206,0.0748,0.0,12.0956,7.4841,60.0,0.0,0.0,1.99,0.23,1.76,None,0.08492565155029297,13.445,True,None,sfc_cache_p3_1,0,None,0,0,0,1,6,0,0,0,False,100.0,7.5,8.0,16.5,0.1322,0.1557,0.1111,0.044,2113.439869989166,58.0,2171.439869989166
0,1768844850.9183493,0.1,3,0.045,0.121,0.0206,0.0748,0.0,12.0956,7.4841,60.0,0.0,0.0,3.13,0.31,2.82,None,0.08492565155029297,11.639,True,None,sfc_unique_p3_1,0,None,0,0,0,1,6,0,0,0,False,100.0,7.5,8.0,16.5,0.1322,0.1557,0.1111,0.044,2113.439869989166,58.0,2171.439869989166
0,1768844850.949829,0.1,4,0.0614,0.1537,0.0311,0.0998,0.0,15.3714,9.9788,63.0,0.0,0.0,6.47,2.78,3.69,None,0.11960530281066895,14.184,True,None,sfc_cache_p4_1,0,None,0,0,0,2,8,0,0,0,False,100.0,7.875,7.625,16.5,0.186,0.1942,0.1429,0.0467,2134.88082340195,76.0,2210.88082340195
0,1768844850.9502425,0.1,4,0.0614,0.1537,0.0311,0.0998,0.0,15.3714,9.9788,63.0,0.0,0.0,11.54,5.41,6.13,None,0.11960530281066895,10.051,True,None,sfc_unique_p4_1,0,None,0,0,0,2,8,0,0,0,False,100.0,7.875,7.625,16.5,0.186,0.1942,0.1429,0.0467,2134.88082340195,76.0,2210.88082340195
0,1768844850.9777029,0.1,5,0.0889,0.1537,0.0351,0.1247,0.432,15.3714,12.4735,68.5714,0.0,0.0,7.02,2.96,4.06,None,0.15147900581359863,10.766,True,None,sfc_cache_p5_1,0,None,0,0,0,3,10,0,0,0,False,100.0,9.4,6.1,16.5,0.2379,0.1942,0.1616,0.047,2137.202445441882,106.0,2243.202445441882
0,1768844850.9781106,0.1,5,0.0889,0.1537,0.0351,0.1247,0.432,15.3714,12.4735,68.5714,0.0,0.0,8.27,8.27,0,None,0.15147900581359863,11.572,True,None,sfc_unique_p5_1,0,None,0,0,0,3,10,0,0,0,False,100.0,9.4,6.1,16.5,0.2379,0.1942,0.1616,0.047,2137.202445441882,106.0,2243.202445441882
0,1768844851.0025241,0.2,6,0.1035,0.1764,0.0448,0.1247,0.432,17.6394,12.4735,69.12,0.0,0.0,6.81,3.49,3.32,None,0.179335355758667,8.592,True,None,sfc_cache_p6_1,0,None,4,0,33.0,6,12,0,0,0,False,100.0,9.333333333333334,5.833333333333333,13.75,0.2798,0.2056,0.1563,0.0455,2159.1417737192382,124.0,2283.1417737192382
0,1768844851.0029473,0.2,6,0.1035,0.1764,0.0448,0.1247,0.432,17.6394,12.4735,69.12,0.0,0.0,11.54,5.41,6.13,None,0.179335355758667,11.194,True,None,sfc_unique_p6_1,0,None,4,0,33.0,6,12,0,0,0,False,100.0,9.333333333333334,5.833333333333333,13.75,0.2798,0.2056,0.1563,0.0455,2159.1417737192382,124.0,2283.1417737192382
0,1768844870.8423717,20.0,6,0.1333,0.2238,0.0524,0.1497,0.9712,22.379,16.8267,69.5172,0.0,0.0,7.45,3.49,3.95,None,0.0005772113800048828,10.327,True,None,sfc_cache_p1_2,0,None,4,0,33.0,6,14,0,0,0,True,100.0,9.571428571428571,5.642857142857143,14.142857142857142,0.3593,0.251,0.1845,0.06,1965.894598359387,142.0,2107.8945983593867
0,1768844870.8428705,20.0,6,0.1333,0.2238,0.0524,0.1497,0.9712,22.379,16.8267,69.5172,0.0,0.0,12.83,5.41,7.41,None,0.0005772113800048828,12.49,True,None,sfc_unique_p1_2,0,None,4,0,33.0,6,14,0,0,0,True,100.0,9.571428571428571,5.642857142857143,14.142857142857142,0.3593,0.251,0.1845,0.06,1965.894598359387,142.0,2107.8945983593867
0,1768844870.8721142,20.0,7,0.1554,0.2238,0.0557,0.1497,0.9712,22.379,16.8267,72.0,0.0,0.0,9.45,2.96,6.49,None,0.03642725944519043,9.472,True,None,sfc_cache_p2_2,0,None,8,0,66.0,8,16,0,0,0,True,100.0,10.0625,4.9375,12.375,0.3941,0.251,0.178,0.0644,1965.894598359387,172.0,2137.8945983593867
