No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1761755686.1644177,0,1,0.0282,0.0101,0.0049,0.0249,0.0,1.008,2.4947,86.4,0.0,0.0,8.95,None,None,8.977,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,13.5,2.0,16.5,2045.4171180931744,30.0,2045.4171180931744
0,1761755686.1649315,0.0,1,0.0282,0.0101,0.0049,0.0249,0.0,1.008,2.4947,86.4,0.0,0.0,8.27,None,None,10.611,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,13.5,2.0,16.5,2045.4171180931744,30.0,2045.4171180931744
0,1761755686.1913745,0.0,2,0.0499,0.0328,0.0117,0.0499,0.432,3.2759,4.9894,80.0,0.0,0.0,10.29,None,None,11.77,True,None,sfc_cache_p2_1,0,None,0,0,0,1,4,0,0,0,False,100.0,12.25,3.25,16.5,2072.2028323788886,48.0,2072.2028323788886
0,1761755686.191799,0.0,2,0.0499,0.0328,0.0117,0.0499,0.432,3.2759,4.9894,80.0,0.0,0.0,17.21,None,None,10.133,True,None,sfc_unique_p2_1,0,None,0,0,0,1,4,0,0,0,False,100.0,12.25,3.25,16.5,2072.2028323788886,48.0,2072.2028323788886
0,1761755686.2133563,0.0,3,0.0665,0.0554,0.0186,0.0499,0.432,5.5438,4.9894,77.5385,0.0,0.0,9.42,None,None,8.329,True,None,sfc_cache_p3_1,0,None,4,0,33.0,4,6,0,0,0,False,100.0,11.166666666666666,3.6666666666666665,11.0,2090.7028323788886,66.0,2090.7028323788886
0,1761755686.2138896,0.0,3,0.0665,0.0554,0.0186,0.0499,0.432,5.5438,4.9894,77.5385,0.0,0.0,15.48,None,None,9.811,True,None,sfc_unique_p3_1,0,None,4,0,33.0,4,6,0,0,0,False,100.0,11.166666666666666,3.6666666666666665,11.0,2090.7028323788886,66.0,2090.7028323788886
0,1761755686.2349086,0.1,4,0.0823,0.0781,0.0255,0.0499,0.432,7.8117,4.9894,76.2353,0.0,0.0,9.42,None,None,8.261,True,None,sfc_cache_p4_1,0,None,8,0,66.0,7,8,0,0,0,False,100.0,10.625,3.875,8.25,2094.7028323788886,84.0,2094.7028323788886
0,1761755686.2353053,0.1,4,0.0823,0.0781,0.0255,0.0499,0.432,7.8117,4.9894,76.2353,0.0,0.0,15.48,None,None,9.898,True,None,sfc_unique_p4_1,0,None,8,0,66.0,7,8,0,0,0,False,100.0,10.625,3.875,8.25,2094.7028323788886,84.0,2094.7028323788886
0,1761755686.2610035,0.1,5,0.1053,0.0781,0.0282,0.0499,0.432,7.8117,4.9894,78.5455,0.0,0.0,9.45,None,None,8.457,True,None,sfc_cache_p5_1,0,None,12,0,99.0,9,10,0,0,0,False,100.0,11.2,3.1,6.6,2094.7028323788886,114.0,2094.7028323788886
0,1761755686.261421,0.1,5,0.1053,0.0781,0.0282,0.0499,0.432,7.8117,4.9894,78.5455,0.0,0.0,8.27,None,None,10.127,True,None,sfc_unique_p5_1,0,None,12,0,99.0,9,10,0,0,0,False,100.0,11.2,3.1,6.6,2094.7028323788886,114.0,2094.7028323788886
0,1761755686.285635,0.1,6,0.1194,0.1008,0.0378,0.0499,0.432,10.0796,4.9894,77.5385,0.0,0.0,9.42,None,None,8.403,True,None,sfc_cache_p6_1,0,None,16,0,132.0,11,12,0,0,0,False,100.0,10.833333333333334,3.3333333333333335,5.5,2117.2028323788886,132.0,2117.2028323788886
0,1761755686.286042,0.1,6,0.1194,0.1008,0.0378,0.0499,0.432,10.0796,4.9894,77.5385,0.0,0.0,15.21,None,None,9.302,True,None,sfc_unique_p6_1,0,None,16,0,132.0,11,12,0,0,0,False,100.0,10.833333333333334,3.3333333333333335,5.5,2117.2028323788886,132.0,2117.2028323788886
0,1761755711.1671517,25.0,6,0.121,0.1688,0.0452,0.0748,0.864,16.8834,7.4841,69.5172,0.0,0.0,3.32,None,None,12.527,True,None,sfc_cache_p1_2,0,None,16,0,132.0,12,14,0,0,0,False,100.0,9.571428571428571,4.785714285714286,7.071428571428571,2169.6761337254293,142.0,2169.6761337254293
0,1761755711.167584,25.0,6,0.121,0.1688,0.0452,0.0748,0.864,16.8834,7.4841,69.5172,0.0,0.0,4.81,None,None,11.458,True,None,sfc_unique_p1_2,0,None,16,0,132.0,12,14,0,0,0,False,100.0,9.571428571428571,4.785714285714286,7.071428571428571,2169.6761337254293,142.0,2169.6761337254293
0,1761755711.199588,25.0,7,0.1343,0.1915,0.0548,0.0748,0.864,19.1513,7.4841,69.8182,0.0,0.0,6.61,None,None,13.294,True,None,sfc_cache_p2_2,0,None,20,0,165.0,15,16,0,0,0,False,100.0,9.5,4.75,6.1875,2184.107336325646,160.0,2184.107336325646
0,1761755711.2000325,25.0,7,0.1343,0.1915,0.0548,0.0748,0.864,19.1513,7.4841,69.8182,0.0,0.0,11.45,None,None,12.496,True,None,sfc_unique_p2_2,0,None,20,0,165.0,15,16,0,0,0,False,100.0,9.5,4.75,6.1875,2184.107336325646,160.0,2184.107336325646
0,1761755711.226558,25.1,8,0.1477,0.2142,0.0643,0.0748,0.864,21.4192,7.4841,72.0,0.0,0.0,8.71,None,None,8.435,True,None,sfc_cache_p3_2,0,None,24,0,198.0,18,18,0,0,0,False,100.0,9.444444444444445,4.722222222222222,5.5,2184.107336325646,190.0,2184.107336325646
0,1761755711.2269979,25.1,8,0.1477,0.2142,0.0643,0.0748,0.864,21.4192,7.4841,72.0,0.0,0.0,15.66,None,None,10.32,True,None,sfc_unique_p3_2,0,None,24,0,198.0,18,18,0,0,0,False,100.0,9.444444444444445,4.722222222222222,5.5,2184.107336325646,190.0,2184.107336325646
0,1761755711.2555683,25.1,9,0.1604,0.2268,0.0771,0.0748,2.7723,22.6792,7.4841,66.4615,0.0,0.0,3.15,None,None,10.798,True,None,sfc_cache_p4_2,0,None,28,4.33,231.0,22,20,0,0,0,False,100.0,9.383500000000002,4.5,4.95,2194.3631016870454,200.0,2194.3631016870454
0,1761755711.2562773,25.1,9,0.1604,0.2268,0.0771,0.0748,2.7723,22.6792,7.4841,66.4615,0.0,0.0,4.92,None,None,13.477,True,None,sfc_unique_p4_2,0,None,28,4.33,231.0,22,20,0,0,0,False,100.0,9.383500000000002,4.5,4.95,2194.3631016870454,200.0,2194.3631016870454
0,1761755711.28735,25.1,10,0.1806,0.2268,0.084,0.0748,5.6882,22.6792,7.4841,61.7143,0.0,0.0,3.5,None,None,11.921,True,None,sfc_cache_p5_2,0,None,32,4.33,264.0,25,22,0,0,0,False,100.0,9.757727272727273,4.090909090909091,4.5,2212.632719393283,210.0,2212.632719393283
0,1761755711.288046,25.1,10,0.1806,0.2268,0.084,0.0748,5.6882,22.6792,7.4841,61.7143,0.0,0.0,5.44,None,None,13.14,True,None,sfc_unique_p5_2,0,None,32,4.33,264.0,25,22,0,0,0,False,100.0,9.757727272727273,4.090909090909091,4.5,2212.632719393283,210.0,2212.632719393283
0,1761755711.3142004,25.1,11,0.1992,0.2268,0.0934,0.0748,6.6601,22.6792,7.4841,62.6087,0.0,0.0,7.82,None,None,8.316,True,None,sfc_cache_p6_2,0,None,36,4.33,297.0,28,24,0,0,0,False,100.0,10.069583333333334,3.75,4.125,2222.0352886550068,228.0,2222.0352886550068
0,1761755711.314609,25.2,11,0.1992,0.2268,0.0934,0.0748,6.6601,22.6792,7.4841,62.6087,0.0,0.0,14.08,None,None,9.161,True,None,sfc_unique_p6_2,0,None,36,4.33,297.0,28,24,0,0,0,False,100.0,10.069583333333334,3.75,4.125,2222.0352886550068,228.0,2222.0352886550068
0,1761755739.173059,53.0,11,0.2158,0.2369,0.0955,0.0998,6.6601,23.6871,9.9788,64.9412,0.0,0.0,6.02,None,None,8.36,True,None,sfc_cache_p1_3,0,None,36,4.33,297.0,28,26,0,0,0,False,100.0,10.333461538461538,3.6153846153846154,5.076923076923077,2227.452406748181,258.0,2227.452406748181
0,1761755739.173479,53.0,11,0.2158,0.2369,0.0955,0.0998,6.6601,23.6871,9.9788,64.9412,0.0,0.0,8.27,None,None,9.704,True,None,sfc_unique_p1_3,0,None,36,4.33,297.0,28,26,0,0,0,False,100.0,10.333461538461538,3.6153846153846154,5.076923076923077,2227.452406748181,258.0,2227.452406748181
0,1761755739.1984622,53.0,12,0.2289,0.2596,0.1023,0.1247,7.0921,25.955,12.4735,65.4545,0.0,0.0,6.75,None,None,8.141,True,None,sfc_cache_p2_3,0,None,36,4.33,297.0,30,28,0,0,0,False,100.0,10.38107142857143,3.6785714285714284,5.892857142857143,2241.962544497756,276.0,2241.962544497756
0,1761755739.1988392,53.0,12,0.2289,0.2596,0.1023,0.1247,7.0921,25.955,12.4735,65.4545,0.0,0.0,11.68,None,None,9.088,True,None,sfc_unique_p2_3,0,None,36,4.33,297.0,30,28,0,0,0,False,100.0,10.38107142857143,3.6785714285714284,5.892857142857143,2241.962544497756,276.0,2241.962544497756
