No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1763509685.5235934,0,1,0.0324,0.0,0.0041,0.0249,0.432,0.0,2.4947,86.4,0.0,0.0,12.87,7.67,5.2,None,0.00019860267639160156,6.464,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,15.5,0.0,16.5,0.0871,1.0,0.04,0.0477,2044.2857142857142,30.0,2074.285714285714
0,1763509685.52414,0.0,1,0.0324,0.0,0.0041,0.0249,0.432,0.0,2.4947,86.4,0.0,0.0,8.27,8.27,0,None,0.00019860267639160156,5.308,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,False,100.0,15.5,0.0,16.5,0.0871,1.0,0.04,0.0477,2044.2857142857142,30.0,2074.285714285714
0,1763509685.5539932,0.0,2,0.057,0.0151,0.0132,0.0499,0.864,1.5119,4.9894,85.3333,0.0,0.0,5.77,2.52,3.25,None,0.04669785499572754,9.488,True,None,sfc_cache_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,14.0,1.5,16.5,0.1619,0.0833,0.0769,0.0699,2061.5866129532074,60.0,2121.5866129532074
0,1763509685.5547402,0.0,2,0.057,0.0151,0.0132,0.0499,0.864,1.5119,4.9894,85.3333,0.0,0.0,10.33,10.33,0,None,0.04669785499572754,9.041,True,None,sfc_unique_p2_1,0,None,0,0,0,0,4,0,0,0,False,100.0,14.0,1.5,16.5,0.1619,0.0833,0.0769,0.0699,2061.5866129532074,60.0,2121.5866129532074
0,1763509685.5810962,0.1,3,0.0739,0.0479,0.0342,0.0748,0.864,4.7878,7.4841,88.0,0.0,0.0,10.23,3.7,6.53,None,0.07750868797302246,9.501,True,None,sfc_cache_p3_1,0,None,0,0,0,0,6,0,0,0,False,100.0,12.333333333333334,3.1666666666666665,16.5,0.2162,0.1808,0.1097,0.1147,2086.52650761905,90.0,2176.52650761905
0,1763509685.5818632,0.1,3,0.0739,0.0479,0.0342,0.0748,0.864,4.7878,7.4841,88.0,0.0,0.0,16.64,7.67,8.97,None,0.07750868797302246,9.174,True,None,sfc_unique_p3_1,0,None,0,0,0,0,6,0,0,0,False,100.0,12.333333333333334,3.1666666666666665,16.5,0.2162,0.1808,0.1097,0.1147,2086.52650761905,90.0,2176.52650761905
0,1763509685.6122372,0.1,4,0.092,0.0521,0.0393,0.0748,0.864,5.2086,7.4841,81.8824,0.0,0.0,4.49,1.76,2.73,None,0.10461187362670898,9.269,True,None,sfc_cache_p4_1,0,None,4,4.33,33.0,3,8,0,0,0,False,100.0,11.875,2.58375,12.375,0.2627,0.1847,0.1058,0.1108,2090.1490672719783,108.0,2198.1490672719783
0,1763509685.6129963,0.1,4,0.092,0.0521,0.0393,0.0748,0.864,5.2086,7.4841,81.8824,0.0,0.0,8.27,8.27,0,None,0.10461187362670898,9.075,True,None,sfc_unique_p4_1,0,None,4,4.33,33.0,3,8,0,0,0,False,100.0,11.875,2.58375,12.375,0.2627,0.1847,0.1058,0.1108,2090.1490672719783,108.0,2198.1490672719783
0,1763509685.6429038,0.1,5,0.1147,0.0622,0.0513,0.0998,0.864,6.2166,9.9788,82.9091,0.0,0.0,9.64,2.37,7.27,None,0.1357104778289795,9.573,True,None,sfc_cache_p5_1,0,None,4,4.33,33.0,4,10,0,0,0,False,100.0,12.2,2.467,13.2,0.306,0.2048,0.1361,0.1268,2095.5661853651527,138.0,2233.5661853651527
0,1763509685.6436706,0.1,5,0.1147,0.0622,0.0513,0.0998,0.864,6.2166,9.9788,82.9091,0.0,0.0,8.27,8.27,0,None,0.1357104778289795,9.018,True,None,sfc_unique_p5_1,0,None,4,4.33,33.0,4,10,0,0,0,False,100.0,12.2,2.467,13.2,0.306,0.2048,0.1361,0.1268,2095.5661853651527,138.0,2233.5661853651527
0,1763509685.6712503,0.1,6,0.1286,0.0848,0.0774,0.0998,0.864,8.4845,9.9788,81.2308,0.0,0.0,9.65,2.99,6.66,None,0.16637611389160156,9.665,True,None,sfc_cache_p6_1,0,None,4,8.33,66.0,7,12,0,0,0,False,100.0,11.666666666666666,2.8058333333333336,11.0,0.3437,0.2728,0.1315,0.1352,2118.0661853651527,156.0,2274.0661853651527
0,1763509685.6720364,0.1,6,0.1286,0.0848,0.0774,0.0998,0.864,8.4845,9.9788,81.2308,0.0,0.0,14.19,5.72,8.47,None,0.16637611389160156,9.131,True,None,sfc_unique_p6_1,0,None,4,8.33,66.0,7,12,0,0,0,False,100.0,11.666666666666666,2.8058333333333336,11.0,0.3437,0.2728,0.1315,0.1352,2118.0661853651527,156.0,2274.0661853651527
0,1763509699.5202935,14.0,6,0.1286,0.1529,0.0948,0.1247,1.296,15.2883,12.4735,68.129,0.0,0.0,4.73,2.45,2.28,None,0.00019741058349609375,9.54,True,None,sfc_cache_p1_2,0,None,4,8.33,66.0,7,14,0,0,0,False,100.0,10.285714285714286,4.333571428571429,11.785714285714286,0.3322,0.3471,0.1203,0.1567,2174.3791556161596,166.0,2340.3791556161596
0,1763509699.5210931,14.0,6,0.1286,0.1529,0.0948,0.1247,1.296,15.2883,12.4735,68.129,0.0,0.0,3.39,0.42,2.98,None,0.00019741058349609375,9.123,True,None,sfc_unique_p1_2,0,None,4,8.33,66.0,7,14,0,0,0,False,100.0,10.285714285714286,4.333571428571429,11.785714285714286,0.3322,0.3471,0.1203,0.1567,2174.3791556161596,166.0,2340.3791556161596
0,1763509699.5479305,14.0,7,0.1408,0.1798,0.1056,0.1247,1.7636,17.977,12.4735,67.7647,0.0,0.0,4.76,3.54,1.22,None,0.033075571060180664,9.413,True,None,sfc_cache_p2_2,0,None,8,8.33,99.0,10,16,0,0,0,False,100.0,10.020624999999999,4.45875,10.3125,0.3701,0.391,0.1165,0.17,2200.8306647577774,184.0,2384.8306647577774
0,1763509699.548716,14.0,7,0.1408,0.1798,0.1056,0.1247,1.7636,17.977,12.4735,67.7647,0.0,0.0,11.55,7.31,4.24,None,0.033075571060180664,8.935,True,None,sfc_unique_p2_2,0,None,8,8.33,99.0,10,16,0,0,0,False,100.0,10.020624999999999,4.45875,10.3125,0.3701,0.391,0.1165,0.17,2200.8306647577774,184.0,2384.8306647577774
0,1763509699.5764601,14.1,8,0.1527,0.2016,0.122,0.1247,2.7355,20.1618,12.4735,62.9046,0.0,0.0,8.78,4.39,4.39,None,0.06065535545349121,9.01,True,None,sfc_cache_p3_2,0,None,12,8.33,132.0,12,18,0,0,0,False,100.0,9.925555555555556,4.445,9.166666666666666,0.4111,0.4738,0.113,0.1736,2228.004510434877,198.4,2426.404510434877
0,1763509699.5772376,14.1,8,0.1527,0.2016,0.122,0.1247,2.7355,20.1618,12.4735,62.9046,0.0,0.0,15.34,6.76,8.58,None,0.06065535545349121,9.07,True,None,sfc_unique_p3_2,0,None,12,8.33,132.0,12,18,0,0,0,False,100.0,9.925555555555556,4.445,9.166666666666666,0.4111,0.4738,0.113,0.1736,2228.004510434877,198.4,2426.404510434877
