No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow,energy_consumption
0,1761615819.9535685,0,1,0.0229,0.0256,0.0249,2.3435,2.4947,0.0,0.0,5.06,None,None,11.318,True,None,sfc_cache_p1_1,0,None,0,0,0,2,0,0,0,False,100.0,15.5,16.5,2103.5845491436853
0,1761615819.9542434,0.0,1,0.0229,0.0256,0.0249,2.3435,2.4947,0.0,0.0,18.19,None,None,9.993,True,None,sfc_unique_p1_1,0,None,0,0,0,2,0,0,0,False,100.0,15.5,16.5,2103.5845491436853
0,1761615819.9831781,0.0,2,0.0419,0.0282,0.0249,4.3846,2.4947,0.0,0.0,3.29,None,None,10.409,True,None,sfc_cache_p2_1,0,None,4,33.0,3,4,0,0,0,False,100.0,14.5,8.25,2153.736228450294
0,1761615819.9836693,0.0,2,0.0419,0.0282,0.0249,4.3846,2.4947,0.0,0.0,5.0,None,None,9.772,True,None,sfc_unique_p2_1,0,None,4,33.0,3,4,0,0,0,False,100.0,14.5,8.25,2153.736228450294
0,1761615819.9999933,0.0,3,0.0572,0.0387,0.0249,6.0984,2.4947,0.0,0.0,3.64,None,None,5.697,True,None,sfc_cache_p3_1,0,None,12.33,66.0,6,6,0,0,0,False,100.0,13.445,5.5,2183.4604204234247
0,1761615820.00025,0.0,3,0.0572,0.0387,0.0249,6.0984,2.4947,0.0,0.0,15.55,None,None,5.507,True,None,sfc_unique_p3_1,0,None,12.33,66.0,6,6,0,0,0,False,100.0,13.445,5.5,2183.4604204234247
0,1761615820.0153596,0.1,4,0.0723,0.0412,0.0249,7.8122,2.4947,0.0,0.0,3.27,None,None,5.665,True,None,sfc_cache_p4_1,0,None,20.66,99.0,10,8,0,0,0,False,100.0,12.9175,4.125,2193.820658776621
0,1761615820.0156136,0.1,4,0.0723,0.0412,0.0249,7.8122,2.4947,0.0,0.0,4.97,None,None,5.587,True,None,sfc_unique_p4_1,0,None,20.66,99.0,10,8,0,0,0,False,100.0,12.9175,4.125,2193.820658776621
0,1761615820.029804,0.1,5,0.089,0.063,0.0499,9.8284,4.9894,0.0,0.0,5.81,None,None,5.576,True,None,sfc_cache_p5_1,0,None,24.99,99.0,12,10,0,0,0,False,100.0,13.001,6.6,2234.677415426985
0,1761615820.0300624,0.1,5,0.089,0.063,0.0499,9.8284,4.9894,0.0,0.0,16.85,None,None,5.438,True,None,sfc_unique_p5_1,0,None,24.99,99.0,12,10,0,0,0,False,100.0,13.001,6.6,2234.677415426985
0,1761615820.0481858,0.1,6,0.105,0.072,0.0748,11.8446,7.4841,0.0,0.0,6.71,None,None,5.661,True,None,sfc_cache_p6_1,0,None,29.32,99.0,15,12,0,0,0,False,100.0,13.056666666666667,8.25,2277.945986855557
0,1761615820.0484526,0.1,6,0.105,0.072,0.0748,11.8446,7.4841,0.0,0.0,9.5,None,None,5.468,True,None,sfc_unique_p6_1,0,None,29.32,99.0,15,12,0,0,0,False,100.0,13.056666666666667,8.25,2277.945986855557
0,1761615841.9473047,22.0,6,0.1238,0.0809,0.0998,14.1881,9.9788,0.0,0.0,6.71,None,None,10.277,True,None,sfc_cache_p1_2,0,None,29.32,99.0,16,14,0,0,0,False,100.0,13.405714285714286,9.428571428571429,2299.036701141271
0,1761615841.94782,22.0,6,0.1238,0.0809,0.0998,14.1881,9.9788,0.0,0.0,9.33,None,None,9.73,True,None,sfc_unique_p1_2,0,None,29.32,99.0,16,14,0,0,0,False,100.0,13.405714285714286,9.428571428571429,2299.036701141271
0,1761615841.9742265,22.0,7,0.1413,0.1,0.1247,16.5316,12.4735,0.0,0.0,11.15,None,None,9.718,True,None,sfc_cache_p2_2,0,None,29.32,99.0,17,16,0,0,0,False,100.0,13.6675,10.3125,2353.750102403172
0,1761615841.9747007,22.0,7,0.1413,0.1,0.1247,16.5316,12.4735,0.0,0.0,9.22,None,None,9.803,True,None,sfc_unique_p2_2,0,None,29.32,99.0,17,16,0,0,0,False,100.0,13.6675,10.3125,2353.750102403172
0,1761615842.0082657,22.1,8,0.1581,0.1062,0.1497,18.8751,14.9682,0.0,0.0,5.9,None,None,10.215,True,None,sfc_cache_p3_2,0,None,29.32,99.0,18,18,0,0,0,False,100.0,13.871111111111112,11.0,2373.0350428148736
0,1761615842.008749,22.1,8,0.1581,0.1062,0.1497,18.8751,14.9682,0.0,0.0,7.77,None,None,9.732,True,None,sfc_unique_p3_2,0,None,29.32,99.0,18,18,0,0,0,False,100.0,13.871111111111112,11.0,2373.0350428148736
0,1761615842.0373936,22.1,9,0.1716,0.1113,0.1746,20.8913,17.463,0.0,0.0,5.12,None,None,10.0,True,None,sfc_cache_p4_2,0,None,33.65,99.0,20,20,0,0,0,False,100.0,13.8175,11.55,2397.6121206665994
0,1761615842.0379014,22.1,9,0.1716,0.1113,0.1746,20.8913,17.463,0.0,0.0,7.04,None,None,9.743,True,None,sfc_unique_p4_2,0,None,33.65,99.0,20,20,0,0,0,False,100.0,13.8175,11.55,2397.6121206665994
0,1761615842.0685554,22.1,10,0.1848,0.1237,0.1746,22.9324,17.463,0.0,0.0,6.21,None,None,10.084,True,None,sfc_cache_p5_2,0,None,37.65,132.0,22,22,0,0,0,False,100.0,13.788636363636364,10.5,2450.139593194072
0,1761615842.0690265,22.1,10,0.1848,0.1237,0.1746,22.9324,17.463,0.0,0.0,6.76,None,None,9.728,True,None,sfc_unique_p5_2,0,None,37.65,132.0,22,22,0,0,0,False,100.0,13.788636363636364,10.5,2450.139593194072
0,1761615842.097853,22.1,11,0.1949,0.128,0.1746,24.6462,17.463,0.0,0.0,5.0,None,None,9.824,True,None,sfc_cache_p6_2,0,None,45.98,165.0,26,24,0,0,0,False,100.0,13.584166666666667,9.625,2473.823620434437
0,1761615842.0983024,22.1,11,0.1949,0.128,0.1746,24.6462,17.463,0.0,0.0,7.77,None,None,9.673,True,None,sfc_unique_p6_2,0,None,45.98,165.0,26,24,0,0,0,False,100.0,13.584166666666667,9.625,2473.823620434437
0,1761615862.961224,43.0,11,0.2111,0.1406,0.1996,26.9897,19.9577,0.0,0.0,5.49,None,None,10.442,True,None,sfc_cache_p1_3,0,None,45.98,165.0,26,26,0,0,0,False,100.0,13.731538461538461,10.153846153846153,2493.676584371908
0,1761615862.96173,43.0,11,0.2111,0.1406,0.1996,26.9897,19.9577,0.0,0.0,9.15,None,None,9.805,True,None,sfc_unique_p1_3,0,None,45.98,165.0,26,26,0,0,0,False,100.0,13.731538461538461,10.153846153846153,2493.676584371908
0,1761615862.9929414,43.0,12,0.2269,0.152,0.2245,29.3332,22.4524,0.0,0.0,9.72,None,None,9.809,True,None,sfc_cache_p2_3,0,None,45.98,165.0,26,28,0,0,0,False,100.0,13.857857142857142,10.607142857142858,2511.473727229051
0,1761615862.9934077,43.0,12,0.2269,0.152,0.2245,29.3332,22.4524,0.0,0.0,9.28,None,None,9.686,True,None,sfc_unique_p2_3,0,None,45.98,165.0,26,28,0,0,0,False,100.0,13.857857142857142,10.607142857142858,2511.473727229051
0,1761615863.0236464,43.1,13,0.24,0.1563,0.2245,31.3744,22.4524,0.0,0.0,5.0,None,None,9.867,True,None,sfc_cache_p3_3,0,None,49.98,198.0,29,30,0,0,0,False,100.0,13.834,9.9,2511.473727229051
0,1761615863.0241144,43.1,13,0.24,0.1563,0.2245,31.3744,22.4524,0.0,0.0,7.78,None,None,9.776,True,None,sfc_unique_p3_3,0,None,49.98,198.0,29,30,0,0,0,False,100.0,13.834,9.9,2511.473727229051
0,1761615863.0561678,43.1,14,0.2527,0.1674,0.2495,33.3905,24.9471,0.0,0.0,5.44,None,None,10.009,True,None,sfc_cache_p4_3,0,None,54.31,198.0,31,32,0,0,0,False,100.0,13.8028125,10.3125,2527.1466106836247
0,1761615863.0566244,43.1,14,0.2527,0.1674,0.2495,33.3905,24.9471,0.0,0.0,7.64,None,None,9.782,True,None,sfc_unique_p4_3,0,None,54.31,198.0,31,32,0,0,0,False,100.0,13.8028125,10.3125,2527.1466106836247
0,1761615863.0883055,43.1,15,0.261,0.1772,0.2495,35.1043,24.9471,0.0,0.0,5.0,None,None,9.961,True,None,sfc_cache_p5_3,0,None,62.64,231.0,35,34,0,0,0,False,100.0,13.65764705882353,9.705882352941176,2538.8882141505796
0,1761615863.0887613,43.1,15,0.261,0.1772,0.2495,35.1043,24.9471,0.0,0.0,9.31,None,None,9.808,True,None,sfc_unique_p5_3,0,None,62.64,231.0,35,34,0,0,0,False,100.0,13.65764705882353,9.705882352941176,2538.8882141505796
0,1761615863.1196558,43.2,16,0.269,0.19,0.2495,36.8181,24.9471,0.0,0.0,5.36,None,None,9.975,True,None,sfc_cache_p6_3,0,None,70.97,264.0,38,36,0,0,0,False,100.0,13.528611111111111,9.166666666666666,2548.96878433961
0,1761615863.1201136,43.2,16,0.269,0.19,0.2495,36.8181,24.9471,0.0,0.0,14.07,None,None,9.662,True,None,sfc_unique_p6_3,0,None,70.97,264.0,38,36,0,0,0,False,100.0,13.528611111111111,9.166666666666666,2548.96878433961
0,1761615888.1700425,68.2,16,0.2589,0.1647,0.2495,35.4317,24.9471,0.0,0.0,8.47,None,None,10.375,True,None,sfc_cache_p5_1,0,None,58.31,231.0,34,34,0,0,0,False,100.0,13.785,9.705882352941176,2518.3195560229387
0,1761615888.1705484,68.2,16,0.2589,0.1647,0.2495,35.4317,24.9471,0.0,0.0,9.36,None,None,9.977,True,None,sfc_unique_p5_1,0,None,58.31,231.0,34,34,0,0,0,False,100.0,13.785,9.705882352941176,2518.3195560229387
