No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1761918779.0793068,0,1,0.0137,0.0454,0.0134,0.0249,1.4039,4.5358,2.4947,0.0,0.0,0.0,10.45,None,0.00010943412780761719,6.578,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,6.5,9.0,16.5,2085.667802912922,10.0,2095.667802912922
0,1761918779.079758,0.0,1,0.0137,0.0454,0.0134,0.0249,1.4039,4.5358,2.4947,0.0,0.0,0.0,16.83,None,0.00010943412780761719,5.251,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,6.5,9.0,16.5,2085.667802912922,10.0,2095.667802912922
0,1761918779.0937707,0.0,2,0.0395,0.0496,0.0308,0.0249,2.8435,4.9567,2.4947,27.4286,0.0,0.0,14.18,None,0.03613424301147461,5.27,True,None,sfc_cache_p2_1,0,None,4,0,33.0,3,4,0,0,0,False,100.0,9.5825,4.9175,8.25,2098.06011775643,28.0,2126.06011775643
0,1761918779.0940902,0.0,2,0.0395,0.0496,0.0308,0.0249,2.8435,4.9567,2.4947,27.4286,0.0,0.0,19.6,None,0.03613424301147461,5.289,True,None,sfc_unique_p2_1,0,None,4,0,33.0,3,4,0,0,0,False,100.0,9.5825,4.9175,8.25,2098.06011775643,28.0,2126.06011775643
0,1761918779.1102934,0.0,3,0.0653,0.0596,0.0408,0.0499,2.8435,5.9646,4.9894,52.0,0.0,0.0,14.67,None,0.05043292045593262,5.632,True,None,sfc_cache_p3_1,0,None,4,0,33.0,4,6,0,0,0,False,100.0,10.888333333333334,3.9450000000000003,11.0,2103.4772358496043,58.0,2161.4772358496043
0,1761918779.1106222,0.0,3,0.0653,0.0596,0.0408,0.0499,2.8435,5.9646,4.9894,52.0,0.0,0.0,8.27,None,0.05043292045593262,5.332,True,None,sfc_unique_p3_1,0,None,4,0,33.0,4,6,0,0,0,False,100.0,10.888333333333334,3.9450000000000003,11.0,2103.4772358496043,58.0,2161.4772358496043
0,1761918779.1259785,0.0,4,0.0905,0.0596,0.0579,0.0499,3.8155,5.9646,4.9894,60.8,0.0,0.0,14.6,None,0.0669553279876709,5.492,True,None,sfc_cache_p4_1,0,None,8,0,66.0,6,8,0,0,0,False,100.0,11.54125,2.95875,8.25,2106.7434273587464,88.0,2194.7434273587464
0,1761918779.12631,0.0,4,0.0905,0.0596,0.0579,0.0499,3.8155,5.9646,4.9894,60.8,0.0,0.0,19.43,None,0.0669553279876709,5.262,True,None,sfc_unique_p4_1,0,None,8,0,66.0,6,8,0,0,0,False,100.0,11.54125,2.95875,8.25,2106.7434273587464,88.0,2194.7434273587464
0,1761918779.1427376,0.1,5,0.1126,0.0639,0.0833,0.0499,4.7875,6.3854,4.9894,61.7516,0.0,0.0,23.85,None,0.08262348175048828,5.725,True,None,sfc_cache_p5_1,0,None,8,4,99.0,8,10,0,0,0,False,100.0,11.766,2.534,6.6,2119.285331604175,106.0,2225.285331604175
0,1761918779.143088,0.1,5,0.1126,0.0639,0.0833,0.0499,4.7875,6.3854,4.9894,61.7516,0.0,0.0,21.59,None,0.08262348175048828,5.346,True,None,sfc_unique_p5_1,0,None,8,4,99.0,8,10,0,0,0,False,100.0,11.766,2.534,6.6,2119.285331604175,106.0,2225.285331604175
0,1761918779.1589038,0.1,6,0.1344,0.0739,0.0893,0.0748,4.7875,7.3934,7.4841,66.8867,0.0,0.0,13.74,None,0.09939050674438477,5.539,True,None,sfc_cache_p6_1,0,None,8,4,99.0,9,12,0,0,0,False,100.0,12.055,2.445,8.25,2124.7024496973495,136.0,2260.7024496973495
0,1761918779.1592398,0.1,6,0.1344,0.0739,0.0893,0.0748,4.7875,7.3934,7.4841,66.8867,0.0,0.0,8.27,None,0.09939050674438477,5.432,True,None,sfc_unique_p6_1,0,None,8,4,99.0,9,12,0,0,0,False,100.0,12.055,2.445,8.25,2124.7024496973495,136.0,2260.7024496973495
0,1761918797.0744667,18.0,6,0.144,0.1193,0.1171,0.0998,5.2194,11.9292,9.9788,64.7881,0.0,0.0,11.49,None,0.0005204677581787109,5.447,True,None,sfc_cache_p1_2,0,None,8,4,99.0,9,14,0,0,0,False,100.0,11.26142857142857,3.3814285714285717,9.428571428571429,2156.039583068241,150.4,2306.439583068241
0,1761918797.074831,18.0,6,0.144,0.1193,0.1171,0.0998,5.2194,11.9292,9.9788,64.7881,0.0,0.0,26.41,None,0.0005204677581787109,5.281,True,None,sfc_unique_p1_2,0,None,8,4,99.0,9,14,0,0,0,False,100.0,11.26142857142857,3.3814285714285717,9.428571428571429,2156.039583068241,150.4,2306.439583068241
0,1761918797.0907009,18.0,7,0.1548,0.1453,0.1455,0.0998,5.6871,14.5348,9.9788,60.83,0.0,0.0,10.5,None,0.015472888946533203,5.04,True,None,sfc_cache_p2_2,0,None,12,4,132.0,10,16,0,0,0,False,100.0,10.895,3.605,8.25,2174.846524499911,164.8,2339.6465244999113
0,1761918797.0910459,18.0,7,0.1548,0.1453,0.1455,0.0998,5.6871,14.5348,9.9788,60.83,0.0,0.0,37.1,None,0.015472888946533203,5.207,True,None,sfc_unique_p2_2,0,None,12,4,132.0,10,16,0,0,0,False,100.0,10.895,3.605,8.25,2174.846524499911,164.8,2339.6465244999113
0,1761918797.1096776,18.0,8,0.1587,0.205,0.1685,0.1247,6.4787,20.4994,12.4735,55.616,0.0,0.0,14.86,None,0.0316622257232666,5.353,True,None,sfc_cache_p3_2,0,None,12,4,132.0,11,18,0,0,0,False,100.0,10.091666666666667,4.519444444444444,9.166666666666666,2237.5679933564343,174.8,2412.3679933564345
0,1761918797.1100202,18.0,8,0.1587,0.205,0.1685,0.1247,6.4787,20.4994,12.4735,55.616,0.0,0.0,16.35,None,0.0316622257232666,4.997,True,None,sfc_unique_p3_2,0,None,12,4,132.0,11,18,0,0,0,False,100.0,10.091666666666667,4.519444444444444,9.166666666666666,2237.5679933564343,174.8,2412.3679933564345
0,1761918797.1273208,18.0,9,0.1561,0.273,0.1948,0.1247,6.4787,27.3032,12.4735,51.2253,0.0,0.0,19.24,None,0.050627708435058594,5.281,True,None,sfc_cache_p4_2,0,None,16,4,165.0,12,20,0,0,0,False,100.0,9.0825,5.4174999999999995,8.25,2281.397993356434,184.8,2466.1979933564344
0,1761918797.1276555,18.0,9,0.1561,0.273,0.1948,0.1247,6.4787,27.3032,12.4735,51.2253,0.0,0.0,14.49,None,0.050627708435058594,5.091,True,None,sfc_unique_p4_2,0,None,16,4,165.0,12,20,0,0,0,False,100.0,9.0825,5.4174999999999995,8.25,2281.397993356434,184.8,2466.1979933564344
0,1761918797.1427097,18.1,10,0.1652,0.3041,0.2179,0.1247,7.415,30.4102,12.4735,48.6324,0.0,0.0,9.89,None,0.06783866882324219,5.16,True,None,sfc_cache_p5_2,0,None,20,4,198.0,14,22,0,0,0,False,100.0,8.923636363636364,5.485454545454545,7.5,2312.8522790707198,194.8,2507.65227907072
