No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762053421.9942014,0,1,0.0169,0.0378,0.0161,0.0249,1.3683,3.7799,2.4947,17.76,0.0,0.0,9.85,6.81,3.05,None,0.001222848892211914,10.839,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,8.0,7.5,16.5,2084.883792996591,10.0,2094.883792996591
0,1762053421.9949539,0.0,1,0.0169,0.0378,0.0161,0.0249,1.3683,3.7799,2.4947,17.76,0.0,0.0,18.91,12.17,6.75,None,0.001222848892211914,9.486,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,8.0,7.5,16.5,2084.883792996591,10.0,2094.883792996591
0,1762053422.018675,0.0,2,0.0441,0.0378,0.0314,0.0249,1.8359,3.7799,2.4947,52.0,0.0,0.0,12.67,7.2,5.47,None,0.065155029296875,9.53,True,None,sfc_cache_p2_1,0,None,4,0,33.0,3,4,0,0,0,False,100.0,10.75,3.75,8.25,2088.9092035946696,28.0,2116.9092035946696
0,1762053422.0193248,0.0,2,0.0441,0.0378,0.0314,0.0249,1.8359,3.7799,2.4947,52.0,0.0,0.0,16.22,8.75,7.47,None,0.065155029296875,9.707,True,None,sfc_unique_p2_1,0,None,4,0,33.0,3,4,0,0,0,False,100.0,10.75,3.75,8.25,2088.9092035946696,28.0,2116.9092035946696
0,1762053422.050348,0.1,3,0.0699,0.0479,0.047,0.0499,2.8079,4.7878,4.9894,58.6667,0.0,0.0,14.27,5.76,8.51,None,0.08948826789855957,10.109,True,None,sfc_cache_p3_1,0,None,4,0,33.0,4,6,0,0,0,False,100.0,11.666666666666666,3.1666666666666665,11.0,2102.6932259332734,46.0,2148.6932259332734
0,1762053422.050991,0.1,3,0.0699,0.0479,0.047,0.0499,2.8079,4.7878,4.9894,58.6667,0.0,0.0,17.78,11.01,6.76,None,0.08948826789855957,9.495,True,None,sfc_unique_p3_1,0,None,4,0,33.0,4,6,0,0,0,False,100.0,11.666666666666666,3.1666666666666665,11.0,2102.6932259332734,46.0,2148.6932259332734
0,1762053422.0765476,0.1,4,0.0945,0.0479,0.0626,0.0499,3.7799,4.7878,4.9894,62.0,0.0,0.0,16.25,5.76,10.49,None,0.12112784385681152,10.16,True,None,sfc_cache_p4_1,0,None,4,4,66.0,6,8,0,0,0,False,100.0,12.125,2.375,8.25,2111.060130178703,64.0,2175.060130178703
0,1762053422.0771909,0.1,4,0.0945,0.0479,0.0626,0.0499,3.7799,4.7878,4.9894,62.0,0.0,0.0,19.92,11.78,8.14,None,0.12112784385681152,9.384,True,None,sfc_unique_p4_1,0,None,4,4,66.0,6,8,0,0,0,False,100.0,12.125,2.375,8.25,2111.060130178703,64.0,2175.060130178703
0,1762053422.101385,0.1,5,0.118,0.058,0.0849,0.0748,4.7518,5.7958,7.4841,64.0,0.0,0.0,12.26,7.37,4.89,None,0.14633989334106445,8.83,True,None,sfc_cache_p5_1,0,None,4,4,66.0,7,10,0,0,0,False,100.0,12.4,2.3,9.9,2124.0849334283694,82.0,2206.0849334283694
0,1762053422.1017423,0.1,5,0.118,0.058,0.0849,0.0748,4.7518,5.7958,7.4841,64.0,0.0,0.0,18.54,11.78,6.76,None,0.14633989334106445,5.507,True,None,sfc_unique_p5_1,0,None,4,4,66.0,7,10,0,0,0,False,100.0,12.4,2.3,9.9,2124.0849334283694,82.0,2206.0849334283694
