No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1769445031.3370712,0,1,0.0374,0.0,0.0031,0.0249,3.8909,0.0,2.8993,0.0,0.0,0.0,3.94,2.14,1.8,None,0.0002315044403076172,7.923,True,None,sfc_cache_p1_1,0,None,0,0,0,0,2,0,0,0,True,100.0,15.5,0.0,16.5,0.148,1.0,0.0435,0.0445,1757.9925708094722,10.0,1767.9925708094722,0.9915034669555796,0,0,2
0,1769445031.337636,0.0,1,0.0374,0.0,0.0031,0.0249,3.8909,0.0,2.8993,0.0,0.0,0.0,6.45,3.45,2.99,None,0.0002315044403076172,8.35,True,None,sfc_unique_p1_1,0,None,0,0,0,0,2,0,0,0,True,100.0,15.5,0.0,16.5,0.148,1.0,0.0435,0.0445,1757.9925708094722,10.0,1767.9925708094722,0.9915034669555796,0,0,2
0,1769445031.356346,0.0,2,0.0629,0.0,0.0056,0.0249,6.7362,0.0,2.8993,0.0,0.0,0.0,4.13,2.14,1.99,None,0.040821075439453125,6.923,True,None,sfc_cache_p2_1,0,None,8.33,0,33.0,4,4,0,0,0,True,100.0,13.4175,0.0,8.25,0.1469,1.0,0.0417,0.0405,1771.1503637207861,20.0,1791.1503637207861,0.9837827193932828,0,0,4
0,1769445031.3566904,0.0,2,0.0629,0.0,0.0056,0.0249,6.7362,0.0,2.8993,0.0,0.0,0.0,6.2,2.89,3.32,None,0.040821075439453125,5.79,True,None,sfc_unique_p2_1,0,None,8.33,0,33.0,4,4,0,0,0,True,100.0,13.4175,0.0,8.25,0.1469,1.0,0.0417,0.0405,1771.1503637207861,20.0,1791.1503637207861,0.9837827193932828,0,0,4
0,1769445031.3778417,0.0,3,0.0876,0.0,0.0082,0.0249,9.5815,0.0,2.8993,0.0,0.0,0.0,3.98,2.14,1.83,None,0.059804677963256836,9.002,True,None,sfc_cache_p3_1,0,None,16.66,0,66.0,8,6,0,0,0,True,100.0,12.723333333333334,0.0,5.5,0.1188,1.0,0.04,0.0389,1790.0038693700667,30.0,1820.0038693700667,0.9730220657276996,0,0,6
0,1769445031.3781793,0.0,3,0.0876,0.0,0.0082,0.0249,9.5815,0.0,2.8993,0.0,0.0,0.0,5.89,2.89,3.0,None,0.059804677963256836,6.529,True,None,sfc_unique_p3_1,0,None,16.66,0,66.0,8,6,0,0,0,True,100.0,12.723333333333334,0.0,5.5,0.1188,1.0,0.04,0.0389,1790.0038693700667,30.0,1820.0038693700667,0.9730220657276996,0,0,6
0,1769445031.399164,0.1,4,0.1112,0.0,0.0107,0.0249,12.4269,0.0,2.8993,0.0,0.0,0.0,3.76,2.14,1.62,None,0.08127760887145996,6.91,True,None,sfc_cache_p4_1,0,None,24.99,0,99.0,12,8,0,0,0,True,100.0,12.37625,0.0,4.125,0.1001,1.0,0.0385,0.0381,1813.6878966104318,40.0,1853.6878966104318,0.9615014355362949,0,7,1
0,1769445031.3995273,0.1,4,0.1112,0.0,0.0107,0.0249,12.4269,0.0,2.8993,0.0,0.0,0.0,5.46,2.89,2.58,None,0.08127760887145996,5.862,True,None,sfc_unique_p4_1,0,None,24.99,0,99.0,12,8,0,0,0,True,100.0,12.37625,0.0,4.125,0.1001,1.0,0.0385,0.0381,1813.6878966104318,40.0,1853.6878966104318,0.9615014355362949,0,7,1
0,1769445031.4171555,0.1,5,0.1329,0.0,0.0132,0.0249,15.2722,0.0,2.8993,0.0,0.0,0.0,4.26,2.14,2.12,None,0.10261869430541992,6.67,True,None,sfc_cache_p5_1,0,None,33.32,0,132.0,16,10,0,0,0,True,100.0,12.168000000000001,0.0,3.3,0.0875,1.0,0.037,0.0376,1822.1885157096426,50.0,1872.1885157096426,0.9496768147345612,0,9,1
0,1769445031.4175496,0.1,5,0.1329,0.0,0.0132,0.0249,15.2722,0.0,2.8993,0.0,0.0,0.0,6.45,2.89,3.57,None,0.10261869430541992,5.926,True,None,sfc_unique_p5_1,0,None,33.32,0,132.0,16,10,0,0,0,True,100.0,12.168000000000001,0.0,3.3,0.0875,1.0,0.037,0.0376,1822.1885157096426,50.0,1872.1885157096426,0.9496768147345612,0,9,1
