No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1763514023.5606935,0,1,0.0324,0.0,0.0025,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,4.02,2.48,1.54,None,0.00030803680419921875,6.974,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,0.0769,1.0,0.04,0.0356,2057.9925708094725,10.0,2067.9925708094725
0,1763514023.5613766,0.0,1,0.0324,0.0,0.0025,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,5.93,3.34,2.59,None,0.00030803680419921875,5.519,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,0.0769,1.0,0.04,0.0356,2057.9925708094725,10.0,2067.9925708094725
0,1763514023.5940096,0.0,2,0.0543,0.0,0.0059,0.0249,5.7961,0.0,2.4947,0.0,0.0,0.0,4.11,2.48,1.63,None,0.033449411392211914,9.872,True,None,sfc_cache_p2_1,0,None,8.33,0,33.0,4,4,0,0,0,False,100.0,13.4175,0.0,8.25,0.148,1.0,0.0385,0.0431,2071.150363720786,20.0,2091.150363720786
0,1763514023.5947726,0.0,2,0.0543,0.0,0.0059,0.0249,5.7961,0.0,2.4947,0.0,0.0,0.0,6.45,3.51,2.94,None,0.033449411392211914,9.536,True,None,sfc_unique_p2_1,0,None,8.33,0,33.0,4,4,0,0,0,False,100.0,13.4175,0.0,8.25,0.148,1.0,0.0385,0.0431,2071.150363720786,20.0,2091.150363720786
0,1763514023.6219783,0.1,3,0.0758,0.0,0.0084,0.0249,8.2444,0.0,2.4947,0.0,0.0,0.0,4.14,2.48,1.66,None,0.06698155403137207,9.709,True,None,sfc_cache_p3_1,0,None,16.66,0,66.0,8,6,0,0,0,False,100.0,12.723333333333334,0.0,5.5,0.1447,1.0,0.037,0.0414,2084.3081566321002,30.0,2114.3081566321002
0,1763514023.6227279,0.1,3,0.0758,0.0,0.0084,0.0249,8.2444,0.0,2.4947,0.0,0.0,0.0,6.51,3.51,3.01,None,0.06698155403137207,9.516,True,None,sfc_unique_p3_1,0,None,16.66,0,66.0,8,6,0,0,0,False,100.0,12.723333333333334,0.0,5.5,0.1447,1.0,0.037,0.0414,2084.3081566321002,30.0,2114.3081566321002
0,1763514023.652602,0.1,4,0.1046,0.0,0.0101,0.0499,11.5923,0.0,4.9894,0.0,0.0,0.0,4.19,2.61,1.59,None,0.09491896629333496,9.893,True,None,sfc_cache_p4_1,0,None,16.66,0,66.0,9,8,0,0,0,False,100.0,13.4175,0.0,8.25,0.1869,1.0,0.0714,0.0378,2102.3007274415722,40.0,2142.3007274415722
0,1763514023.6533635,0.1,4,0.1046,0.0,0.0101,0.0499,11.5923,0.0,4.9894,0.0,0.0,0.0,6.27,3.51,2.76,None,0.09491896629333496,9.453,True,None,sfc_unique_p4_1,0,None,16.66,0,66.0,9,8,0,0,0,False,100.0,13.4175,0.0,8.25,0.1869,1.0,0.0714,0.0378,2102.3007274415722,40.0,2142.3007274415722
0,1763514023.6834044,0.1,5,0.1324,0.0,0.0134,0.0748,14.9402,0.0,7.4841,0.0,0.0,0.0,4.72,2.6,2.12,None,0.12552475929260254,9.884,True,None,sfc_cache_p5_1,0,None,16.66,0,66.0,11,10,0,0,0,False,100.0,13.834,0.0,9.9,0.1703,1.0,0.1034,0.0398,2128.583036681628,50.0,2178.583036681628
0,1763514023.684184,0.1,5,0.1324,0.0,0.0134,0.0748,14.9402,0.0,7.4841,0.0,0.0,0.0,6.86,3.47,3.39,None,0.12552475929260254,9.44,True,None,sfc_unique_p5_1,0,None,16.66,0,66.0,11,10,0,0,0,False,100.0,13.834,0.0,9.9,0.1703,1.0,0.1034,0.0398,2128.583036681628,50.0,2178.583036681628
