No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,reuse_cpu_rate,reuse_cache_rate
0,1755094694.3082917,0,1,0.0217,0.0093,0.0275,5.0,0.0,10.7,None,None,395.873,True,None,sfc_cache_p1_1,0,None,0,0,1,0,0,0,0,False,100.0,0.0,0.0
0,1755094694.3085878,0.0,1,0.0217,0.0093,0.0275,5.0,0.0,18.72,None,None,6.308,True,None,sfc_unique_p1_1,0,None,0,0,1,0,0,0,0,False,100.0,0.0,0.0
0,1755094694.3312378,0.0,2,0.0392,0.0194,0.0275,6.67,0.0,10.78,None,None,10.176,True,None,sfc_cache_p2_1,0,None,8.33,33.0,5,0,0,0,0,False,100.0,13.435483870967744,50.0
0,1755094694.3314567,0.0,2,0.0392,0.0194,0.0275,6.67,0.0,13.48,None,None,6.532,True,None,sfc_unique_p2_1,0,None,8.33,33.0,5,0,0,0,0,False,100.0,13.435483870967744,50.0
0,1755094694.3502407,0.0,3,0.0567,0.0287,0.0275,8.34,0.0,10.82,None,None,8.778,True,None,sfc_cache_p3_1,0,None,16.66,66.0,9,0,0,0,0,False,100.0,17.913978494623656,66.66666666666666
0,1755094694.3504481,0.0,3,0.0567,0.0287,0.0275,8.34,0.0,11.44,None,None,6.118,True,None,sfc_unique_p3_1,0,None,16.66,66.0,9,0,0,0,0,False,100.0,17.913978494623656,66.66666666666666
0,1755094694.3706982,0.1,4,0.0714,0.0381,0.0275,13.34,0.0,10.47,None,None,8.959,True,None,sfc_cache_p4_1,0,None,24.99,99.0,13,0,0,0,0,False,100.0,20.153225806451612,75.0
0,1755094694.370912,0.1,4,0.0714,0.0381,0.0275,13.34,0.0,17.41,None,None,6.171,True,None,sfc_unique_p4_1,0,None,24.99,99.0,13,0,0,0,0,False,100.0,20.153225806451612,75.0
0,1755094703.9145727,9.6,6,0.0931,0.0471,0.055,18.34,0.0,9.44,None,None,9.447,True,None,sfc_cache_p1_2,0,None,24.99,99.0,14,0,0,0,0,False,100.0,16.12258064516129,60.0
0,1755094703.9147975,9.6,6,0.0931,0.0471,0.055,18.34,0.0,13.88,None,None,6.141,True,None,sfc_unique_p1_2,0,None,24.99,99.0,14,0,0,0,0,False,100.0,16.12258064516129,60.0
0,1755094703.933408,9.6,7,0.1139,0.0569,0.0825,24.34,0.0,9.99,None,None,9.017,True,None,sfc_cache_p2_2,0,None,24.99,99.0,16,0,0,0,0,False,100.0,13.43548387096774,50.0
0,1755094703.9336257,9.6,7,0.1139,0.0569,0.0825,24.34,0.0,10.83,None,None,6.03,True,None,sfc_unique_p2_2,0,None,24.99,99.0,16,0,0,0,0,False,100.0,13.43548387096774,50.0
0,1755094703.9515593,9.6,8,0.1347,0.0631,0.11,30.34,0.0,11.06,None,None,9.15,True,None,sfc_cache_p3_2,0,None,24.99,99.0,17,0,0,0,0,False,100.0,11.516129032258064,42.857142857142854
0,1755094703.9517667,9.6,8,0.1347,0.0631,0.11,30.34,0.0,10.05,None,None,5.991,True,None,sfc_unique_p3_2,0,None,24.99,99.0,17,0,0,0,0,False,100.0,11.516129032258064,42.857142857142854
0,1755094703.9732347,9.7,9,0.1522,0.0728,0.11,36.34,0.0,10.03,None,None,10.429,True,None,sfc_cache_p4_2,0,None,28.99,132.0,20,0,0,0,0,False,100.0,11.689516129032256,50.0
0,1755094703.9734452,9.7,9,0.1522,0.0728,0.11,36.34,0.0,9.82,None,None,5.972,True,None,sfc_unique_p4_2,0,None,28.99,132.0,20,0,0,0,0,False,100.0,11.689516129032256,50.0
0,1755094718.9319167,24.6,11,0.1731,0.0796,0.1375,42.34,0.0,8.91,None,None,15.244,True,None,sfc_cache_p1_3,0,None,28.99,132.0,21,0,0,0,0,False,100.0,10.390681003584229,44.44444444444444
0,1755094718.932147,24.6,11,0.1731,0.0796,0.1375,42.34,0.0,11.25,None,None,6.14,True,None,sfc_unique_p1_3,0,None,28.99,132.0,21,0,0,0,0,False,100.0,10.390681003584229,44.44444444444444
0,1755094718.955407,24.6,12,0.1878,0.09,0.1375,51.67,0.0,9.09,None,None,13.861,True,None,sfc_cache_p2_3,0,None,32.99,165.0,24,0,0,0,0,False,100.0,10.641935483870968,50.0
0,1755094718.955609,24.6,12,0.1878,0.09,0.1375,51.67,0.0,14.4,None,None,6.074,True,None,sfc_unique_p2_3,0,None,32.99,165.0,24,0,0,0,0,False,100.0,10.641935483870968,50.0
0,1755094718.9744425,24.7,13,0.2025,0.1004,0.1375,61.0,0.0,10.22,None,None,8.959,True,None,sfc_cache_p3_3,0,None,36.99,198.0,27,0,0,0,0,False,100.0,10.8475073313783,54.54545454545454
0,1755094718.9746428,24.7,13,0.2025,0.1004,0.1375,61.0,0.0,16.67,None,None,6.156,True,None,sfc_unique_p3_3,0,None,36.99,198.0,27,0,0,0,0,False,100.0,10.8475073313783,54.54545454545454
0,1755094719.0005445,24.7,14,0.2172,0.1089,0.1375,70.33,0.0,9.11,None,None,13.706,True,None,sfc_cache_p4_3,0,None,40.99,231.0,30,0,0,0,0,False,100.0,11.018817204301076,58.333333333333336
0,1755094719.000756,24.7,14,0.2172,0.1089,0.1375,70.33,0.0,15.04,None,None,6.566,True,None,sfc_unique_p4_3,0,None,40.99,231.0,30,0,0,0,0,False,100.0,11.018817204301076,58.333333333333336
0,1755094737.9428027,43.6,16,0.2353,0.1175,0.165,79.66,0.0,11.97,None,None,9.813,True,None,sfc_cache_p1_4,0,None,40.99,231.0,31,0,0,0,0,False,100.0,10.1712158808933,53.84615384615385
0,1755094737.9430225,43.6,16,0.2353,0.1175,0.165,79.66,0.0,17.41,None,None,6.15,True,None,sfc_unique_p1_4,0,None,40.99,231.0,31,0,0,0,0,False,100.0,10.1712158808933,53.84615384615385
0,1755094737.962639,43.7,17,0.2533,0.1292,0.1925,88.99,0.0,11.62,None,None,8.988,True,None,sfc_cache_p2_4,0,None,40.99,231.0,32,0,0,0,0,False,100.0,9.444700460829493,50.0
0,1755094737.962865,43.7,17,0.2533,0.1292,0.1925,88.99,0.0,16.98,None,None,6.187,True,None,sfc_unique_p2_4,0,None,40.99,231.0,32,0,0,0,0,False,100.0,9.444700460829493,50.0
0,1755094737.98332,43.7,18,0.2681,0.1412,0.1925,98.32,0.0,13.76,None,None,9.297,True,None,sfc_cache_p3_4,0,None,44.99,264.0,35,0,0,0,0,False,100.0,9.675268817204302,53.333333333333336
0,1755094737.9835377,43.7,18,0.2681,0.1412,0.1925,98.32,0.0,21.71,None,None,6.224,True,None,sfc_unique_p3_4,0,None,44.99,264.0,35,0,0,0,0,False,100.0,9.675268817204302,53.333333333333336
0,1755094738.0036042,43.7,19,0.2861,0.1538,0.22,107.65,0.0,12.24,None,None,9.029,True,None,sfc_cache_p4_4,0,None,44.99,264.0,37,0,0,0,0,False,100.0,9.070564516129034,50.0
0,1755094738.0038195,43.7,19,0.2861,0.1538,0.22,107.65,0.0,18.59,None,None,6.193,True,None,sfc_unique_p4_4,0,None,44.99,264.0,37,0,0,0,0,False,100.0,9.070564516129034,50.0
0,1755094753.5268838,59.2,19,0.2831,0.1526,0.2475,115.32,0.0,10.46,None,None,9.823,True,None,sfc_cache_p4_2,0,None,40.99,231.0,36,0,0,0,0,False,100.0,8.264112903225806,43.75
