No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,reuse_cpu_rate,reuse_cache_rate
0,1757086272.5430698,0,1,0.0129,0.0222,0.0138,0.0,0.0,8.34,None,None,405.403,True,None,sfc_cache_p1_1,0,None,0,0,1,0,0,0,0,False,100.0,0.0,0.0
0,1757086272.543463,0.0,1,0.0129,0.0222,0.0138,0.0,0.0,13.74,None,None,4.678,True,None,sfc_unique_p1_1,0,None,0,0,1,0,0,0,0,False,100.0,0.0,0.0
0,1757086272.5657737,0.0,2,0.0242,0.0364,0.0138,0.0,0.0,7.06,None,None,10.783,True,None,sfc_cache_p2_1,0,None,4,33.0,4,0,0,0,0,False,100.0,6.451612903225806,50.0
0,1757086272.5660765,0.0,2,0.0242,0.0364,0.0138,0.0,0.0,11.53,None,None,6.309,True,None,sfc_unique_p2_1,0,None,4,33.0,4,0,0,0,0,False,100.0,6.451612903225806,50.0
0,1757086272.5882914,0.0,3,0.0336,0.0614,0.0138,0.0,0.0,7.54,None,None,10.657,True,None,sfc_cache_p3_1,0,None,12.33,66.0,8,0,0,0,0,False,100.0,13.258064516129032,66.66666666666666
0,1757086272.5886312,0.0,3,0.0336,0.0614,0.0138,0.0,0.0,13.31,None,None,6.1,True,None,sfc_unique_p3_1,0,None,12.33,66.0,8,0,0,0,0,False,100.0,13.258064516129032,66.66666666666666
0,1757086272.618301,0.1,4,0.0449,0.0864,0.0138,0.0,0.0,8.18,None,None,10.575,True,None,sfc_cache_p4_1,0,None,16.33,99.0,11,0,0,0,0,False,100.0,13.169354838709676,75.0
0,1757086272.6186528,0.1,4,0.0449,0.0864,0.0138,0.0,0.0,11.77,None,None,6.132,True,None,sfc_unique_p4_1,0,None,16.33,99.0,11,0,0,0,0,False,100.0,13.169354838709676,75.0
0,1757086288.1475353,15.6,6,0.0578,0.1054,0.0275,0.0,0.0,9.04,None,None,10.791,True,None,sfc_cache_p1_2,0,None,16.33,99.0,12,0,0,0,0,False,100.0,10.53548387096774,60.0
0,1757086288.147892,15.6,6,0.0578,0.1054,0.0275,0.0,0.0,13.35,None,None,6.252,True,None,sfc_unique_p1_2,0,None,16.33,99.0,12,0,0,0,0,False,100.0,10.53548387096774,60.0
0,1757086288.170355,15.6,7,0.0707,0.1238,0.0413,0.0,0.0,9.56,None,None,10.997,True,None,sfc_cache_p2_2,0,None,16.33,99.0,14,0,0,0,0,False,100.0,8.779569892473118,50.0
0,1757086288.1706839,15.6,7,0.0707,0.1238,0.0413,0.0,0.0,11.45,None,None,6.431,True,None,sfc_unique_p2_2,0,None,16.33,99.0,14,0,0,0,0,False,100.0,8.779569892473118,50.0
0,1757086288.1941998,15.7,8,0.0818,0.1394,0.055,0.0,0.0,8.66,None,None,10.807,True,None,sfc_cache_p3_2,0,None,20.66,99.0,17,0,0,0,0,False,100.0,9.52073732718894,42.857142857142854
0,1757086288.1944964,15.7,8,0.0818,0.1394,0.055,0.0,0.0,11.56,None,None,6.185,True,None,sfc_unique_p3_2,0,None,20.66,99.0,17,0,0,0,0,False,100.0,9.52073732718894,42.857142857142854
0,1757086288.2165396,15.7,9,0.0913,0.1576,0.055,0.0,0.0,7.29,None,None,10.283,True,None,sfc_cache_p4_2,0,None,28.99,132.0,21,0,0,0,0,False,100.0,11.689516129032256,50.0
0,1757086288.2168617,15.7,9,0.0913,0.1576,0.055,0.0,0.0,10.15,None,None,6.445,True,None,sfc_unique_p4_2,0,None,28.99,132.0,21,0,0,0,0,False,100.0,11.689516129032256,50.0
0,1757086309.1740465,36.6,11,0.1042,0.1699,0.0688,0.0,0.0,6.59,None,None,10.853,True,None,sfc_cache_p1_3,0,None,28.99,132.0,21,0,0,0,0,False,100.0,10.390681003584229,44.44444444444444
0,1757086309.1744251,36.6,11,0.1042,0.1699,0.0688,0.0,0.0,10.06,None,None,6.262,True,None,sfc_unique_p1_3,0,None,28.99,132.0,21,0,0,0,0,False,100.0,10.390681003584229,44.44444444444444
0,1757086309.2017984,36.7,12,0.1171,0.1885,0.0825,0.0,0.0,10.43,None,None,10.324,True,None,sfc_cache_p2_3,0,None,28.99,132.0,22,0,0,0,0,False,100.0,9.351612903225806,40.0
0,1757086309.202094,36.7,12,0.1171,0.1885,0.0825,0.0,0.0,10.28,None,None,6.041,True,None,sfc_unique_p2_3,0,None,28.99,132.0,22,0,0,0,0,False,100.0,9.351612903225806,40.0
0,1757086309.2267177,36.7,13,0.1265,0.2108,0.0825,0.0,0.0,10.46,None,None,10.183,True,None,sfc_cache_p3_3,0,None,37.32,165.0,26,0,0,0,0,False,100.0,10.944281524926687,45.45454545454545
0,1757086309.227022,36.7,13,0.1265,0.2108,0.0825,0.0,0.0,9.63,None,None,6.081,True,None,sfc_unique_p3_3,0,None,37.32,165.0,26,0,0,0,0,False,100.0,10.944281524926687,45.45454545454545
0,1757086309.255842,36.7,14,0.136,0.233,0.0825,0.0,0.0,10.54,None,None,11.586,True,None,sfc_cache_p4_3,0,None,45.65,198.0,30,0,0,0,0,False,100.0,12.271505376344086,50.0
0,1757086309.2561865,36.7,14,0.136,0.233,0.0825,0.0,0.0,9.79,None,None,5.992,True,None,sfc_unique_p4_3,0,None,45.65,198.0,30,0,0,0,0,False,100.0,12.271505376344086,50.0
0,1757086321.1985939,48.7,16,0.1489,0.2481,0.0963,0.0,0.0,7.53,None,None,10.093,True,None,sfc_cache_p1_4,0,None,45.65,198.0,31,0,0,0,0,False,100.0,11.327543424317618,46.15384615384615
0,1757086321.1989083,48.7,16,0.1489,0.2481,0.0963,0.0,0.0,10.42,None,None,5.359,True,None,sfc_unique_p1_4,0,None,45.65,198.0,31,0,0,0,0,False,100.0,11.327543424317618,46.15384615384615
0,1757086321.2201169,48.7,17,0.16,0.2657,0.11,0.0,0.0,7.96,None,None,9.137,True,None,sfc_cache_p2_4,0,None,49.98,198.0,34,0,0,0,0,False,100.0,11.516129032258064,42.857142857142854
0,1757086321.2203932,48.7,17,0.16,0.2657,0.11,0.0,0.0,10.95,None,None,5.076,True,None,sfc_unique_p2_4,0,None,49.98,198.0,34,0,0,0,0,False,100.0,11.516129032258064,42.857142857142854
0,1757086321.247716,48.7,18,0.1711,0.2824,0.1237,0.0,0.0,9.06,None,None,9.966,True,None,sfc_cache_p3_4,0,None,54.31,198.0,37,0,0,0,0,False,100.0,11.679569892473118,40.0
0,1757086321.248009,48.7,18,0.1711,0.2824,0.1237,0.0,0.0,11.53,None,None,5.665,True,None,sfc_unique_p3_4,0,None,54.31,198.0,37,0,0,0,0,False,100.0,11.679569892473118,40.0
0,1757086321.2722268,48.7,19,0.1822,0.2967,0.1375,0.0,0.0,8.71,None,None,9.31,True,None,sfc_cache_p4_4,0,None,58.64,198.0,40,0,0,0,0,False,100.0,11.82258064516129,37.5
0,1757086321.2726216,48.7,19,0.1822,0.2967,0.1375,0.0,0.0,10.33,None,None,6.157,True,None,sfc_unique_p4_4,0,None,58.64,198.0,40,0,0,0,0,False,100.0,11.82258064516129,37.5
0,1757086340.223153,67.7,21,0.1952,0.3134,0.1512,0.0,0.0,7.37,None,None,9.63,True,None,sfc_cache_p1_5,0,None,58.64,198.0,41,0,0,0,0,False,100.0,11.127134724857685,35.294117647058826
0,1757086340.223532,67.7,21,0.1952,0.3134,0.1512,0.0,0.0,12.0,None,None,5.809,True,None,sfc_unique_p1_5,0,None,58.64,198.0,41,0,0,0,0,False,100.0,11.127134724857685,35.294117647058826
0,1757086340.254767,67.7,22,0.2064,0.3283,0.1512,0.0,0.0,7.92,None,None,11.993,True,None,sfc_cache_p2_5,0,None,62.64,231.0,44,0,0,0,0,False,100.0,11.225806451612904,38.88888888888889
0,1757086340.2551467,67.7,22,0.2064,0.3283,0.1512,0.0,0.0,12.46,None,None,7.1,True,None,sfc_unique_p2_5,0,None,62.64,231.0,44,0,0,0,0,False,100.0,11.225806451612904,38.88888888888889
0,1757086340.2984078,67.8,23,0.2158,0.3432,0.1512,0.0,0.0,8.06,None,None,13.507,True,None,sfc_cache_p3_5,0,None,70.97,264.0,48,0,0,0,0,False,100.0,12.049235993208828,42.10526315789473
0,1757086340.298792,67.8,23,0.2158,0.3432,0.1512,0.0,0.0,12.74,None,None,7.215,True,None,sfc_unique_p3_5,0,None,70.97,264.0,48,0,0,0,0,False,100.0,12.049235993208828,42.10526315789473
0,1757086340.3273654,67.8,24,0.2253,0.3558,0.1512,0.0,0.0,8.05,None,None,10.721,True,None,sfc_cache_p4_5,0,None,79.3,297.0,52,0,0,0,0,False,100.0,12.79032258064516,45.0
0,1757086340.327675,67.8,24,0.2253,0.3558,0.1512,0.0,0.0,12.28,None,None,6.282,True,None,sfc_unique_p4_5,0,None,79.3,297.0,52,0,0,0,0,False,100.0,12.79032258064516,45.0
0,1757086343.6794033,71.1,24,0.2063,0.2964,0.165,0.0,0.0,8.9,None,None,10.788,True,None,sfc_cache_p4_1,0,None,62.97,198.0,43,0,0,0,0,False,100.0,11.28494623655914,33.33333333333333
0,1757086343.6797469,71.1,24,0.2063,0.2964,0.165,0.0,0.0,12.76,None,None,6.087,True,None,sfc_unique_p4_1,0,None,62.97,198.0,43,0,0,0,0,False,100.0,11.28494623655914,33.33333333333333
0,1757086343.703926,71.2,24,0.2192,0.3136,0.1787,0.0,0.0,10.44,None,None,10.311,True,None,sfc_cache_p3_1,0,None,62.97,198.0,44,0,0,0,0,False,100.0,10.691001697792869,31.57894736842105
0,1757086343.7042303,71.2,24,0.2192,0.3136,0.1787,0.0,0.0,13.15,None,None,6.097,True,None,sfc_unique_p3_1,0,None,62.97,198.0,44,0,0,0,0,False,100.0,10.691001697792869,31.57894736842105
0,1757086343.728804,71.2,24,0.2321,0.3221,0.1925,0.0,0.0,9.01,None,None,10.034,True,None,sfc_cache_p1_1,0,None,62.97,198.0,46,0,0,0,0,False,100.0,10.156451612903226,30.0
0,1757086343.7291229,71.2,24,0.2321,0.3221,0.1925,0.0,0.0,15.59,None,None,5.98,True,None,sfc_unique_p1_1,0,None,62.97,198.0,46,0,0,0,0,False,100.0,10.156451612903226,30.0
0,1757086358.6844547,86.1,24,0.2356,0.3219,0.2062,0.0,0.0,10.0,None,None,10.026,True,None,sfc_cache_p4_2,0,None,54.64,165.0,44,0,0,0,0,False,100.0,8.812903225806451,25.0
0,1757086358.6847548,86.1,24,0.2356,0.3219,0.2062,0.0,0.0,12.69,None,None,5.024,True,None,sfc_unique_p4_2,0,None,54.64,165.0,44,0,0,0,0,False,100.0,8.812903225806451,25.0
0,1757086359.2420802,86.7,26,0.2485,0.3519,0.22,0.0,0.0,10.49,None,None,9.311,True,None,sfc_cache_p1_6,0,None,54.64,165.0,45,0,0,0,0,False,100.0,8.393241167434716,23.809523809523807
0,1757086359.2423928,86.7,26,0.2485,0.3519,0.22,0.0,0.0,12.84,None,None,5.741,True,None,sfc_unique_p1_6,0,None,54.64,165.0,45,0,0,0,0,False,100.0,8.393241167434716,23.809523809523807
0,1757086359.2693646,86.7,27,0.2596,0.372,0.2338,0.0,0.0,11.13,None,None,10.07,True,None,sfc_cache_p2_6,0,None,58.97,165.0,48,0,0,0,0,False,100.0,8.646627565982405,22.727272727272727
