No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow
0,1758215553.6284885,0,1,0.0258,0.0352,0.0275,0.0,0.0,10.94,None,None,810.723,True,None,sfc_cache_p1_1,0,None,0,0,0,2,0,0,0,False,100.0,15.5,16.5
0,1758215553.6293025,0.0,1,0.0258,0.0352,0.0275,0.0,0.0,14.56,None,None,9.264,True,None,sfc_unique_p1_1,0,None,0,0,0,2,0,0,0,False,100.0,15.5,16.5
0,1758215553.6638753,0.0,2,0.0447,0.0598,0.0275,0.0,0.0,8.49,None,None,14.342,True,None,sfc_cache_p2_1,0,None,8.33,33.0,3,4,0,0,0,False,100.0,13.4175,8.25
0,1758215553.664165,0.0,2,0.0447,0.0598,0.0275,0.0,0.0,14.46,None,None,9.323,True,None,sfc_unique_p2_1,0,None,8.33,33.0,3,4,0,0,0,False,100.0,13.4175,8.25
0,1758215553.6953127,0.1,3,0.0672,0.0691,0.0275,0.0,0.0,7.96,None,None,14.618,True,None,sfc_cache_p3_1,0,None,12.33,66.0,6,6,0,0,0,False,100.0,13.445,5.5
0,1758215553.6956012,0.1,3,0.0672,0.0691,0.0275,0.0,0.0,12.34,None,None,10.03,True,None,sfc_unique_p3_1,0,None,12.33,66.0,6,6,0,0,0,False,100.0,13.445,5.5
0,1758215553.72337,0.1,4,0.0861,0.0779,0.0275,0.0,0.0,8.09,None,None,13.391,True,None,sfc_cache_p4_1,0,None,20.66,99.0,10,8,0,0,0,False,100.0,12.9175,4.125
0,1758215553.7238266,0.1,4,0.0861,0.0779,0.0275,0.0,0.0,11.44,None,None,10.059,True,None,sfc_unique_p4_1,0,None,20.66,99.0,10,8,0,0,0,False,100.0,12.9175,4.125
0,1758215570.8349032,17.2,6,0.112,0.09,0.055,0.0,0.0,8.37,None,None,14.105,True,None,sfc_cache_p1_2,0,None,20.66,99.0,11,10,0,0,0,False,100.0,13.434000000000001,6.6
0,1758215570.8351948,17.2,6,0.112,0.09,0.055,0.0,0.0,12.99,None,None,9.544,True,None,sfc_unique_p1_2,0,None,20.66,99.0,11,10,0,0,0,False,100.0,13.434000000000001,6.6
