No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow,energy_consumption
0,1759174234.1106544,0,1,0.0234,0.0131,0.0249,6.0,0.0,8.02,None,None,6.764,True,None,sfc_cache_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2070.7614920290976
0,1759174234.1110277,0.0,1,0.0234,0.0131,0.0249,6.0,0.0,7.28,None,None,5.575,True,None,sfc_unique_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2070.7614920290976
0,1759174234.1280842,0.0,2,0.0469,0.0241,0.0499,12.0,0.0,8.86,None,None,5.675,True,None,sfc_cache_p2_1,0,None,0,0,3,4,0,0,0,False,100.0,15.5,16.5,2087.8486302429965
0,1759174234.128351,0.0,2,0.0469,0.0241,0.0499,12.0,0.0,8.54,None,None,5.461,True,None,sfc_unique_p2_1,0,None,0,0,3,4,0,0,0,False,100.0,15.5,16.5,2087.8486302429965
0,1759174234.1465373,0.0,3,0.0673,0.0304,0.0499,18.0,0.0,7.73,None,None,5.643,True,None,sfc_cache_p3_1,0,None,4,33.0,6,6,0,0,0,False,100.0,14.833333333333334,11.0,2133.9185110663984
0,1759174234.1467955,0.0,3,0.0673,0.0304,0.0499,18.0,0.0,5.35,None,None,5.323,True,None,sfc_unique_p3_1,0,None,4,33.0,6,6,0,0,0,False,100.0,14.833333333333334,11.0,2133.9185110663984
0,1759174234.1632972,0.1,4,0.0877,0.0395,0.0499,24.0,0.0,7.97,None,None,5.627,True,None,sfc_cache_p4_1,0,None,8,66.0,9,8,0,0,0,False,100.0,14.5,8.25,2155.3935149357685
0,1759174234.1635609,0.1,4,0.0877,0.0395,0.0499,24.0,0.0,7.48,None,None,5.386,True,None,sfc_unique_p4_1,0,None,8,66.0,9,8,0,0,0,False,100.0,14.5,8.25,2155.3935149357685
0,1759174251.0864363,17.0,6,0.1111,0.054,0.0748,30.0,0.0,8.77,None,None,5.955,True,None,sfc_cache_p1_2,0,None,8,66.0,10,10,0,0,0,False,100.0,14.7,9.9,2179.445519269463
0,1759174251.0867088,17.0,6,0.1111,0.054,0.0748,30.0,0.0,8.22,None,None,5.415,True,None,sfc_unique_p1_2,0,None,8,66.0,10,10,0,0,0,False,100.0,14.7,9.9,2179.445519269463
0,1759174251.1014426,17.0,7,0.1346,0.0731,0.0998,36.0,0.0,8.79,None,None,5.505,True,None,sfc_cache_p2_2,0,None,8,66.0,12,12,0,0,0,False,100.0,14.833333333333334,11.0,2191.7172264355363
0,1759174251.1016977,17.0,7,0.1346,0.0731,0.0998,36.0,0.0,8.88,None,None,5.361,True,None,sfc_unique_p2_2,0,None,8,66.0,12,12,0,0,0,False,100.0,14.833333333333334,11.0,2191.7172264355363
0,1759174251.1171494,17.0,8,0.155,0.0855,0.0998,42.0,0.0,7.86,None,None,5.573,True,None,sfc_cache_p3_2,0,None,12,99.0,15,14,0,0,0,False,100.0,14.642857142857142,9.428571428571429,2201.9729917969353
0,1759174251.1174777,17.0,8,0.155,0.0855,0.0998,42.0,0.0,7.47,None,None,5.347,True,None,sfc_unique_p3_2,0,None,12,99.0,15,14,0,0,0,False,100.0,14.642857142857142,9.428571428571429,2201.9729917969353
0,1759174251.1429677,17.0,9,0.1754,0.0978,0.0998,48.0,0.0,8.23,None,None,8.698,True,None,sfc_cache_p4_2,0,None,16,132.0,18,16,0,0,0,False,100.0,14.5,8.25,2212.5058040551
0,1759174251.143232,17.0,9,0.1754,0.0978,0.0998,48.0,0.0,7.03,None,None,5.359,True,None,sfc_unique_p4_2,0,None,16,132.0,18,16,0,0,0,False,100.0,14.5,8.25,2212.5058040551
0,1759174268.1071134,34.0,11,0.1988,0.111,0.1247,54.0,0.0,9.76,None,None,9.657,True,None,sfc_cache_p1_3,0,None,16,132.0,19,18,0,0,0,False,100.0,14.61111111111111,9.166666666666666,2259.3398854666457
0,1759174268.107579,34.0,11,0.1988,0.111,0.1247,54.0,0.0,9.14,None,None,9.201,True,None,sfc_unique_p1_3,0,None,16,132.0,19,18,0,0,0,False,100.0,14.61111111111111,9.166666666666666,2259.3398854666457
0,1759174268.1247907,34.0,12,0.2192,0.1269,0.1247,60.0,0.0,9.95,None,None,5.962,True,None,sfc_cache_p2_3,0,None,20,165.0,22,20,0,0,0,False,100.0,14.5,8.25,2264.5635350564926
