No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow,energy_consumption
0,1761139077.158158,0,1,0.023,0.0017,0.0249,2.3435,2.4947,0.0,0.0,2.92,None,None,8.438,True,None,sfc_cache_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2057.9925708094725
0,1761139077.1590788,0.0,1,0.023,0.0017,0.0249,2.3435,2.4947,0.0,0.0,4.34,None,None,5.218,True,None,sfc_unique_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2057.9925708094725
0,1761139077.1773143,0.0,2,0.045,0.0044,0.0499,4.687,4.9894,0.0,0.0,4.78,None,None,5.582,True,None,sfc_cache_p2_1,0,None,0,0,2,4,0,0,0,False,100.0,15.5,16.5,2080.130010834236
0,1761139077.1776147,0.0,2,0.045,0.0044,0.0499,4.687,4.9894,0.0,0.0,5.85,None,None,5.632,True,None,sfc_unique_p2_1,0,None,0,0,2,4,0,0,0,False,100.0,15.5,16.5,2080.130010834236
0,1761139077.1919723,0.0,3,0.0606,0.006,0.0499,6.4008,4.9894,0.0,0.0,3.67,None,None,5.302,True,None,sfc_cache_p3_1,0,None,8.33,33.0,6,6,0,0,0,False,100.0,14.111666666666666,11.0,2103.8140380746017
0,1761139077.192253,0.0,3,0.0606,0.006,0.0499,6.4008,4.9894,0.0,0.0,5.85,None,None,5.665,True,None,sfc_unique_p3_1,0,None,8.33,33.0,6,6,0,0,0,False,100.0,14.111666666666666,11.0,2103.8140380746017
0,1761139077.2063313,0.0,4,0.0751,0.009,0.0499,8.1146,4.9894,0.0,0.0,3.77,None,None,5.145,True,None,sfc_cache_p4_1,0,None,16.66,66.0,9,8,0,0,0,False,100.0,13.4175,8.25,2115.80405509983
0,1761139077.2065942,0.0,4,0.0751,0.009,0.0499,8.1146,4.9894,0.0,0.0,5.1,None,None,5.734,True,None,sfc_unique_p4_1,0,None,16.66,66.0,9,8,0,0,0,False,100.0,13.4175,8.25,2115.80405509983
0,1761139077.2211518,0.1,5,0.089,0.0107,0.0499,9.8284,4.9894,0.0,0.0,3.67,None,None,5.137,True,None,sfc_cache_p5_1,0,None,24.99,99.0,13,10,0,0,0,False,100.0,13.001,6.6,2115.80405509983
0,1761139077.2215652,0.1,5,0.089,0.0107,0.0499,9.8284,4.9894,0.0,0.0,5.85,None,None,5.79,True,None,sfc_unique_p5_1,0,None,24.99,99.0,13,10,0,0,0,False,100.0,13.001,6.6,2115.80405509983
0,1761139077.2385306,0.1,6,0.1028,0.0138,0.0499,11.5422,4.9894,0.0,0.0,3.67,None,None,5.337,True,None,sfc_cache_p6_1,0,None,33.32,132.0,17,12,0,0,0,False,100.0,12.723333333333334,5.5,2126.059820461229
0,1761139077.2390618,0.1,6,0.1028,0.0138,0.0499,11.5422,4.9894,0.0,0.0,6.83,None,None,5.493,True,None,sfc_unique_p6_1,0,None,33.32,132.0,17,12,0,0,0,False,100.0,12.723333333333334,5.5,2126.059820461229
0,1761139102.1622548,25.0,6,0.1221,0.0162,0.0748,13.8857,7.4841,0.0,0.0,4.55,None,None,5.767,True,None,sfc_cache_p1_2,0,None,33.32,132.0,17,14,0,0,0,False,100.0,13.120000000000001,7.071428571428571,2147.579709023371
0,1761139102.1625736,25.0,6,0.1221,0.0162,0.0748,13.8857,7.4841,0.0,0.0,6.5,None,None,5.316,True,None,sfc_unique_p1_2,0,None,33.32,132.0,17,14,0,0,0,False,100.0,13.120000000000001,7.071428571428571,2147.579709023371
0,1761139102.1778193,25.0,7,0.1344,0.0186,0.0748,15.5995,7.4841,0.0,0.0,4.51,None,None,5.234,True,None,sfc_cache_p2_2,0,None,41.65,165.0,21,16,0,0,0,False,100.0,12.896875,6.1875,2171.263736263736
0,1761139102.1780963,25.0,7,0.1344,0.0186,0.0748,15.5995,7.4841,0.0,0.0,6.41,None,None,5.167,True,None,sfc_unique_p2_2,0,None,41.65,165.0,21,16,0,0,0,False,100.0,12.896875,6.1875,2171.263736263736
0,1761139102.1954505,25.0,8,0.1468,0.0209,0.0748,17.3133,7.4841,0.0,0.0,4.92,None,None,5.499,True,None,sfc_cache_p3_2,0,None,49.98,198.0,25,18,0,0,0,False,100.0,12.723333333333334,5.5,2184.6432440798635
0,1761139102.1957433,25.0,8,0.1468,0.0209,0.0748,17.3133,7.4841,0.0,0.0,7.23,None,None,5.3,True,None,sfc_unique_p3_2,0,None,49.98,198.0,25,18,0,0,0,False,100.0,12.723333333333334,5.5,2184.6432440798635
0,1761139102.2142084,25.1,9,0.1594,0.0233,0.0748,19.0271,7.4841,0.0,0.0,4.55,None,None,5.33,True,None,sfc_cache_p4_2,0,None,58.31,231.0,29,20,0,0,0,False,100.0,12.5845,4.95,2184.6432440798635
0,1761139102.2144954,25.1,9,0.1594,0.0233,0.0748,19.0271,7.4841,0.0,0.0,6.5,None,None,5.139,True,None,sfc_unique_p4_2,0,None,58.31,231.0,29,20,0,0,0,False,100.0,12.5845,4.95,2184.6432440798635
0,1761139102.233047,25.1,10,0.1717,0.0271,0.0748,20.7409,7.4841,0.0,0.0,4.5,None,None,5.388,True,None,sfc_cache_p5_2,0,None,66.64,264.0,33,22,0,0,0,False,100.0,12.47090909090909,4.5,2194.899009441263
0,1761139102.233335,25.1,10,0.1717,0.0271,0.0748,20.7409,7.4841,0.0,0.0,6.4,None,None,5.058,True,None,sfc_unique_p5_2,0,None,66.64,264.0,33,22,0,0,0,False,100.0,12.47090909090909,4.5,2194.899009441263
0,1761139102.2497792,25.1,11,0.1857,0.0309,0.0748,22.782,7.4841,0.0,0.0,4.84,None,None,5.247,True,None,sfc_cache_p6_2,0,None,70.64,297.0,36,24,0,0,0,False,100.0,12.556666666666667,4.125,2209.802275189599
0,1761139102.250058,25.1,11,0.1857,0.0309,0.0748,22.782,7.4841,0.0,0.0,7.21,None,None,5.303,True,None,sfc_unique_p6_2,0,None,70.64,297.0,36,24,0,0,0,False,100.0,12.556666666666667,4.125,2209.802275189599
0,1761139119.1935394,42.0,11,0.2025,0.0334,0.0998,25.1255,9.9788,0.0,0.0,4.41,None,None,5.685,True,None,sfc_cache_p1_3,0,None,70.64,297.0,37,26,0,0,0,False,100.0,12.783076923076923,5.076923076923077,2242.1889026466492
0,1761139119.1938534,42.0,11,0.2025,0.0334,0.0998,25.1255,9.9788,0.0,0.0,6.37,None,None,5.099,True,None,sfc_unique_p1_3,0,None,70.64,297.0,37,26,0,0,0,False,100.0,12.783076923076923,5.076923076923077,2242.1889026466492
0,1761139119.2094796,42.1,12,0.2122,0.0384,0.0998,26.5875,9.9788,0.9514,0.0,4.34,None,None,5.187,True,None,sfc_cache_p2_3,0,None,78.97,330.0,41,28,0,0,0,False,100.0,12.679642857142856,4.714285714285714,2250.0
0,1761139119.2097511,42.1,12,0.2122,0.0384,0.0998,26.5875,9.9788,0.9514,0.0,10.55,None,None,5.176,True,None,sfc_unique_p2_3,0,None,78.97,330.0,41,28,0,0,0,False,100.0,12.679642857142856,4.714285714285714,2250.0
0,1761139119.2257776,42.1,13,0.2233,0.041,0.0998,28.3013,9.9788,0.9031,0.0,4.29,None,None,5.356,True,None,sfc_cache_p3_3,0,None,87.3,363.0,45,30,0,0,0,False,100.0,12.59,4.4,2250.0
0,1761139119.226065,42.1,13,0.2233,0.041,0.0998,28.3013,9.9788,0.9031,0.0,6.14,None,None,5.08,True,None,sfc_unique_p3_3,0,None,87.3,363.0,45,30,0,0,0,False,100.0,12.59,4.4,2250.0
0,1761139119.2407172,42.1,14,0.2332,0.0449,0.0998,30.0151,9.9788,0.8457,0.0,4.25,None,None,5.155,True,None,sfc_cache_p4_3,0,None,95.63,396.0,48,32,0,0,0,False,100.0,12.5115625,4.125,2260.2557653613994
0,1761139119.2409973,42.1,14,0.2332,0.0449,0.0998,30.0151,9.9788,0.8457,0.0,6.36,None,None,5.135,True,None,sfc_unique_p4_3,0,None,95.63,396.0,48,32,0,0,0,False,100.0,12.5115625,4.125,2260.2557653613994
0,1761139119.2568047,42.1,15,0.2468,0.0523,0.1247,32.3586,12.4735,0.7835,0.0,8.53,None,None,5.266,True,None,sfc_cache_p5_3,0,None,95.63,396.0,49,34,0,0,0,False,100.0,12.68735294117647,4.852941176470588,2280.661275344374
0,1761139119.2570846,42.1,15,0.2468,0.0523,0.1247,32.3586,12.4735,0.7835,0.0,7.36,None,None,5.097,True,None,sfc_unique_p5_3,0,None,95.63,396.0,49,34,0,0,0,False,100.0,12.68735294117647,4.852941176470588,2280.661275344374
0,1761139119.276396,42.1,16,0.2608,0.0598,0.1497,34.7021,14.9682,0.74,0.0,4.61,None,None,5.659,True,None,sfc_cache_p6_3,0,None,95.63,396.0,51,36,0,0,0,False,100.0,12.84361111111111,5.5,2311.0048754062836
0,1761139119.2767057,42.1,16,0.2608,0.0598,0.1497,34.7021,14.9682,0.74,0.0,6.41,None,None,5.184,True,None,sfc_unique_p6_3,0,None,95.63,396.0,51,36,0,0,0,False,100.0,12.84361111111111,5.5,2311.0048754062836
0,1761139147.2230873,70.1,16,0.2735,0.0674,0.1746,37.0457,17.463,0.6919,0.0,4.64,None,None,5.99,True,None,sfc_cache_p1_4,0,None,95.63,396.0,52,38,0,0,0,False,100.0,12.983421052631579,6.078947368421052,2343.692539854512
0,1761139147.2234068,70.1,16,0.2735,0.0674,0.1746,37.0457,17.463,0.6919,0.0,6.44,None,None,5.223,True,None,sfc_unique_p1_4,0,None,95.63,396.0,52,38,0,0,0,False,100.0,12.983421052631579,6.078947368421052,2343.692539854512
0,1761139147.2388654,70.1,17,0.2857,0.0741,0.1996,39.3892,19.9577,0.6498,0.0,9.76,None,None,5.175,True,None,sfc_cache_p2_4,0,None,95.63,396.0,53,40,0,0,0,False,100.0,13.10925,6.6,2358.9165763813653
0,1761139147.239139,70.1,17,0.2857,0.0741,0.1996,39.3892,19.9577,0.6498,0.0,6.49,None,None,5.206,True,None,sfc_unique_p2_4,0,None,95.63,396.0,53,40,0,0,0,False,100.0,13.10925,6.6,2358.9165763813653
0,1761139147.2559383,70.1,18,0.2964,0.082,0.1996,41.4303,19.9577,0.6195,0.0,8.89,None,None,5.322,True,None,sfc_cache_p3_4,0,None,99.63,429.0,56,42,0,0,0,False,100.0,13.127857142857144,6.285714285714286,2368.0656129082186
0,1761139147.2562144,70.1,18,0.2964,0.082,0.1996,41.4303,19.9577,0.6195,0.0,6.45,None,None,5.181,True,None,sfc_unique_p3_4,0,None,99.63,429.0,56,42,0,0,0,False,100.0,13.127857142857144,6.285714285714286,2368.0656129082186
0,1761139147.2736418,70.1,19,0.3055,0.0881,0.1996,43.1441,19.9577,0.5987,0.0,4.68,None,None,5.436,True,None,sfc_cache_p4_4,0,None,107.96,462.0,59,44,0,0,0,False,100.0,13.046363636363639,6.0,2417.7703799721403
0,1761139147.2739162,70.1,19,0.3055,0.0881,0.1996,43.1441,19.9577,0.5987,0.0,5.99,None,None,5.201,True,None,sfc_unique_p4_4,0,None,107.96,462.0,59,44,0,0,0,False,100.0,13.046363636363639,6.0,2417.7703799721403
0,1761139147.2919796,70.1,20,0.3134,0.097,0.1996,44.8579,19.9577,0.5729,0.0,5.05,None,None,5.328,True,None,sfc_cache_p5_4,0,None,116.29,495.0,63,46,0,0,0,False,100.0,12.97195652173913,5.739130434782608,2420.013066862715
0,1761139147.292271,70.1,20,0.3134,0.097,0.1996,44.8579,19.9577,0.5729,0.0,7.72,None,None,5.258,True,None,sfc_unique_p5_4,0,None,116.29,495.0,63,46,0,0,0,False,100.0,12.97195652173913,5.739130434782608,2420.013066862715
0,1761139147.3141892,70.2,21,0.3265,0.108,0.2245,47.2014,22.4524,0.555,0.0,8.91,None,None,5.803,True,None,sfc_cache_p6_4,0,None,116.29,495.0,63,48,0,0,0,False,100.0,13.077291666666667,6.1875,2460.599381345641
