No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,energy_consumption
0,1761669510.2137,0,1,0.0326,0.0,0.0034,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,5.42,None,None,8.24,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,2057.9925708094725
0,1761669510.2147236,0.0,1,0.0326,0.0,0.0034,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,7.86,None,None,4.846,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,2057.9925708094725
0,1761669510.2330437,0.0,2,0.0546,0.0,0.0067,0.0249,5.7961,0.0,2.4947,0.0,0.0,0.0,5.56,None,None,7.984,True,None,sfc_cache_p2_1,0,None,8.33,0,33.0,5,4,0,0,0,False,100.0,13.4175,0.0,8.25,2076.070654697415
0,1761669510.233792,0.0,2,0.0546,0.0,0.0067,0.0249,5.7961,0.0,2.4947,0.0,0.0,0.0,8.14,None,None,6.109,True,None,sfc_unique_p2_1,0,None,8.33,0,33.0,5,4,0,0,0,False,100.0,13.4175,0.0,8.25,2076.070654697415
0,1761669510.2525215,0.0,3,0.0763,0.0,0.0101,0.0249,8.2444,0.0,2.4947,0.0,0.0,0.0,5.56,None,None,6.073,True,None,sfc_cache_p3_1,0,None,16.66,0,66.0,9,6,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2099.7546819377803
0,1761669510.25292,0.0,3,0.0763,0.0,0.0101,0.0249,8.2444,0.0,2.4947,0.0,0.0,0.0,8.14,None,None,5.726,True,None,sfc_unique_p3_1,0,None,16.66,0,66.0,9,6,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2099.7546819377803
0,1761669510.2687316,0.1,4,0.0959,0.0,0.0163,0.0249,10.6927,0.0,2.4947,0.0,0.0,0.0,5.56,None,None,5.182,True,None,sfc_cache_p4_1,0,None,24.99,0,99.0,12,8,0,0,0,False,100.0,12.37625,0.0,4.125,2115.2340968890267
0,1761669510.2690537,0.1,4,0.0959,0.0,0.0163,0.0249,10.6927,0.0,2.4947,0.0,0.0,0.0,8.8,None,None,5.109,True,None,sfc_unique_p4_1,0,None,24.99,0,99.0,12,8,0,0,0,False,100.0,12.37625,0.0,4.125,2115.2340968890267
0,1761669510.2846406,0.1,5,0.1144,0.0,0.0197,0.0249,13.141,0.0,2.4947,0.0,0.0,0.0,5.42,None,None,5.245,True,None,sfc_cache_p5_1,0,None,33.32,0,132.0,16,10,0,0,0,False,100.0,12.168000000000001,0.0,3.3,2120.2557653613994
0,1761669510.2850113,0.1,5,0.1144,0.0,0.0197,0.0249,13.141,0.0,2.4947,0.0,0.0,0.0,7.86,None,None,5.141,True,None,sfc_unique_p5_1,0,None,33.32,0,132.0,16,10,0,0,0,False,100.0,12.168000000000001,0.0,3.3,2120.2557653613994
0,1761669510.298429,0.1,6,0.1334,0.0,0.023,0.0249,15.5892,0.0,2.4947,0.0,0.0,0.0,5.45,None,None,5.219,True,None,sfc_cache_p6_1,0,None,41.65,0,165.0,20,12,0,0,0,False,100.0,12.029166666666667,0.0,2.75,2120.2557653613994
0,1761669510.2987673,0.1,6,0.1334,0.0,0.023,0.0249,15.5892,0.0,2.4947,0.0,0.0,0.0,7.94,None,None,4.802,True,None,sfc_unique_p6_1,0,None,41.65,0,165.0,20,12,0,0,0,False,100.0,12.029166666666667,0.0,2.75,2120.2557653613994
0,1761669527.214661,17.0,6,0.1575,0.0,0.0285,0.0499,18.9371,0.0,4.9894,0.0,0.0,0.0,4.81,None,None,5.648,True,None,sfc_cache_p1_2,0,None,41.65,0,165.0,21,14,0,0,0,False,100.0,12.525,0.0,4.714285714285714,2141.194474539545
0,1761669527.2150323,17.0,6,0.1575,0.0,0.0285,0.0499,18.9371,0.0,4.9894,0.0,0.0,0.0,5.85,None,None,5.023,True,None,sfc_unique_p1_2,0,None,41.65,0,165.0,21,14,0,0,0,False,100.0,12.525,0.0,4.714285714285714,2141.194474539545
0,1761669527.229973,17.0,7,0.1765,0.0,0.0302,0.0748,21.8174,0.0,7.4841,0.0,0.0,0.0,6.0,None,None,5.063,True,None,sfc_cache_p2_2,0,None,45.98,0,165.0,23,16,0,0,0,False,100.0,12.62625,0.0,6.1875,2167.768760253831
0,1761669527.23029,17.0,7,0.1765,0.0,0.0302,0.0748,21.8174,0.0,7.4841,0.0,0.0,0.0,8.68,None,None,4.862,True,None,sfc_unique_p2_2,0,None,45.98,0,165.0,23,16,0,0,0,False,100.0,12.62625,0.0,6.1875,2167.768760253831
0,1761669527.2499778,17.0,8,0.1968,0.0,0.0339,0.0748,24.7332,0.0,7.4841,0.0,0.0,0.0,4.8,None,None,5.351,True,None,sfc_cache_p3_2,0,None,49.98,0,198.0,26,18,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2182.2790589691995
0,1761669527.2503276,17.0,8,0.1968,0.0,0.0339,0.0748,24.7332,0.0,7.4841,0.0,0.0,0.0,9.44,None,None,4.931,True,None,sfc_unique_p3_2,0,None,49.98,0,198.0,26,18,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2182.2790589691995
0,1761669527.2685442,17.1,9,0.2118,0.0,0.0437,0.0748,27.1815,0.0,7.4841,0.0,0.0,0.0,5.97,None,None,5.26,True,None,sfc_cache_p4_2,0,None,58.31,0,231.0,30,20,0,0,0,False,100.0,12.5845,0.0,4.95,2187.5027085590464
