No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,server_energy_consumption,mobile_energy_consumption,total_energy_consumption
0,1762061571.775533,0,1,0.0326,0.0,0.0025,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,4.61,3.31,1.3,None,0.0011401176452636719,6.59,True,None,sfc_cache_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,2057.9925708094725,10.0,2067.9925708094725
0,1762061571.775983,0.0,1,0.0326,0.0,0.0025,0.0249,3.3479,0.0,2.4947,0.0,0.0,0.0,6.94,4.46,2.49,None,0.0011401176452636719,5.552,True,None,sfc_unique_p1_1,0,None,0,0,0,1,2,0,0,0,False,100.0,15.5,0.0,16.5,2057.9925708094725,10.0,2067.9925708094725
0,1762061571.791158,0.0,2,0.0553,0.0,0.0051,0.0249,5.7961,0.0,2.4947,0.0,0.0,0.0,4.57,3.31,1.27,None,0.040549278259277344,5.541,True,None,sfc_cache_p2_1,0,None,8.33,0,33.0,5,4,0,0,0,False,100.0,13.4175,0.0,8.25,2076.070654697415,20.0,2096.070654697415
0,1762061571.7915127,0.0,2,0.0553,0.0,0.0051,0.0249,5.7961,0.0,2.4947,0.0,0.0,0.0,6.87,4.46,2.41,None,0.040549278259277344,5.342,True,None,sfc_unique_p2_1,0,None,8.33,0,33.0,5,4,0,0,0,False,100.0,13.4175,0.0,8.25,2076.070654697415,20.0,2096.070654697415
0,1762061571.8083804,0.0,3,0.0763,0.0,0.0076,0.0249,8.2444,0.0,2.4947,0.0,0.0,0.0,4.57,3.31,1.27,None,0.05604720115661621,5.475,True,None,sfc_cache_p3_1,0,None,16.66,0,66.0,9,6,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2099.7546819377803,30.0,2129.7546819377803
0,1762061571.8087227,0.0,3,0.0763,0.0,0.0076,0.0249,8.2444,0.0,2.4947,0.0,0.0,0.0,6.87,4.46,2.42,None,0.05604720115661621,5.263,True,None,sfc_unique_p3_1,0,None,16.66,0,66.0,9,6,0,0,0,False,100.0,12.723333333333334,0.0,5.5,2099.7546819377803,30.0,2129.7546819377803
0,1762061571.8240528,0.0,4,0.0965,0.0,0.0101,0.0249,10.6927,0.0,2.4947,0.0,0.0,0.0,4.61,3.31,1.3,None,0.07321548461914062,5.464,True,None,sfc_cache_p4_1,0,None,24.99,0,99.0,13,8,0,0,0,False,100.0,12.37625,0.0,4.125,2110.0,40.0,2150.0
0,1762061571.8244095,0.0,4,0.0965,0.0,0.0101,0.0249,10.6927,0.0,2.4947,0.0,0.0,0.0,6.94,4.46,2.48,None,0.07321548461914062,5.35,True,None,sfc_unique_p4_1,0,None,24.99,0,99.0,13,8,0,0,0,False,100.0,12.37625,0.0,4.125,2110.0,40.0,2150.0
0,1762061571.8400395,0.1,5,0.1158,0.0,0.0127,0.0249,13.141,0.0,2.4947,0.0,0.0,0.0,4.62,3.31,1.31,None,0.08796548843383789,5.437,True,None,sfc_cache_p5_1,0,None,33.32,0,132.0,17,10,0,0,0,False,100.0,12.168000000000001,0.0,3.3,2110.0,50.0,2160.0
0,1762061571.8403811,0.1,5,0.1158,0.0,0.0127,0.0249,13.141,0.0,2.4947,0.0,0.0,0.0,6.96,4.46,2.5,None,0.08796548843383789,5.288,True,None,sfc_unique_p5_1,0,None,33.32,0,132.0,17,10,0,0,0,False,100.0,12.168000000000001,0.0,3.3,2110.0,50.0,2160.0
