No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,reuse_cpu_rate,reuse_cache_rate
0,1755017837.6118839,0,1,0.0181,0.0064,0.0275,9.33,0.0,10.52,None,None,426.19,True,None,sfc_cache_p1_1,0,None,0,0,0,0,0,0,0,False,100.0,0.0,0.0
0,1755017837.6121688,0.0,1,0.0181,0.0064,0.0275,9.33,0.0,14.29,None,None,4.712,True,None,sfc_unique_p1_1,0,None,0,0,0,0,0,0,0,False,100.0,0.0,0.0
0,1755017837.635686,0.0,2,0.0328,0.0128,0.0275,18.66,0.0,10.2,None,None,9.012,True,None,sfc_cache_p2_1,0,None,4,33.0,3,0,0,0,0,False,100.0,6.451612903225806,50.0
0,1755017837.635896,0.0,2,0.0328,0.0128,0.0275,18.66,0.0,13.67,None,None,5.481,True,None,sfc_unique_p2_1,0,None,4,33.0,3,0,0,0,0,False,100.0,6.451612903225806,50.0
0,1755017837.6544333,0.0,3,0.0475,0.0183,0.0275,27.99,0.0,10.52,None,None,8.644,True,None,sfc_cache_p3_1,0,None,8,66.0,5,0,0,0,0,False,100.0,8.60215053763441,66.66666666666666
0,1755017837.654641,0.0,3,0.0475,0.0183,0.0275,27.99,0.0,14.09,None,None,5.578,True,None,sfc_unique_p3_1,0,None,8,66.0,5,0,0,0,0,False,100.0,8.60215053763441,66.66666666666666
0,1755017837.6713755,0.1,4,0.0622,0.0247,0.0275,37.32,0.0,10.38,None,None,8.579,True,None,sfc_cache_p4_1,0,None,12,99.0,8,0,0,0,0,False,100.0,9.67741935483871,75.0
0,1755017837.6715658,0.1,4,0.0622,0.0247,0.0275,37.32,0.0,14.01,None,None,5.498,True,None,sfc_unique_p4_1,0,None,12,99.0,8,0,0,0,0,False,100.0,9.67741935483871,75.0
0,1755017860.198629,22.6,6,0.0803,0.0357,0.055,46.65,0.0,11.75,None,None,16.284,True,None,sfc_cache_p1_2,0,None,12,99.0,8,0,0,0,0,False,100.0,7.741935483870968,60.0
0,1755017860.1990557,22.6,6,0.0803,0.0357,0.055,46.65,0.0,17.22,None,None,9.41,True,None,sfc_unique_p1_2,0,None,12,99.0,8,0,0,0,0,False,100.0,7.741935483870968,60.0
0,1755017860.2318766,22.6,7,0.0983,0.0448,0.0825,55.98,0.0,10.18,None,None,16.068,True,None,sfc_cache_p2_2,0,None,12,99.0,8,0,0,0,0,False,100.0,6.451612903225806,50.0
0,1755017860.2322896,22.6,7,0.0983,0.0448,0.0825,55.98,0.0,16.33,None,None,9.358,True,None,sfc_unique_p2_2,0,None,12,99.0,8,0,0,0,0,False,100.0,6.451612903225806,50.0
