No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,reuse_cpu_rate,reuse_cache_rate
0,1755014780.7147946,0,1,0.0181,0.0087,0.0275,9.33,0.0,10.32,None,None,418.766,True,None,sfc_cache_p1_1,0,None,0,0,0,0,0,0,0,False,100.0,0.0,0.0
0,1755014780.7150812,0.0,1,0.0181,0.0087,0.0275,9.33,0.0,13.99,None,None,4.593,True,None,sfc_unique_p1_1,0,None,0,0,0,0,0,0,0,False,100.0,0.0,0.0
0,1755014780.745306,0.0,2,0.0328,0.0174,0.0275,18.66,0.0,9.91,None,None,15.372,True,None,sfc_cache_p2_1,0,None,4,33.0,3,0,0,0,0,False,100.0,6.451612903225806,50.0
0,1755014780.7456794,0.0,2,0.0328,0.0174,0.0275,18.66,0.0,13.17,None,None,9.127,True,None,sfc_unique_p2_1,0,None,4,33.0,3,0,0,0,0,False,100.0,6.451612903225806,50.0
0,1755014780.7740016,0.1,3,0.0475,0.0261,0.0275,27.99,0.0,11.03,None,None,9.817,True,None,sfc_cache_p3_1,0,None,8,66.0,6,0,0,0,0,False,100.0,8.60215053763441,66.66666666666666
0,1755014780.7743769,0.1,3,0.0475,0.0261,0.0275,27.99,0.0,15.41,None,None,9.338,True,None,sfc_unique_p3_1,0,None,8,66.0,6,0,0,0,0,False,100.0,8.60215053763441,66.66666666666666
0,1755014780.799559,0.1,4,0.0622,0.0357,0.0275,37.32,0.0,9.88,None,None,9.91,True,None,sfc_cache_p4_1,0,None,12,99.0,8,0,0,0,0,False,100.0,9.67741935483871,75.0
0,1755014780.7999153,0.1,4,0.0622,0.0357,0.0275,37.32,0.0,14.53,None,None,9.299,True,None,sfc_unique_p4_1,0,None,12,99.0,8,0,0,0,0,False,100.0,9.67741935483871,75.0
0,1755014800.3068244,19.6,6,0.0803,0.0393,0.055,46.65,0.0,8.32,None,None,19.551,True,None,sfc_cache_p1_2,0,None,12,99.0,8,0,0,0,0,False,100.0,7.741935483870968,60.0
0,1755014800.3070967,19.6,6,0.0803,0.0393,0.055,46.65,0.0,14.32,None,None,5.798,True,None,sfc_unique_p1_2,0,None,12,99.0,8,0,0,0,0,False,100.0,7.741935483870968,60.0
