No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,reuse_cpu_rate,reuse_cache_rate
0,1755003886.104169,0,1,0.0258,0.0075,0.0275,0.0,0.0,9.21,None,None,7.421,True,None,sfc_cache_p1_1,0,None,0,0,0,0,0,0,0,False,100.0,0.0,0.0
0,1755003886.104717,0.0,1,0.0258,0.0075,0.0275,0.0,0.0,12.5,None,None,7.304,True,None,sfc_unique_p1_1,0,None,0,0,0,0,0,0,0,False,100.0,0.0,0.0
0,1755003886.1281958,0.0,2,0.0447,0.015,0.0275,0.0,0.0,9.21,None,None,7.238,True,None,sfc_cache_p2_1,0,None,0,0,0,0,0,0,0,False,100.0,13.435483870967744,50.0
0,1755003886.1285565,0.0,2,0.0447,0.015,0.0275,0.0,0.0,12.51,None,None,7.259,True,None,sfc_unique_p2_1,0,None,0,0,0,0,0,0,0,False,100.0,13.435483870967744,50.0
0,1755003886.1512969,0.0,3,0.0636,0.0225,0.0275,0.0,0.0,9.21,None,None,7.282,True,None,sfc_cache_p3_1,0,None,0,0,0,0,0,0,0,False,100.0,17.913978494623656,66.66666666666666
0,1755003886.1516442,0.0,3,0.0636,0.0225,0.0275,0.0,0.0,12.51,None,None,7.285,True,None,sfc_unique_p3_1,0,None,0,0,0,0,0,0,0,False,100.0,17.913978494623656,66.66666666666666
0,1755003886.1733391,0.1,4,0.0825,0.03,0.0275,0.0,0.0,9.21,None,None,7.25,True,None,sfc_cache_p4_1,0,None,0,0,0,0,0,0,0,False,100.0,20.153225806451612,75.0
0,1755003886.1736789,0.1,4,0.0825,0.03,0.0275,0.0,0.0,12.52,None,None,7.241,True,None,sfc_unique_p4_1,0,None,0,0,0,0,0,0,0,False,100.0,20.153225806451612,75.0
0,1755003905.0929475,19.0,6,0.1083,0.0369,0.055,0.0,0.0,8.98,None,None,7.238,True,None,sfc_cache_p1_2,0,None,0,0,0,0,0,0,0,False,100.0,16.12258064516129,60.0
0,1755003905.093383,19.0,6,0.1083,0.0369,0.055,0.0,0.0,11.9,None,None,7.166,True,None,sfc_unique_p1_2,0,None,0,0,0,0,0,0,0,False,100.0,16.12258064516129,60.0
