No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow,energy_consumption
0,1760578335.1015184,0,1,0.0234,0.0221,0.0249,2.3435,2.4947,0.0,0.0,9.66,None,None,10.392,True,None,sfc_cache_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2092.142857142857
0,1760578335.1018937,0.0,1,0.0234,0.0221,0.0249,2.3435,2.4947,0.0,0.0,13.15,None,None,12.439,True,None,sfc_unique_p1_1,0,None,0,0,1,2,0,0,0,False,100.0,15.5,16.5,2092.142857142857
0,1760578335.133427,0.0,2,0.0438,0.043,0.0249,4.3846,2.4947,0.0,0.0,8.85,None,None,9.936,True,None,sfc_cache_p2_1,0,None,4,33.0,3,4,0,0,0,False,100.0,14.5,8.25,2147.857776572668
0,1760578335.1337314,0.0,2,0.0438,0.043,0.0249,4.3846,2.4947,0.0,0.0,14.92,None,None,12.023,True,None,sfc_unique_p2_1,0,None,4,33.0,3,4,0,0,0,False,100.0,14.5,8.25,2147.857776572668
0,1760578335.1630168,0.1,3,0.061,0.0651,0.0249,6.0984,2.4947,0.0,0.0,8.13,None,None,10.082,True,None,sfc_cache_p3_1,0,None,12.33,66.0,7,6,0,0,0,False,100.0,13.445,5.5,2184.5599194298106
0,1760578335.163321,0.1,3,0.061,0.0651,0.0249,6.0984,2.4947,0.0,0.0,10.0,None,None,11.629,True,None,sfc_unique_p3_1,0,None,12.33,66.0,7,6,0,0,0,False,100.0,13.445,5.5,2184.5599194298106
0,1760578335.1930008,0.1,4,0.0781,0.087,0.0249,7.8122,2.4947,0.0,0.0,8.24,None,None,9.973,True,None,sfc_cache_p4_1,0,None,20.66,99.0,11,8,0,0,0,False,100.0,12.9175,4.125,2217.737062286954
0,1760578335.193279,0.1,4,0.0781,0.087,0.0249,7.8122,2.4947,0.0,0.0,10.32,None,None,10.558,True,None,sfc_unique_p4_1,0,None,20.66,99.0,11,8,0,0,0,False,100.0,12.9175,4.125,2217.737062286954
0,1760578335.220277,0.1,5,0.0953,0.109,0.0249,9.526,2.4947,0.0,0.0,8.85,None,None,9.93,True,None,sfc_cache_p5_1,0,None,28.99,132.0,15,10,0,0,0,False,100.0,12.601,3.3,2263.0770622869536
0,1760578335.2205546,0.1,5,0.0953,0.109,0.0249,9.526,2.4947,0.0,0.0,11.71,None,None,10.444,True,None,sfc_unique_p5_1,0,None,28.99,132.0,15,10,0,0,0,False,100.0,12.601,3.3,2263.0770622869536
0,1760578335.2476342,0.1,6,0.1124,0.1309,0.0249,11.2398,2.4947,0.0,0.0,8.26,None,None,9.856,True,None,sfc_cache_p6_1,0,None,37.32,165.0,19,12,0,0,0,False,100.0,12.39,2.75,2290.522776572668
0,1760578335.2479105,0.1,6,0.1124,0.1309,0.0249,11.2398,2.4947,0.0,0.0,10.52,None,None,10.376,True,None,sfc_unique_p6_1,0,None,37.32,165.0,19,12,0,0,0,False,100.0,12.39,2.75,2290.522776572668
0,1760578349.0992346,14.0,6,0.1358,0.1504,0.0499,13.5833,4.9894,0.0,0.0,8.26,None,None,16.252,True,None,sfc_cache_p1_2,0,None,37.32,165.0,20,14,0,0,0,False,100.0,12.834285714285715,4.714285714285714,2311.461109389526
0,1760578349.0995333,14.0,6,0.1358,0.1504,0.0499,13.5833,4.9894,0.0,0.0,13.88,None,None,11.886,True,None,sfc_unique_p1_2,0,None,37.32,165.0,20,14,0,0,0,False,100.0,12.834285714285715,4.714285714285714,2311.461109389526
0,1760578349.1380167,14.0,7,0.1593,0.1669,0.0748,15.9268,7.4841,0.0,0.0,8.43,None,None,14.459,True,None,sfc_cache_p2_2,0,None,37.32,165.0,22,16,0,0,0,False,100.0,13.1675,6.1875,2342.374798574527
0,1760578349.1382926,14.0,7,0.1593,0.1669,0.0748,15.9268,7.4841,0.0,0.0,12.02,None,None,10.142,True,None,sfc_unique_p2_2,0,None,37.32,165.0,22,16,0,0,0,False,100.0,13.1675,6.1875,2342.374798574527
0,1760578349.2171116,14.1,8,0.1764,0.1834,0.0748,17.6406,7.4841,0.0,0.0,8.54,None,None,12.831,True,None,sfc_cache_p3_2,0,None,45.65,198.0,26,18,0,0,0,False,100.0,12.963888888888889,5.5,2363.7920591881007
0,1760578349.2174284,14.1,8,0.1764,0.1834,0.0748,17.6406,7.4841,0.0,0.0,12.23,None,None,10.165,True,None,sfc_unique_p3_2,0,None,45.65,198.0,26,18,0,0,0,False,100.0,12.963888888888889,5.5,2363.7920591881007
