No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_cache_utilization,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,cache_per_flow,energy_consumption
0,1760578344.127045,0,1,0.0234,0.0222,0.0249,2.3435,2.4947,0.0,0.0,7.49,None,None,16.971,True,None,sfc_cache_p1_1,0,None,0,0,0,2,0,0,0,False,100.0,15.5,16.5,2093.6758982058545
0,1760578344.1274722,0.0,1,0.0234,0.0222,0.0249,2.3435,2.4947,0.0,0.0,20.83,None,None,11.959,True,None,sfc_unique_p1_1,0,None,0,0,0,2,0,0,0,False,100.0,15.5,16.5,2093.6758982058545
0,1760578344.1786034,0.1,2,0.0469,0.0425,0.0499,4.687,4.9894,0.0,0.0,7.33,None,None,16.583,True,None,sfc_cache_p2_1,0,None,0,0,2,4,0,0,0,False,100.0,15.5,16.5,2136.1959240844703
0,1760578344.1790805,0.1,2,0.0469,0.0425,0.0499,4.687,4.9894,0.0,0.0,19.03,None,None,18.062,True,None,sfc_unique_p2_1,0,None,0,0,2,4,0,0,0,False,100.0,15.5,16.5,2136.1959240844703
0,1760578344.2239773,0.1,3,0.067,0.0586,0.0748,6.7032,7.4841,0.0,0.0,8.08,None,None,16.351,True,None,sfc_cache_p3_1,0,None,4.33,0,5,6,0,0,0,False,100.0,14.778333333333334,16.5,2159.0095998987417
0,1760578344.2244232,0.1,3,0.067,0.0586,0.0748,6.7032,7.4841,0.0,0.0,22.27,None,None,17.682,True,None,sfc_unique_p3_1,0,None,4.33,0,5,6,0,0,0,False,100.0,14.778333333333334,16.5,2159.0095998987417
0,1760578344.2701876,0.1,4,0.0842,0.0746,0.0748,8.417,7.4841,0.0,0.0,7.6,None,None,16.459,True,None,sfc_cache_p4_1,0,None,12.66,33.0,9,8,0,0,0,False,100.0,13.9175,12.375,2174.4009409367936
0,1760578344.270616,0.1,4,0.0842,0.0746,0.0748,8.417,7.4841,0.0,0.0,21.3,None,None,17.77,True,None,sfc_unique_p4_1,0,None,12.66,33.0,9,8,0,0,0,False,100.0,13.9175,12.375,2174.4009409367936
0,1760578344.314515,0.2,5,0.1013,0.0926,0.0748,10.1308,7.4841,0.0,0.0,7.6,None,None,16.375,True,None,sfc_cache_p5_1,0,None,20.99,66.0,13,10,0,0,0,False,100.0,13.401,9.9,2188.0600229106994
0,1760578344.3149433,0.2,5,0.1013,0.0926,0.0748,10.1308,7.4841,0.0,0.0,19.45,None,None,17.267,True,None,sfc_unique_p5_1,0,None,20.99,66.0,13,10,0,0,0,False,100.0,13.401,9.9,2188.0600229106994
0,1760578344.359043,0.2,6,0.1184,0.1162,0.0748,11.8446,7.4841,0.0,0.0,8.08,None,None,16.304,True,None,sfc_cache_p6_1,0,None,29.32,99.0,17,12,0,0,0,False,100.0,13.056666666666667,8.25,2214.892169637212
0,1760578344.3594682,0.2,6,0.1184,0.1162,0.0748,11.8446,7.4841,0.0,0.0,10.36,None,None,16.947,True,None,sfc_unique_p6_1,0,None,29.32,99.0,17,12,0,0,0,False,100.0,13.056666666666667,8.25,2214.892169637212
0,1760578365.1174104,21.0,6,0.1419,0.1399,0.0998,14.1881,9.9788,0.0,0.0,7.32,None,None,16.215,True,None,sfc_cache_p1_2,0,None,29.32,99.0,18,14,0,0,0,False,100.0,13.405714285714286,9.428571428571429,2266.6055267026823
0,1760578365.1179376,21.0,6,0.1419,0.1399,0.0998,14.1881,9.9788,0.0,0.0,8.99,None,None,17.013,True,None,sfc_unique_p1_2,0,None,29.32,99.0,18,14,0,0,0,False,100.0,13.405714285714286,9.428571428571429,2266.6055267026823
0,1760578365.1672125,21.0,7,0.159,0.1636,0.0998,15.9019,9.9788,0.0,0.0,7.23,None,None,16.307,True,None,sfc_cache_p2_2,0,None,37.65,132.0,22,16,0,0,0,False,100.0,13.146875,8.25,2305.9024621615895
0,1760578365.1676755,21.0,7,0.159,0.1636,0.0998,15.9019,9.9788,0.0,0.0,8.82,None,None,16.965,True,None,sfc_unique_p2_2,0,None,37.65,132.0,22,16,0,0,0,False,100.0,13.146875,8.25,2305.9024621615895
0,1760578365.2862298,21.2,8,0.1762,0.1873,0.0998,17.6157,9.9788,0.0,0.0,7.74,None,None,16.3,True,None,sfc_cache_p3_2,0,None,45.98,165.0,26,18,0,0,0,False,100.0,12.945555555555556,7.333333333333333,2324.844576385394
0,1760578365.2867537,21.2,8,0.1762,0.1873,0.0998,17.6157,9.9788,0.0,0.0,9.82,None,None,16.913,True,None,sfc_unique_p3_2,0,None,45.98,165.0,26,18,0,0,0,False,100.0,12.945555555555556,7.333333333333333,2324.844576385394
0,1760578365.3336055,21.2,9,0.1933,0.2083,0.0998,19.3295,9.9788,0.0,0.0,6.96,None,None,16.186,True,None,sfc_cache_p4_2,0,None,54.31,198.0,30,20,0,0,0,False,100.0,12.7845,6.6,2344.9672354165036
0,1760578365.334074,21.2,9,0.1933,0.2083,0.0998,19.3295,9.9788,0.0,0.0,8.3,None,None,16.551,True,None,sfc_unique_p4_2,0,None,54.31,198.0,30,20,0,0,0,False,100.0,12.7845,6.6,2344.9672354165036
0,1760578365.3780787,21.3,10,0.2104,0.2293,0.0998,21.0432,9.9788,0.0,0.0,7.28,None,None,16.248,True,None,sfc_cache_p5_2,0,None,62.64,231.0,34,22,0,0,0,False,100.0,12.652727272727274,6.0,2368.925214057581
0,1760578365.3785162,21.3,10,0.2104,0.2293,0.0998,21.0432,9.9788,0.0,0.0,8.93,None,None,16.62,True,None,sfc_unique_p5_2,0,None,62.64,231.0,34,22,0,0,0,False,100.0,12.652727272727274,6.0,2368.925214057581
0,1760578365.4234579,21.3,11,0.2276,0.2503,0.0998,22.757,9.9788,0.0,0.0,7.32,None,None,16.353,True,None,sfc_cache_p6_2,0,None,70.97,264.0,38,24,0,0,0,False,100.0,12.542916666666665,5.5,2398.927148742614
0,1760578365.423903,21.3,11,0.2276,0.2503,0.0998,22.757,9.9788,0.0,0.0,9.02,None,None,16.788,True,None,sfc_unique_p6_2,0,None,70.97,264.0,38,24,0,0,0,False,100.0,12.542916666666665,5.5,2398.927148742614
0,1760578379.1341906,35.0,11,0.251,0.2654,0.1247,25.1005,12.4735,0.0,0.0,10.5,None,None,16.546,True,None,sfc_cache_p1_3,0,None,70.97,264.0,39,26,0,0,0,False,100.0,12.770384615384614,6.346153846153846,2436.9369101309003
0,1760578379.134753,35.0,11,0.251,0.2654,0.1247,25.1005,12.4735,0.0,0.0,17.69,None,None,16.775,True,None,sfc_unique_p1_3,0,None,70.97,264.0,39,26,0,0,0,False,100.0,12.770384615384614,6.346153846153846,2436.9369101309003
0,1760578379.1700141,35.0,12,0.2714,0.2806,0.1247,27.1417,12.4735,0.0,0.0,9.19,None,None,11.403,True,None,sfc_cache_p2_3,0,None,74.97,297.0,42,28,0,0,0,False,100.0,12.8225,5.892857142857143,2483.1609572334723
0,1760578379.1702948,35.0,12,0.2714,0.2806,0.1247,27.1417,12.4735,0.0,0.0,15.41,None,None,10.742,True,None,sfc_unique_p2_3,0,None,74.97,297.0,42,28,0,0,0,False,100.0,12.8225,5.892857142857143,2483.1609572334723
0,1760578379.2019386,35.1,13,0.2886,0.2958,0.1247,28.8555,12.4735,0.0,0.0,9.29,None,None,10.358,True,None,sfc_cache_p3_3,0,None,83.3,330.0,46,30,0,0,0,False,100.0,12.723333333333333,5.5,2509.789291599757
0,1760578379.202261,35.1,13,0.2886,0.2958,0.1247,28.8555,12.4735,0.0,0.0,15.62,None,None,10.039,True,None,sfc_unique_p3_3,0,None,83.3,330.0,46,30,0,0,0,False,100.0,12.723333333333333,5.5,2509.789291599757
0,1760578379.2357793,35.1,14,0.3057,0.311,0.1247,30.5692,12.4735,0.0,0.0,8.91,None,None,10.519,True,None,sfc_cache_p4_3,0,None,91.63,363.0,50,32,0,0,0,False,100.0,12.6365625,5.15625,2544.964291599757
0,1760578379.2361357,35.1,14,0.3057,0.311,0.1247,30.5692,12.4735,0.0,0.0,11.6,None,None,10.763,True,None,sfc_unique_p4_3,0,None,91.63,363.0,50,32,0,0,0,False,100.0,12.6365625,5.15625,2544.964291599757
0,1760578379.2763238,35.1,15,0.3228,0.3263,0.1247,32.283,12.4735,0.0,0.0,8.71,None,None,12.679,True,None,sfc_cache_p5_3,0,None,99.96,396.0,54,34,0,0,0,False,100.0,12.56,4.852941176470588,2573.607148742614
0,1760578379.276678,35.1,15,0.3228,0.3263,0.1247,32.283,12.4735,0.0,0.0,11.19,None,None,14.087,True,None,sfc_unique_p5_3,0,None,99.96,396.0,54,34,0,0,0,False,100.0,12.56,4.852941176470588,2573.607148742614
