No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1772802652.309327,0,1,0.0186,0.0336,0.0138,0.0249,1.9083,3.359,2.4947,0.0,0.0,0.0,4.95,3.26,1.69,None,0.0003604888916015625,22.839,True,None,sfc_cache_p1_1,0,None,0.0,0.0,0.0,0,2,1,1,0,False,100.0,8.835,6.665,16.5,0.1788,0.1484,0.04,0.0488,2095.9095134800123,2085.9095134800123,10.0,0.7055029047858175,2,0,0
0,1772802652.3103094,0.0,1,0.0186,0.0336,0.0138,0.0249,1.9083,3.359,2.4947,0.0,0.0,0.0,8.09,6.66,1.43,None,0.0003604888916015625,26.433,True,None,sfc_unique_p1_1,0,None,0.0,0.0,0.0,0,2,1,1,0,False,100.0,8.835,6.665,16.5,0.1788,0.1484,0.04,0.0488,2095.9095134800123,2085.9095134800123,10.0,0.7055029047858175,2,0,0
0,1772802652.3679006,0.1,2,0.0321,0.0563,0.0289,0.0249,3.3846,5.627,2.4947,0.0,0.0,0.0,4.95,3.26,1.69,None,0.060195207595825195,22.552,True,None,sfc_cache_p2_1,0,None,4.0,4.33,33.0,4,4,2,1,0,False,100.0,7.835,5.5825,8.25,0.1506,0.1606,0.0385,0.0458,2129.2252866439417,2109.2252866439417,20.0,0.6078822450304093,4,0,0
0,1772802652.3687603,0.1,2,0.0321,0.0563,0.0289,0.0249,3.3846,5.627,2.4947,0.0,0.0,0.0,8.12,6.66,1.46,None,0.060195207595825195,25.721,True,None,sfc_unique_p2_1,0,None,4.0,4.33,33.0,4,4,2,1,0,False,100.0,7.835,5.5825,8.25,0.1506,0.1606,0.0385,0.0458,2129.2252866439417,2109.2252866439417,20.0,0.6078822450304093,4,0,0
0,1772802652.4255002,0.1,3,0.0456,0.089,0.0428,0.0249,4.8965,8.9028,2.4947,0.0,0.0,0.0,4.91,3.23,1.69,None,0.11854171752929688,21.911,True,None,sfc_cache_p3_1,0,None,8.0,4.33,66.0,7,6,3,1,0,False,100.0,7.5566666666666675,5.888333333333333,5.5,0.2038,0.2686,0.037,0.0601,2181.8724124573905,2151.8724124573905,30.0,0.6043345504342993,6,0,0
0,1772802652.4263747,0.1,3,0.0456,0.089,0.0428,0.0249,4.8965,8.9028,2.4947,0.0,0.0,0.0,10.2,8.26,1.94,None,0.11854171752929688,25.165,True,None,sfc_unique_p3_1,0,None,8.0,4.33,66.0,7,6,3,1,0,False,100.0,7.5566666666666675,5.888333333333333,5.5,0.2038,0.2686,0.037,0.0601,2181.8724124573905,2151.8724124573905,30.0,0.6043345504342993,6,0,0
0,1772802652.482437,0.2,4,0.063,0.0974,0.0564,0.0249,6.9852,9.742,2.4947,0.0,0.0,0.0,4.91,3.23,1.69,None,0.17618632316589355,22.083,True,None,sfc_cache_p4_1,0,None,12.0,8.66,99.0,11,8,4,1,0,False,100.0,8.085,4.8325,4.125,0.1916,0.2704,0.0357,0.0632,2207.1807483731022,2167.1807483731022,40.0,0.5639604688316666,8,0,0
0,1772802652.4833355,0.2,4,0.063,0.0974,0.0564,0.0249,6.9852,9.742,2.4947,0.0,0.0,0.0,10.36,8.39,1.97,None,0.17618632316589355,24.062,True,None,sfc_unique_p4_1,0,None,12.0,8.66,99.0,11,8,4,1,0,False,100.0,8.085,4.8325,4.125,0.1916,0.2704,0.0357,0.0632,2207.1807483731022,2167.1807483731022,40.0,0.5639604688316666,8,0,0
0,1772802652.5380092,0.2,5,0.0826,0.0974,0.0703,0.0249,9.4335,9.742,2.4947,0.0,0.0,0.0,4.91,3.23,1.69,None,0.2331547737121582,21.597,True,None,sfc_cache_p5_1,0,None,16.0,12.99,132.0,15,10,5,1,0,False,100.0,8.735,3.8659999999999997,3.3,0.1831,0.2704,0.0345,0.064,2224.6334908583826,2174.6334908583826,50.0,0.5235884001252912,10,0,0
0,1772802652.5389209,0.2,5,0.0826,0.0974,0.0703,0.0249,9.4335,9.742,2.4947,0.0,0.0,0.0,13.07,11.08,2.0,None,0.2331547737121582,23.188,True,None,sfc_unique_p5_1,0,None,16.0,12.99,132.0,15,10,5,1,0,False,100.0,8.735,3.8659999999999997,3.3,0.1831,0.2704,0.0345,0.064,2224.6334908583826,2174.6334908583826,50.0,0.5235884001252912,10,0,0
0,1772802652.5921092,0.3,6,0.0942,0.1193,0.0843,0.0249,10.9454,11.9267,2.4947,0.0,0.0,0.0,4.87,3.18,1.69,None,0.28870415687561035,20.936,True,None,sfc_cache_p6_1,0,None,20.0,17.32,165.0,19,12,6,1,0,False,100.0,8.445833333333333,3.9441666666666664,2.75,0.1866,0.3089,0.0333,0.0637,2264.4513480012397,2204.4513480012397,60.0,0.5243907949590753,12,0,0
0,1772802652.5931017,0.3,6,0.0942,0.1193,0.0843,0.0249,10.9454,11.9267,2.4947,0.0,0.0,0.0,6.91,4.79,2.12,None,0.28870415687561035,22.117,True,None,sfc_unique_p6_1,0,None,20.0,17.32,165.0,19,12,6,1,0,False,100.0,8.445833333333333,3.9441666666666664,2.75,0.1866,0.3089,0.0333,0.0637,2264.4513480012397,2204.4513480012397,60.0,0.5243907949590753,12,0,0
0,1772802670.3246837,18.0,6,0.1078,0.152,0.0974,0.0499,12.8893,15.2026,4.9894,0.0,0.0,0.0,1.86,1.11,0.75,None,0.00042510032653808594,12.51,True,None,sfc_cache_p1_2,0,None,20.0,17.32,165.0,20,14,6,2,0,False,100.0,8.525,4.309285714285714,4.714285714285714,0.1932,0.3522,0.0593,0.0796,2302.50428098375,2232.50428098375,70.0,0.5908097091638472,12,0,2
0,1772802670.325306,18.0,6,0.1078,0.152,0.0974,0.0499,12.8893,15.2026,4.9894,0.0,0.0,0.0,2.68,1.5,1.18,None,0.00042510032653808594,13.361,True,None,sfc_unique_p1_2,0,None,20.0,17.32,165.0,20,14,6,2,0,False,100.0,8.525,4.309285714285714,4.714285714285714,0.1932,0.3522,0.0593,0.0796,2302.50428098375,2232.50428098375,70.0,0.5908097091638472,12,0,2
