No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1772215355.0015702,0,1,0.0326,0.0,0.0025,0.0249,2.6999,0.0,2.4947,24.0,0.0,0.0,7.16,5.26,1.9,None,0.00022983551025390625,4.279,True,None,sfc_cache_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,15.5,0.0,16.5,0.1481,1.0,0.04,0.0245,2076.4285714285716,2066.4285714285716,10.0,0.9503999999999999,0,0,2
0,1772215355.0024254,0.0,1,0.0326,0.0,0.0025,0.0249,2.6999,0.0,2.4947,24.0,0.0,0.0,6.89,5.35,1.54,None,0.00022983551025390625,3.639,True,None,sfc_unique_p1_1,0,None,0.0,0.0,0.0,1,2,1,1,0,False,100.0,15.5,0.0,16.5,0.1481,1.0,0.04,0.0245,2076.4285714285716,2066.4285714285716,10.0,0.9503999999999999,0,0,2
0,1772215355.0205488,0.0,2,0.0594,0.0,0.0067,0.0249,4.6082,0.0,2.4947,30.66,0.0,0.0,7.52,5.26,2.27,None,0.03466081619262695,3.683,True,None,sfc_cache_p2_1,0,None,4.0,0.0,33.0,4,4,2,1,0,False,100.0,14.5,0.0,8.25,0.1879,1.0,0.0385,0.0245,2105.974285714286,2081.574285714286,24.4,0.93167604,0,3,1
0,1772215355.0212433,0.0,2,0.0594,0.0,0.0067,0.0249,4.6082,0.0,2.4947,30.66,0.0,0.0,11.17,6.64,4.53,None,0.03466081619262695,3.633,True,None,sfc_unique_p2_1,0,None,4.0,0.0,33.0,4,4,2,1,0,False,100.0,14.5,0.0,8.25,0.1879,1.0,0.0385,0.0245,2105.974285714286,2081.574285714286,24.4,0.93167604,0,3,1
0,1772215355.033043,0.0,3,0.0849,0.0,0.0136,0.0249,5.5802,0.0,2.4947,44.44,0.0,0.0,7.16,5.26,1.9,None,0.053458452224731445,3.573,True,None,sfc_cache_p3_1,0,None,8.0,0.0,66.0,6,6,3,1,0,False,100.0,14.166666666666666,0.0,5.5,0.2592,1.0,0.037,0.0316,2133.617142857143,2091.217142857143,42.4,0.9344991466666667,0,4,2
0,1772215355.0336854,0.0,3,0.0849,0.0,0.0136,0.0249,5.5802,0.0,2.4947,44.44,0.0,0.0,12.85,8.13,4.72,None,0.053458452224731445,3.612,True,None,sfc_unique_p3_1,0,None,8.0,0.0,66.0,6,6,3,1,0,False,100.0,14.166666666666666,0.0,5.5,0.2592,1.0,0.037,0.0316,2133.617142857143,2091.217142857143,42.4,0.9344991466666667,0,4,2
0,1772215355.049955,0.0,4,0.1013,0.0218,0.0234,0.0249,6.5521,2.1848,2.4947,45.504,0.0,0.0,9.11,6.15,2.96,None,0.06588482856750488,3.545,True,None,sfc_cache_p4_1,0,None,12.0,0.0,99.0,9,8,4,1,0,False,100.0,12.91625,1.08375,4.125,0.3247,0.0833,0.0357,0.0346,2179.335,2122.535,56.8,0.9276356266666667,0,4,2
0,1772215355.0507069,0.0,4,0.1013,0.0218,0.0234,0.0249,6.5521,2.1848,2.4947,45.504,0.0,0.0,13.35,6.51,6.85,None,0.06588482856750488,3.664,True,None,sfc_unique_p4_1,0,None,12.0,0.0,99.0,9,8,4,1,0,False,100.0,12.91625,1.08375,4.125,0.3247,0.0833,0.0357,0.0346,2179.335,2122.535,56.8,0.9276356266666667,0,4,2
0,1772215355.0653787,0.1,5,0.124,0.0218,0.0248,0.0249,6.5521,2.1848,2.4947,55.728,0.0,0.0,7.54,4.72,2.82,None,0.08291387557983398,3.61,True,None,sfc_cache_p5_1,0,None,16.0,0.0,132.0,11,10,5,1,0,False,100.0,13.032999999999998,0.867,3.3,0.3475,0.0833,0.0345,0.0338,2209.335,2122.535,86.8,0.9276356266666667,0,4,2
0,1772215355.066099,0.1,5,0.124,0.0218,0.0248,0.0249,6.5521,2.1848,2.4947,55.728,0.0,0.0,8.27,8.27,0,None,0.08291387557983398,3.571,True,None,sfc_unique_p5_1,0,None,16.0,0.0,132.0,11,10,5,1,0,False,100.0,13.032999999999998,0.867,3.3,0.3475,0.0833,0.0345,0.0338,2209.335,2122.535,86.8,0.9276356266666667,0,4,2
