crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771000486.298368,2,8,0,8,0,4.4969,0.0000,0.00,0.0000
1,1771000536.2574062,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
2,1771000559.0885193,2,13,0,13,0,4.8309,0.0000,72.22,0.0000
3,1771000578.5978787,2,1,0,1,0,4.6612,5.2980,2.50,0.6368
4,1771000635.5684423,2,6,0,6,0,5.3545,6.1849,15.00,0.8303
5,1771000694.7774658,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
6,1771000783.7890573,2,9,0,9,0,5.8504,7.4712,40.91,1.9501
7,1771000846.627835,2,1,0,1,0,7.9089,5.4070,4.17,-2.5019
8,1771000875.127472,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
9,1771000879.0778263,2,1,0,1,0,6.7042,8.3792,3.12,1.6750
10,1771000906.627476,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
11,1771000974.1987882,2,8,0,8,0,5.0632,6.1101,30.77,1.0469
12,1771001074.1390862,2,6,0,6,0,6.5360,6.7262,25.00,0.1943
13,1771001153.9880652,2,2,0,2,0,6.6687,7.5062,7.14,0.8375
14,1771001227.738014,2,2,0,2,0,6.3203,6.9988,8.33,0.6785
15,1771001237.170106,2,14,0,14,0,5.3178,5.9702,63.64,1.3172
16,1771001349.978302,2,3,0,3,0,5.5853,6.5904,12.50,1.0497
